Seq No.,UDISE Code,School Name,School Location
1,36230500506,ZPHS JILLEL GUDA,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
2,36230500107,ZPHS BALAPUR,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
3,36230500706,ZPHS BADANGPET,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
4,36230501707,ZPHS NADARGUL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
5,36230500630,VISHWAMITHRA THE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
6,36230500163,"KRISHNAVENI TALENT SCHOOL, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
7,36230501503,ZPHS MAMIDIPALLE,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
8,36230500526,"KRISHNAVENI SCHOOL, JILLELGUDA","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
9,36230500166,"INDO US PUBLIC SCHOOLS, SHAHEEN NAGAR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
10,36230500164,OXFORD GRAMMER HIGH SCHOOL (BALAPUR),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
11,36230500110,MANCHI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
12,36230500176,"BRILLIENT SCHOOL OF EXCELLANCE, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
13,36230500303,GLOBAL TREE THE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
14,36230501710,MRR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
15,36230501119,AKSHAYA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
16,36230500732,"ST.JOHN GRAMMAR SCHOOL,BADANGPET","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
17,36230500718,BALA SIDDARTHA GRAMMAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
18,36230500716,AKSHRA CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
19,36230501511,TATAS PROGRESSIVE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
20,36230500136,GOLDEN JUBLIEE SCHOOL (VENKATAPUR),"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
21,36230500135,NEW ANSARI PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
22,36230500174,"SHINE MODEL SCHOOL, QUBA COLONY, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
23,36230500719,SPRING WOOD SCHOOL - BADANGPET,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
24,36230500717,ADARSH VIDYA BHAVAN,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
25,36230500715,GRAPH CONCEPT SCH,"State : Telangana
District : RANGAREDDY
Block : BALAPUR"
26,36230500121,"SHINE MODEL SCHOOL, BALAPUR","State : Telangana
District : RANGAREDDY
Block : BALAPUR"
