Seq No.,UDISE Code,School Name,School Location
1,36232503687,HS BRILLIANT FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
2,36232500502,"UPS MNC, FAROOQNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
3,36232503663,NARAYANA HS FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
4,36232500607,SRI CHAITANYA RAMNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
5,36232500913,"GOVT. JR.COLLEGE , SHADNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
6,36232503503,ZPHS MADHURAPUR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
7,36232503690,RAVINDRA BHARATHI HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
8,36232500609,OMKAR SAHITHI VIDYALAYAM HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
9,36232503648,DEEPIKA MEMORIAL HS SHADNAGAR (VIJAYANAGAR COLONY),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
10,36232503635,ZPHS SHADNAGAR (GIRLS),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
11,36232503695,HS BASHYAM HIGH SCHOOL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
12,36232503686,HS NETAJI MODEL FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
13,36232500918,SHADNAGAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
14,36232500920,GEETHANJALI EM HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
15,36232500905,HS MOTHER THERESA SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
16,36232500930,"UPS NAVABHARATH GRAMMER, FAROOQNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
17,36232500929,"UPS MONTESSORY, SHADNAGAR(PV COLONY)","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
18,36232500608,VISWA BARATHI JUNIOR COLLEGE CHATTANPALLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
19,36232501503,MARIA RANI SHANTHI VIDYANIKETHAN,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
20,36232503658,MEDHA CHATTANPALLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
21,36232503657,MONTESSORI SHADNAGAR (EM),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
22,36232500935,TMREIS (GIRLS) FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
23,36232503662,KRISHNAVENI HS FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
24,36232503682,HS GENIUS FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
25,36232503645,SRI SATYA SAI HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
26,36232503641,TAGORE HIGH SCHOOL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
