Seq No.,UDISE Code,School Name,School Location
1,36230300101,MPPS HYDERSHAKOTE,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
2,36230301606,TSWREIS GIRLS,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
3,36230301811,KGBV KISMATPUR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
4,36230301605,ZPHS NARSINGI,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
5,36230302201,MPPS MANIKONDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
6,36230300501,MPUPS GANDIPET,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
7,36230300403,ZPHS VATTINAGULAPALLY,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
8,36230302303,ZPHS MANIKONDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
9,36230302102,MPPS KOKAPET,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
10,36230300103,ZPHS HYDERSHAKOTE,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
11,36230301717,L N R CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
12,36230301613,HAPPY SCHOLARS SCHOOL NARSINGI,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
13,36230301709,ST. XAVIERS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
14,36230300113,VISHWA BARATHI,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
15,36230301720,SRI VIVEKANANDA VIDYA VIHAR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
16,36230301810,NEW LITTLE SCHOLARS HS,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
17,36230301711,RAUS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
18,36230300115,"SRI TRIVENI HIGH SCHOOL, HYDERSHAKOT","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
19,36230300111,"SRI CHAITANYA HIGH SCHOOL, HYDERSHAKOT","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
20,36230300117,AMAZING SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
21,36230301615,"VISHWA BHARATHI HIGH SCHOOL, NARSINGI","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
22,36230300305,"SRI TRIVENI UPS, KHANAPUR","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
23,36230301102,HYDERABAD SCHOOL OF EXCELLANCE,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
24,36230302408,THE RISING SUN SCHOOL (PUPPALGUDA),"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
25,36230302409,SRI GAYATRI E TECNO SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
26,36230302413,"GOWTHAM MODEL SCHOOL, PUPPALGUDA","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
27,36230302004,ELATE INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
28,36230302306,PRATHIBA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
