Seq No.,UDISE Code,School Name,School Location
1,36231701822,"GOVT.JR.COLLEGE, KANDUKUR","State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
2,36231701807,ZPHS KANDUKOOR(B),"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
3,36231701813,"NOBLE HIGH SCHOOL, KANDUKUR","State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
4,36231701818,HYD P&T SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
5,36231702210,TSMS NEDUNOOR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
6,36231701819,KGBV KANDUKUR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
7,36231700406,ZPHS PULIMAMIDI,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
8,36231701207,MJPTBCW SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
9,36231702206,ZPHS NEDNOOR,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
10,36231701808,ZPHS KANDUKUR(G),"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
11,36231701827,SRI VENKATASAI VOC JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : KANDUKUR"
