Seq No.,UDISE Code,School Name,School Location
1,36231801911,ZPHS MAHESHWARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
2,36231802310,ZPHS THUKKUGUDA (B),"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
3,36231801003,GOOD NEWS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
4,36231801939,VIGNAN JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
5,36231802321,"MILLENNIUM SCHOOL, THUKKUGUDA","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
6,36231802318,BRILLIANT GRAMMAR SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
7,36231801910,ZPHS(G) MAHESHWARAM,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
8,36231802308,LITTLE ANGELS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
9,36231802316,"NOBLE SCHOOL, THUKKUGUDA","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
10,36231802709,AGHAKHAN ACADAMY,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
11,36231802704,"SRI SAI VIDYA NIKETAN, RAVIRYAL KONGRA","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
12,36231801921,"KRISHNAVENI HIGH SCHOOL, MAHESHWARAM","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
13,36231801505,SRI RAMACHANDRA SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
14,36231801912,MESCO MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
15,36231802314,DEVENDRA VIDYALAYA H,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
16,36231802707,SRI VIDYALAYA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
17,36231800407,SATYAM KIDS WORLD SC,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
18,36231800905,SANJOE PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
19,36231801925,SRI AKSHARA TECH SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
20,36231800105,SRI VIVEKANANDA VIDYALAYA HS,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
21,36231801933,"NEW BRILLIANT MODEL SCHOOL, MAHESHWARAM","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
22,36231801938,SRI SHARADA VOCATIONAL JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
23,36231802317,Sri Chaitanya School,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
24,36231801924,SRI VIDYA VIKAS SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
25,36231800808,SURYODAYA VIDYANIKETAN,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
26,36231800904,C B R MEMORIAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
27,36231802319,"SRI GAYATRI SCHOOL, THUKKUGUDA","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
28,36231801504,SRI VENKATADRI GRAM SCL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
29,36231802323,BACHPAN THE NEXT GEN SCHOOL THUKKUGUDA,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
30,36231801917,ST.SAVIO EM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
31,36231803303,BHASHYAM BLOOMS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
32,36231803202,BHASHYAM BLOOMS THE GLOBAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
33,36231803401,MJPTBCWREIS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
34,36231802320,SRI SRI ACADEMY,"State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
35,36231801915,"MJPTBCWREIS SCHOOL, MAHESWARAM","State : Telangana
District : RANGAREDDY
Block : MAHESHWARAM"
