Seq No.,UDISE Code,School Name,School Location
1,36230601704,SRI GAUTHAM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
2,36230600825,TSWREIS (GIRLS) SAROORNAGAR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
3,36230601452,ZPHS SAROORNAGAR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
4,36230601451,ZPHS CHAMPAPET,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
5,36230601349,KAKATIYA CENTRAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
6,36230601581,MPPS RAJIVGANDHINAGR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
7,36230601541,ZPHS SAROORNAGAR UM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
8,36230601454,ZPHS KARMANGHAT,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
9,36230601453,ZPHS BAHADURGUDA,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
10,36230601390,NRI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
11,36230601623,"GOVT. JR. COLLEGE , SAROORNAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
12,36230601540,MPUPS BOMMANAGANDI,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
13,36230601714,NAGARJUNA SCHOOL SRINIVASAPURAM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
14,36230601548,EXPERT MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
15,36230601690,"TENDER KIDS SCHOOL, MANSOORABAD","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
16,36230601723,ELITE(VOC) JR COLLEGE KOTHAPET,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
17,36230601472,VAMSEE MOHAN SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
18,36230601598,POINEER GR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
19,36230601568,LITTLE ROSES H S,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
20,36230601676,PINK N BLUE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
21,36230600824,AMITHABHA AADARANA VIDYALAYA SCHOOL - SAROORNAGAR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
22,36230600541,GENIUS GRAMMA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
23,36230601722,PRAGATHI JR COLLEGE FOR GIRLS,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
24,36230601811,"SAI CHAITANYA JUNIOR COLLEGE, SAROORNAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
25,36230601529,SAGARIKA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
26,36230600406,HYDERABAD SAINIK SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
27,36230601528,SAI GRAMMER HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
28,36230600404,KEERTHI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
29,36230601647,"KRISHNAVENI TALENT SCHOOL, LB NAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
30,36230601521,"BRILLIANT GRAMMAR HIGH SC, champapet","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
31,36230601518,HYDERABAD TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
32,36230601592,"KRISHNAVENI HIGH SCHOOL, SRK PURAM","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
33,36230601417,SIDDARTHA MODEL HIGH SCHO,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
34,36230601350,"INDO AMERICAN SCHOOL, champapet","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
35,36230601382,SARASWATHI SISHU MANDIR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
36,36230601678,"SVR SCHOOL, LB Nagar","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
37,36230600209,"KAKATHIYA SCHOOL, PRASHANTHI HILLS","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
38,36230600415,GREEN PARK SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
39,36230600557,"GOWTHAM MODEL SCHOOL, GADDIANNARAM","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
40,36230601575,BHASHYAM HIGH SCHO,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
41,36230601570,NALANDA H S,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
42,36230601502,SRI SARASWATHI HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
43,36230601527,"BASHYAM HIGH SCHOOL, HS LB NAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
44,36230601547,ST.JOSEPHS GRAMMAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
45,36230601707,TAPASVI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
46,36230601806,SRI GAYATHRI JR COLLEGE CHAITHANYAPURI,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
47,36230601713,KRISHNAVENI TALENT SCHOOL-HASTHINAPURAM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
48,36230500619,"AAKRUTHI SCHOOL, MEERPET","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
49,36230601457,ST.MARYS VIDYANIKETHAN S,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
50,36230601708,NARAYANA HIGH SCHOOL R K PURAM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
51,36230601705,KIDS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
52,36230601706,SUMEDHA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
53,36230500809,"SRI CHAITANYA SCHOOL, KOTHAPET","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
54,36230601484,ETEN TEMPLE HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
55,36230601475,HOLY SPIRIT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
56,36230601515,ANWESHINI GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
57,36230601571,"PUDAMI THE ENG PS, saroornagar","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
58,36230600405,"LOTUS LAP HIGH SCHOOL, CHAMPAPET","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
59,36230600413,S R DIGI SCHOOL (SANTOSHNAGAR),"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
60,36230601499,NAIVE MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
61,36230600804,"SRI TRIVENI SCHOOL, Saroornagar","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
62,36230601717,ST. PATRICKS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
63,36230600210,"SRI CHAITANYA SCHOOL, MANSOORABAD","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
64,36230601653,"AVINASH COLLEGE OF COMMERCE, LB Nagar","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
65,36230601594,"KRISHNAVENI TALENT SCHOOL, LB NAGAR3","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
66,36230600407,SILVER DALE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
67,36230601508,CENTRAL GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
68,36230601681,ST MATHEWS SCHOOL(L),"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
69,36230601585,GOOD LIFE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
70,36230601513,"LOTUS LAP HIGH SCHOOL, LB NAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
71,36230601589,"SRI CHAITANYA TECHNO SCHOOL, LB NAGAR3","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
72,36230601460,SPARK HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
73,36230601479,STELLA MARYS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
74,36230600409,THE CAULDRON HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
75,36230601476,ST. MARYS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
76,36230601524,DILSUKH NAGAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
77,36230601446,RIYAN MISSION SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
78,36230600401,NAAZ PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
79,36230601498,"KRISHNAVENI HIGH SCHOOL, Saroornagar","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
80,36230600843,FITJEE JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
81,36230601488,PRATHIBHA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
82,36230601720,EYE LEVEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
83,36230601471,SRI VIDYA VIHAR HIGH S,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
84,36230600206,BACHPAN SCHOOL (MANSOORABAD),"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
85,36230601423,ALKAPURI MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
86,36230601808,NARAYANA JRC GADDI ANNARAM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
87,36230601473,DILSUKHNAGAR PUBLIC HIGH,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
