Seq No.,UDISE Code,School Name,School Location
1,36231902512,KGBV SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
2,36231904172,"GOVT. JR. COLLEGE , SHAMSHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
3,36231904166,SRI SHARADA VIDYA MANDIR HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
4,36231902002,ZPHS THONDUPALLY,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
5,36231904127,ZPHS SHASHABAD (G),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
6,36231903702,ZPHS CHINNAGOLKONDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
7,36231901206,TRINITY MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
8,36231904189,S R HIGH SCHOOL MADHURA NAGAR,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
9,36231904133,ST MARYS CONVENT HIGH SCH,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
10,36231904183,"CHAITANYA JR COLLEGE, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
11,36231902006,SRI SHIVAJI VIDYAPEETH HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
12,36231904184,GOWTHAMI JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
13,36231901102,"FAM SCHOOL, CHOWDERGUDA","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
14,36231904152,"SRI VIDYA HIGH SCHOOL, RALLAGUDA","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
15,36231904181,"RAVINDRA BHARATHI SCHOOL, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
16,36231902309,BRILIANT ADONAI HIGH SCHOOL (PEDDSHAPUR),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
17,36231904182,SRINARAYANA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
18,36231904180,KRISHNAVENI HIGH SCHOOL R B NAGAR SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
19,36231904002,SRI GNYANA SARASWATHI,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
20,36231904170,BROOK FIELD INTNL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
21,36231904185,INFANT JESUS JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
22,36231904168,BOONS HIGH SCHOOLS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
23,36231904144,SATYAM GRAMMAR HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
24,36231904197,NEW SRI MEDHA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
25,36231902511,TSMS SHAMSHABAD (PALAMAKOLE),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
26,36231904178,GMR CHINMAYA VIDYALAYA HIGH SCHOOL SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
27,36231901303,OASIS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
