Seq No.,UDISE Code,School Name,School Location
1,36231400305,ZPHS PADAKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
2,36231400812,LITTLE SCHLORS TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
3,36231401511,ZPHS VELJAL (GIRLS),"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
4,36231400304,MPPS DEVUNI PADAKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
5,36231401510,VIJETHA HIGH SCHOOL VELJALA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
6,36231401508,ZPHS VELJALA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
7,36231400818,"SAI SHASTRA HIGH SCHOOL, TALAKONDAPALLY","State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
8,36231400814,"AKSHARA HIGH SCHOOL, TALAKONDAPALLY","State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
9,36231400309,PRATHIBA SCHOOL PADKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
10,36231402108,VISHWA VIJETHA HIGHSCHOOL GI PALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
11,36231400819,MJPTBCWREIS (BOYS),"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
