Seq No.,UDISE Code,School Name,School Location
1,29210413503,G HS VAGATA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
2,29210406303,GHS KORATI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
3,29210422033,G B HS HOSAKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
4,29210407403,GHS SHIVANAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
5,29210422031,G HS DODDAGATTIGANABBE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
6,29210405403,GHS COMPOSITE NELAVAGILU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
7,29210415701,GHS KUMBALAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
8,29210422035,S J R S HIGH SCHOOL HOSAKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
9,29210409005,G HS THAVAREKERE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
10,29210407002,SREE SIDDAGANGA RURAL HS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
11,29210401510,MORARJI DESAI RESIDENTIAL SCHOOL SULIBELE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
12,29210410003,A.V.N HS MUGABALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
13,29210401515,VIVEKANANDA HS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
14,29210419303,KUVEMPU HS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
15,29210420903,SRI RANGANATHA RURAL HS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
16,29210405807,KARNATAKA PUBLIC SCHOOLS GHS COMPOSITE NANDAGUDI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
17,29210418702,G J C DEVALAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
18,29210422034,G G HS HOSAKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
19,29210422060,MEDHASREE OLYMPIAD SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
20,29210430501,CITIZEN ICSE ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
21,29210422029,S B SCHOOL HPS & HS,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
