Seq No.,UDISE Code,School Name,School Location
1,29280602235,GOVERNAMENT HIGH SCHOOL V.K.O,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
2,29280600816,GOVT. H S M.M.ROAD SARVAGANAGARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
3,29280600718,GHS SAMPANGIRAMANAGARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
4,29280602232,BBMP GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
5,29280603504,GOVT URDU HIGH SCH D.J HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
6,29280602440,MOUNT CARMEL PU COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
7,29280603510,KARNATAKA PUBLIC SCHOOLS GOVT. HIGH SCH POTTERY TOWN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
8,29280600728,ST JOSEPH EVENING PU COLL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
9,29280601211,B B M P GIRLS HS HYSALA NAGA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
10,29280602126,ST. JOSEPH CONVENT GIRLS H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
11,29280601736,MARIA NIKETAN HIGH SCH,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
12,29280601428,RBANM'S BIFURCATED HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
13,29280602218,ST XAVIERS HIGH SCHOOL SHIVAJINAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
14,29280601427,R.B.A.N.MS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
15,29280600513,BBMP HIGH SCHOOL GANGANAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
16,29280601351,BBMP GIRLS H S DISPENSAY ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
17,29280602206,GULABI GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
18,29280601432,M.O. GIRLS H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
19,29280602520,ST ALPHONSUS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
20,29280602125,R.B.B P.A.M HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
21,29280601737,NIRMALA GIRLS HIGH SCH ST.THOMAS T,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
22,29280601942,GANDHI SMARAKA H S K.B SANDRA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
23,29280603503,SRI MALLIKARJUNA SWAMY H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
24,29280600817,ST.ALOYSIUS H S COX TOWN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
25,29280600358,PARIJATHA H S VENKTESHPURAM,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
26,29280601348,ISLAMI MADRASA E NISWAN HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
27,29280602134,GOOD WILL GIRLS HS PULIKESHINAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
28,29280602121,FATIMA GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
29,29280602417,ST.MARYS GIRLS HIGH SCH,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
30,29280603519,QUWATHUL ISLAM H S BENSON ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
31,29200803237,SRI VINAYAKA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
32,29280600721,ST.JOSEPHS INDIAN HIGH SCH,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
33,29280600720,MITRALAYA GIRLS H S MISSION ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
34,29280600228,SIDDHARTHA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
35,29280602123,NAJMUSSAHAR GIRLS HIGH SCH,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
36,29280603007,BHAGINI NIVEDITHA H S DINNUR M ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
37,29280601907,KARNATAKA WHITE ROSE HPS & HS,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
38,29280602645,JYOTHI HIGH SCHOOL KK HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
39,29280602315,VIDYANIKENTHAN H S MATTADAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
40,29280600528,VIDYA VAHINI EHPS & HS GANGANAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
41,29280601426,AMBUJAMMAL GADI CHELVARAYA H.S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
42,29280602729,SOPHIA KAN H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
43,29280601910,MOTHER THERESA MEMORIAL SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
44,29280602135,MEHAR S HS PULAKESHI NAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
45,29280602430,ST.ANNE'S P.U.COLLEGE FOR GIRLS,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
46,29280602903,ALLWIN PUBLIC SCHOOL GANGANAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
47,29280602711,SEVENTH-DAY ADVENTIST ENGLISH HIGH SCHOOL KADUGONDANAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
48,29280602905,GEM EHPS & HS GANGANAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
