Seq No.,UDISE Code,School Name,School Location
1,29200801364,GHS BYTARAYANAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
2,29200800873,GOVT KANNADA HIGH SCHOOL GOURIPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
3,29200802044,GOVT HS BHUVANESHWARI NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
4,29200801356,SRI SHARADA PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
5,29200801027,VANIVILAS GOVT HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
6,29200801354,SRI PATEL GULLAPPA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
7,29200800625,UDAYA GIRLS HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
8,29200802132,UDAYA KANNADA MEDIUM HIGH SCHOOL AND COMPOSITE PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
9,29200800886,SHARADA STREE SAMAJA HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
10,29200804004,"RAGHAVENDRA HIGH SCHOOL,","State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
11,29200800627,GHS CHICKPET,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
12,29200800634,BBMP HIGH SCHOOL Bannappa park Bangalore,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
13,29200800232,KARNATAKA VIDYA VARDHAKA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
14,29200803140,SRI SARVAJNA HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
15,29200802825,"GHS , ARALEPETE, T.C.M.RAYANROAD","State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
16,29200802823,"GHS, S.T.V. SUPER TALKIES VIBHAGA, SULTANPET","State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
17,29200800875,KARNATAKA PUBLIC SCHOOLS GHS OLD FORT,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
18,29200800460,BRUHAT BANGALORE MAHANAGARA PALIKE PREUNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
19,29200800626,"CORPORATION PRIMARY,HIGHER PRIMARY AND HIGH SCHOOL","State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
20,29200800343,BBMP COMPOSITE PU COLLEGE KASTURBA NAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
21,29200802626,MAHANAGAR PALIKE BYRAVESHWARANAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
22,29200803238,UNITED MISSION HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
23,29200801026,SLN HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
24,29200803143,GHS GOVINDARAJA NAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
25,29200802255,BBMP HIGH SCHOOL CHAMARAJAPETE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
26,29200801933,BBMP GIRLS. J.C.PADARAYANAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
27,29200800449,BBMP HIGH SCHOOL MAGADI ROAD,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
28,29200800552,VENKATESHWARA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
29,29200800549,SRI MAHADEVA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
30,29200802822,C.M.A. BOYS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
31,29200802531,SRI MANJUNATH VIDYALAYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
32,29200800898,THE CHAMARAJPET GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
33,29200800899,SRI LAKSHMIDEVI RAMANNA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
34,29200801025,LOURDS HIGH SCHOOL CUBBANPET,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
35,29200802831,ST THERESA GIRLS HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
36,29200804113,DEEPTHI VIDYANIKETHANA HIGH SCHOOL CHANDRA LAYOUT,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
37,29200800548,SRI SIDDAHARTHA RESIDENTIAL HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
38,29200803909,St.MEERA'S HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
39,29200800887,ST JOSEPH'S HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
40,29200803171,SRI.L.B.S.M AIDED KAN AND UNAIDED ENG HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
41,29200801536,SRI LAKSHMI RANGANATHA KAN HPS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
42,29200800871,CHAMARAJPET PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
43,29200800624,NARENDRA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
44,29200801527,SRI SANGAMITRA HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
45,29200800235,SHANTINIKETHANA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
46,29200138705,SRI GIRI MARUTHI HIGH SCHOOL SCH,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
47,29200803163,RAVINANDAN HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
48,29200801366,MYSORE ROAD PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
49,29200800883,JANATHA HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
50,29200800218,ST JOHN'S HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
51,29200800225,THE CHANDRA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
52,29200138706,S G M ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
53,29200800250,VISHWA CHETHANA PU COLLAGE VIJAYANAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
54,29200802544,SHREE MANJUNATHA VIDYALAYA NURSERY SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
55,29200802059,GURUKULA INTERNATIONAL HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
56,29200800722,ISAAC NEWTON ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
57,29200801542,NEW INDIAN PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
58,29200801349,SAINT LAURENCE HPS BYATARAYANAPU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
59,29200801317,SSVP CONVENT AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
60,29200803108,NADAPRABHU SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
61,29200800459,ST MARTIN'S HIGH SCHOOL MAGADI ROAD,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
62,29200803139,SRI SARVAJNA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
63,29200800439,PLATONIC HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
64,29200801528,THE NEW CAMBRIDGE HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
65,29200800807,ADARSH PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
66,29200800850,JANATHA VIDYALAYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
67,29200800450,TILAK MEMORIAL ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
68,29200803244,BISHOP COTTON WOMEN INDEPENDENT PU COL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
69,29200803129,THERESA PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
70,29200800434,WINDERMERE HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
71,29200802256,NEW OXFORD PUBLIC HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
72,29200802131,RAMANASHREE ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
73,29200804313,HOLY ANGELS HIGH SCHOOL ICSE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
74,29200800633,C B BHANDARI JAIN HIGH SCHOOL AND PU COLLAGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
75,29200803236,M E S HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
76,29200802830,LRHS CENTRAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
77,29200804211,SRI VENKATESHWARA HPS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
78,29200804115,ROCKFORD PRIMARY AND DEEPTHI VIDYANIKETHANA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
79,29200803186,BSVP UNAIDED PU COLLEGE FOR WOMEN VIJAYANAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
80,29200109524,S G M PUBLIC SCHOOL AVALAHALII,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
81,29200803243,UNITED MISSION PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
82,29200800955,BHAVAN BANGALORE PRESS SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
83,29200802552,SRI VASAVI INTERNATIONAL PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
84,29200803180,BSVP PU COLLEGE FOR WOMEN,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
85,29200802541,PURNIMA PRIMARY AND BLUE BELL HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
86,29200804001,CAUVERY HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
87,29200802629,L R ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
88,29200802617,SWAMY VIVEKANANDA SCHOOL SVG NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
89,29200800244,VISHWABHARATHI PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
90,29200801540,THE NEW CAMBRIDGE HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
91,29200802056,SHUBHA HS ENGLISH,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
92,29200804310,VIJAY INTERNATIONAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
93,29200800558,BLUE LINES PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
94,29200804315,CAMLIN ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
95,29200802625,BRILLIANT PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
96,29200803182,SESHADRIPURAM IND PU COL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
97,29200804007,MESHS NAGARABHAVI MAIN RD,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
98,292008008A2,BSV PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
99,29200802245,SOLOMON HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
100,29200801909,IAES ENGLISH SCH PADARAYANA PU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
101,29200803902,FRANK PUBLIC HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
102,29200801997,BOSTON SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
103,29200800816,JANATHA PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
104,29200802634,KARNATAKA VIDYAVADRHAKA HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
105,29200801371,MOUNT EVEREST ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
106,29200800336,VISHWAMANAVA ENGLISH SCHOOL KASTHURIBHA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
107,29200801369,BASAVESHWARA EDUCATIONAL INS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
108,29200802546,THE NEW CAMBRIDGE SCHOOL ICSE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
109,29200804501,ALMAS ENGLISH HPS ANJANAPPATOTA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
110,29200803123,ST PAUL'S SCHOOL PATTEGARAPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
111,29200800338,CAMBRIDGE EHPS AJADNAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
112,29200802253,"FLORIDA ENGLISH SCHOOL,","State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
113,29200800454,SUREKA INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
114,29200800458,S.M ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
115,29200800802,ATHENA PUBLIC HS CHAMARAJPET,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
116,29200802829,WISDOM INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
117,29200800629,SSK ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
118,29200800643,AKSHARA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
119,29200800350,WISDOM ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
120,29200800340,MAMATHA HS KASTHURIBHANAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
121,29200801367,NATIONAL ENGLISH PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
122,29200800538,NIVEDITA PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
123,29200804303,ST MICHAELS HS RPC LAYOUT,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
124,29200800559,RAINTREE SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
125,29200802630,VISHWA BHARATHI PUBLIC EDUCATION,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
126,29200802631,NEW BALDWINS HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
127,29200804116,SRI CHAITANYA PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
128,29200800504,EVER BRIGHT ENGLISH SCHOOL BAPUJINAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
129,29200804110,SIDDAGANGA HPS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
130,29200804314,SLR PUBLIC SCHOOL RPC LAYOUT,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
131,29200803157,NEW PUBLIC ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
132,29200800253,St FLOWERS ENGLISH SCHOOL ICSE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
133,29200804006,KANAKA HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
134,29200800238,RNS VIDYANIKETHANA SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
135,29200803124,ST ROHITH SCH PRASHANTH NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
136,29200804117,BHARATIYA SAMSKRITI VIDYAPITH PU COLLEGE FOR WOMEN,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
137,29200802254,SUBHASH MEMORIAL E.H.S.,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
138,29200802250,JAWAHAR MEMORIAL ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
139,29200803161,RES CONVENT HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
140,29200800881,WILLINGTON HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
141,29200804404,KIN KIDS CONVENT J J NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
142,292008008A3,SARVOTHAMA P U COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
143,29200803184,MAX MULLER ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
144,29200801311,SAINT MICHEL'S ENGLISH HPS BYATARAYANAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
145,29200802137,SARVODAYA NATIONAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
146,29200802138,CORDIAL SCHOOL PRASHANTH NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
147,29200802110,ST. MARYS CONVENT HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
148,29200804403,WISDOM HIGH SCHOOL J J R NAGAR GORI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
149,29200800644,JAMEULULOOM COMPOSITE PRE UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
150,29200800646,VVN PU COLLEGE NO 3 VV RD,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
151,29200804212,MMI ENGLISH HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
152,29200800229,ST ANTHONYS ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
153,29200800720,SUN GLORY HIGH SCHOOL K P AGRAHARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
154,29200800719,NEW PRESIDENCY HIGH SCHOOL COTTONPET,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
155,29200802512,"SREE VASAVI VIDYA PEETHA, VIJAYANAGAR, BANGALORE","State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
156,29200801936,BLOSSOM PUBLIC SCHOOL PADARAYANAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
157,29200800545,VISHAL ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
158,29200800638,K H S ADARSH VIDYALAYA HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
159,29200800239,S.P.VIDYANIKETHANA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
160,29200804215,MMI PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
161,29200804305,NEW HOLY SAINT SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
162,29200800847,ST JOSEPHS COMP PU COL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
163,29200800723,KAMALA CENTRAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
164,29200802633,MATHA NATIONAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
165,29200800724,SHRI PADMASHREE NATIONAL SCHOOL K P,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
166,29200800652,KARTHIK PU COLLEGE CHOTTONPET,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
167,29200803242,CITIZEN HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
168,29200802122,STANDARD ENGLISH HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
169,29200802624,ST MEERAS INTERNATIONAL HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
170,29200804311,SHREE BHARATHI VIDYALAYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
171,29200800561,SOUTH END PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
172,29200801994,LORD'S CONVENT,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
173,29200804320,JAIHIND PREUNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
174,29200804107,VIDYA SAGAR PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
175,29200802545,SRI ADICHUNCHANAGIRI HS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
176,29200802623,COLUMBIA ENGLISH HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
177,29200800543,GS ENGLISH SCH BAPUJINAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
178,29200803201,Al-Ameen Primary and High School,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
179,29200802012,SRI SIDDALINGESHWARA ENG HPS,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
180,29200801990,AL AZHAR FOUNDATION,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
181,29200801991,RAHMANIA ENGLISH SCHOOL VINAYAK NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
182,29200800705,HTM DARGA ENGLISH HPS OTC ROAD,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
183,29200802051,GURUKULA INTERNATIONAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
184,29200804302,HOLY ANGELS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
185,29200804307,SHREE BHARATHI VIDYALAYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
186,29200804304,ST PETERS ENGLISH HS RPC LAYOUT,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
187,29200804301,BROOKLYN NATIONAL PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
188,29200803179,KTSV PU COL FOR WOMEN,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
189,29200804205,VISHWA BHARATHI PUBLIC HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH2"
