Seq No.,UDISE Code,School Name,School Location
1,36221292190,GOVT. JUNIOR COLLEGE FALKNUMA,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
2,36221292071,"GOVT. HS(G)FALAKNUMA, QUADRI CHAMAN","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
3,36221200117,Govt. JRC BANDLAGUDA (GIRLS),"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
4,36221292070,"GOVT. HS(G) MAISARAM, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
5,36221292077,"AIDED SHARADA V HS AIDED, BANDLAGUDA (MANDAL)","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
6,36221292068,"GOVT. HS KOTLAALIJA,GAJIMEILATH COLONY, HAFIZBABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
7,36221292080,"AIDED ANWARULISLAM HS AIDED, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
8,36221200120,"AIDED SHARADA VIDYALAYA JR COLLEGE FOR GIRLS ,SHAMSHEERGUNJ,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
9,36221200142,"CAMBRIDGE ASTER HIGH SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
10,36221292081,"ST. MARIA HIGH SCHOOL, UPPUGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
11,36221292338,"MS CREATIVE HIGH SCHOOL, MIDHANI , KANCHANBAGH","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
12,36221200172,"CRESENT HIGH SCHOOL, HAFEEZ BABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
13,36221292089,"ST. PETERS HIGH SCHOOL, JANGAMMAT FALAKNUM","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
14,36221292425,NOORI SCHOOL OF BRILLIANCE,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
15,36221292287,"ST.WARIS HIGH SCHOOL,HAFEZ BABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
16,36221292105,"JNANA BHARATHI MODEL HIGH SCHOOL, BEHIND GANDHI STATUE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
17,36221292117,"THAKSHASHILA HIGH SCHOOL, NEAR RAJANNA BAVI","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
18,36221292123,"ARNA GRAMMAR SCHOOL, SHOIB HOTEL LANE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
19,36221292095,"SRI SAI GRAMMAR HIGH SCHOOL, RAJANNA BOWLI","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
