Seq No.,UDISE Code,School Name,School Location
1,36220390604,"GOVT. HS(G)LALAPETMARKET, LALAPET","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
2,36220390602,"GOVT. HS LALAPET, MAREDPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
3,36220390104,"AIDED RAILWAY COLONY HIGH SCHOOL , CHILKALGUDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
4,36220390610,"AIDED PRAGATHI HS AIDED, MYLARGADDA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
5,36220390603,GOVT. HS(G)WESTMARREDPALLY PADMASHALIKALYANAMANDAPAM,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
6,36220390639,"SANGHI VIDYANIKETAN HIGH SCHOOL, VIDYA MANDIR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
7,36220390615,"AL-FALAH SCHOOL SHANTHI , ARYANAGAR","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
8,36220390612,"AIDED WESLEY HS(G) AIDED,OLD LANCER ROAD","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
9,36221300125,"AIDED TAGORES HOME JR.COLLEGE , SECUNDERABAD,","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
10,36220390611,"AIDED SEETHAFAL MANDI HS AIDED, SEETHAFALAMANDI","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
11,36220390670,"R.M HIGH SCHOOL, WEST MAREDPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
12,36220390631,"VIDYA MANDIR HIGH SCHOOL, (RECOGINSED BY THE GOVT OF AP","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
13,36220390614,"SAROJINI NAIDU MEMORIAL , SEESHACHALA COLONY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
14,36220390676,"VIDYAVAHINI HS,","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
15,36220390679,"SRI SAI VIDYARTHI HS,","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
16,36221300152,"VISWA CHITANYA JR. COLLEGE , TARNAKA,","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
17,36220390692,DECCAN NEW CHAITHANYA JUNIOR COLLEGE TARNAKA,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
18,36220390621,"AUXILIUM HIGH SCHOOL, T M COLONY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
19,36220390627,"VIDYA VIHAR HIGH SCHOOL, SCRWOMENS ORGANISATION","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
20,36220390624,"ST JOHNS CHURCH HIGH SCHOOL, EAST MARREPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
21,36220390640,"SANDEEPAM VIDYALAYA HIGH SCHOOL, TARANAKA","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
22,36220390119,"PRAGATHI HS, TUKARAM GATE","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
23,36220390144,KHAMMAM SRI CHAITANYA SCHOOL,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
24,36220390620,"ST. MARKS HIGH SCHOOL , WEST MARREDPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
25,36220390120,"LILLY MODEL HS, MAREDPALLY","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
26,36220390674,NARAYANA OLYMPIAD SCHOOL TARNAKA,"State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
27,36220390644,"VIDYODAYA HIGH SCHOOL, LALAPET","State : Telangana
District : HYDERABAD
Block : MAREDPALLY"
