Seq No.,UDISE Code,School Name,School Location
1,36221492351,"GOVT. HS MUSHEERABAD, MUSHEERABAD MAIN ROAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
2,36221492353,"GOVT. HS KAWADIGUDA, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
3,36221490305,"AIDED MODEL HIGH SCHOOL, AIDED, OU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
4,36221490304,"GOVT. HS JAMA - E - OSMANIA, SRT-33,VIDYANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
5,36221400192,VIVEKANANDA GOVT JUNIOR COLLEGE VIDYANAGAR,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
6,36221492349,"GOVT. HS SITAFALMANDI, SITHAPHALMANDI","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
7,36221490331,"KAKATIYA SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
8,36221492370,"AIDED M.B. HS AIDED, H.NO. 1-7-11, GOLCONDA X ROAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
9,36221490207,"SHANKARA VIDYALAYA, PADMARAO NAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
10,36221492362,"AIDED ST.PIOUS HS(G) AIDED , RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
11,36221492365,"AIDED JYOTHI B.M. HS AIDED, VIDYANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
12,36221492369,"AIDED KARMIKA VK HS AIDED, CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
13,36221492371,"AIDED MODERN HS AIDED (UM), ZAMISTANPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
14,36221490310,"REVATHI VIDYALAYA HS, BOUDHA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
15,36221492367,"AIDED SVES HS(B) AIDED, VIDYA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
16,36221400131,AMS ARTS SCIENCE COLLEGE WOMEN,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
17,36221492348,"MADARSA MADINATUL ULOOM H.S, BHOLAKPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
18,36221492363,"BLUE BIRDS HIGH SCHOOL, AZAMABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
19,36221492394,"SREE BALAJI HIGH SCHOOL, BOUDHANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
20,36221490306,"AIDED C.RAMCHAND GIRLS HIGH SCHOOL, O U COMPUS","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
21,36221492375,"AIDED S.V.E.S.GIRLS.HS AIDED, VIDYA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
22,36221492366,"AIDED SURABHI B.V. HS AIDED, GANDHI NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
23,36221492383,"SAI VIVEKANANDA HIGH SCHOOL, NO-1 GALI,MYLARGADDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
24,36221492397,"BLOOMING BUDS HIGH SCHOOL, GANGAPUTRA COLONY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
25,36221492414,"SAI GRACE HIGH SCHOOL, VIDYANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
26,36221492405,"ARYA BHATTA HIGH SCHOOL, NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
27,36221400146,"SHANKUNTALA GRAMMAR HIGH SCHOOL, AMBERNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
28,36221492418,"APOLLONIA HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
29,36221492466,"VIJAY BHARATHI MODEL SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
30,36221492430,"SREE SARASWATHI HIGH SCHOOL, NAMALAGUNDU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
31,36221492386,"APOLLO GRAMMAR HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
32,36221492341,"MILLATMODEL HIGH SCHOOL, CHILKALGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
33,36221492388,"ST. JOHNS HIGH SCHOOL, (OPP TO DENA BANK)","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
34,36221492437,"SRI VENKATESHWARA H.S, CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
35,36220590931,"NEW ERA JR COLLEGE,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
36,36221490323,"OMEGA HIGH SCHOOL, RAMNAGAR GUNDU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
37,36221490210,"SVES HIGH SCHOOL, VIDYA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
38,36220590894,"IJAYA RATNA JR COLLEGE , NALLA KUNTA,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
39,36221490218,MUSHEERABAD JUNIOR COLLEGE FOR,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
40,36221300151,"SRI SAI VIGNAN BHARATHI JR.COLLEGE FOR GIRLS ,PADMARAONAGAR,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
41,36221492432,"DECENT HIGH SCHOOL, BHOLAKPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
42,36221492423,"QUEENS HIGH SCHOOL, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
43,36221490346,NARAYANA JUNIOR COLLEGE NALLAKUNTA,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
44,36221492433,"SARASWATHI MODEL HIGH SCHOOL, AMBERNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
45,36221492387,"SRI VANI VIDYA NIKETAN HS, SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
46,36221492385,"SRI VIDYA MODEL HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
47,36221492390,"SUMITRA HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
48,36221492391,"MODEL HIGH SCHOOL, PADMARAO NAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
49,36221492398,"HOLY TRINITY HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
50,36221492358,"MUSHEERABAD HIGH SCHOOL, MUSHEERABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
51,36221400189,NANO JUNIOR COLLEGE,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
52,36221492438,"ST. PAULS HIGH SCHOOL, 60,SBI COLONY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
53,36221492420,"JAWAHAR V.N. ENG. HIGH SCHOOL, BOUDHANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
54,36221400170,"VAISHNAVI HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
55,36221400112,"RADIANT HIGH SCHOOL, MUSHEERABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
56,36221492407,"K.G.K VIDYA BHAVAN HS, GHANDHI NAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
57,36221492402,"VIDYA DEEP HIGH SCHOOL., SBI COLONY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
58,36221492468,"MATHRU SRI HIGH SCHOOL, NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
59,36221300179,"SRI SAI VIDYA VIKAS JRC,SEC","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
60,36221400188,"Dr.B.R.AMBEDKAR JUNIOR COLLEGE, BAGH LINGAMPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
61,36221492338,"SRI AURO MIRA INTERNATIONAL HS, D D COLONY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
62,36221492319,"SRI RAGHAVENDRA UP.SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
63,36221400115,"ANJUMAN GIRLS JR.COLLEGE , BAKARAM,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
64,36221400140,"MANIKYA MONTESSORI HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
65,36221400142,"ST.GEORGE HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
66,36221400136,"SRI CHAITANYA TECHNO SCHOOL HS,NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
67,36221400179,"KRISHNAVENI TALENT SCHOOL, GANGAPUTRA COLONY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
68,36221400176,"SRI CHAITANYA TECHNO SCHOOL, RTC X ROAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
69,36221400190,JAHNAVI JUNIOR COLLEGE,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
70,36221492440,"UMA MONTESSORI HS, PADMARAO NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
71,36221492378,"HOWARD MODEL HIGH SCHOOL, ASHOKNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
72,36221492410,"SRI SAI HIGH SCHOOL, S R K NAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
73,36220590875,"NARAYANA JR. COLLEGE , HIMAYATHNAGAR,HYDERABAD,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
74,36221400102,"MARTINET HIGH SCHOOL, INDIRANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
75,36221492416,"ST. GABRIEL HIGH SCHOOL, NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
76,36221400143,"AMARAVATHI TALENT HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
77,36221492401,"SIDDHARTHA HIGH SCHOOL, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
78,36221492497,"ST. XAVIER HIGH SCHOOL, PARSIGUTTA WEST","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
79,36221400172,"KAKATIYA HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
80,36221492426,"ST. ADAMS HIGH SCHOOL, CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
81,36221492408,"ROSY BUDS HIGH SCHOOL, GHANDHI NAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
82,36221492422,"THE MOTHERS INTEGRAL SCHOOL HS, VIDYANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
83,36221400144,"LOTUS HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
84,36221492419,"OXFORD HIGH SCHOOL, RISALA GADDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
85,36221400129,ST PIOUS JUNIOR COLLEGE RAMNAGAR,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
86,36221492389,"SRI SAI VIDYALAY HIGH SCHOOL,SETHAFALMANDI","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
87,36221492392,"ST. ALBANS HIGH SCHOOL, chilkalguda","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
88,36221492355,"NEW MADHU HS , PARSIGUTTA,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
89,36221492393,"JYOTHI MODEL HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
90,36221492399,"VIRAJANANDA VYDIC VIDYALA HS, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
91,36221492424,"THE MOTHERS HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
92,36221492413,"MOTHER TERASAS HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
93,36221492406,"ENGLISH UNION HIGH SCHOOL, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
94,36221492404,"CAMBRIDGE GRAMMAR HIGH SCHOOL, GHANDHI NAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
95,36221400101,"RED CONVENT HIGH SCHOOL, HARINAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
96,36221492465,"ANJUMAN HIGH SCHOOL (EM), BHOLAKPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
97,36221492415,"LUNA HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
98,36221400127,HINDI MAHAVIDYALAYA JUNIOR COLLEGE NALLAKUNTA,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
99,36221492379,"M.G. RAO MEMORIAL JANATA HIGH SCHOOL, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
100,36221490208,"DDVTRC SCHOOL (HH), OU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
101,36221492360,"SREE J.V HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
102,36221492436,"SRI GURUDATTA HS, NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
103,36221492483,"ABHYUDAYA HIGH SCHOOL, GANDHINAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
104,36221490332,"VAMAKSHI VIDYANIKETANAM HIGH SCHOOL, NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
105,36221490311,"LITTLE FLOWER HS, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
106,36221492384,"AMARAVATHI GRAMMAR HIGH SCHOOL, SEETHAPAL MANDI","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
