Seq No.,UDISE Code,School Name,School Location
1,36220690935,"GOVT. HS(B)ALIYA, GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
2,36220691033,"GOVT. MOULANA AZAD MEMORIAL MODEL JR.COLLEGE (G) , NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
3,36220690934,"GOVT. MGM GGHS NAMPALLY, BESID BORD OF INTERMEDIATE EDU","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
4,36220690936,GOVT.HS(G) MAHBOOBIA MAHBOOBIA,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
5,36220690937,"GOVT. HS(B)GOSHAMAHAL, OSMANGUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
6,36220691035,"GOVT. MODEL JR. COLLEGE FOR GIRLS ,NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
7,36220691030,"GOVT.MAHABOOBIA JR.COLLEGE FOR GIRLS ,GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
8,36220690938,"GOVT. HS(M)ALIYA, ALIYA,OPP:L B STADIUM","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
9,36220690931,"GOVT. HS(GB)NAMPALLY, GANDHIBHAVAN","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
10,36221600110,"AIDED DHARMA VEER JUNIOR COLLEGE , GOWLIGUDA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
11,36220690952,"AIDED MARWADI HV HS AIDED,ESAMIA BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
12,36220690962,"AIDED NAVJIVAN BV HS AIDED, RAM KOTI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
13,36220690959,"AIDED MARWADI HV HS AIDED, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
14,36220690947,"AIDED RBS BANSILAL B HS AIDED, BEGAM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
15,36220690964,"AIDED BHAGYA MEM HS(G) AIDED, CHADERGHAT","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
16,36220690953,"AIDED ST JOSEPHS HS(G)AIDED, NAMPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
17,36220690956,"AIDED SRIHANUMAN VS HS AIDED, NAMPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
18,36220690963,"AIDED V V BOYS HS AIDED, JAM BAGH","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
19,36220690951,"AIDED A R M HS AIDED, OLD FEEL KHANA,BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
20,36220590882,"AIDED D.R.JINDAL JR.COLLEGE , ESAMIA BAZAR,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
21,36220690948,"AIDED A V HS AIDED, KAHELMANDI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
22,36220690944,"AIDED ANDHRA SK HS AIDED, FEELKHANA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
23,36220691034,"STANELY JR.COLLEGE FOR GIRLS , CHIRAG ALI LANE,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
24,36220690965,"AIDED SRIGUJARATI VM HS AIDED, BANKSTREET","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
25,36220600113,KRISHNAVENI HIGH SCHOOL ABIDS,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
26,36220690985,"STANLEY GIRLS HIGH SCHOOL, NAMPALLY (MANDAL)","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
27,36220690993,"J.M GOOD SHEPHEID HIGH SCHOOL, KATTEL MANDI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
28,36220690958,"AIDED V V KANYA SHAL HS AIDED, GOWLIGUDA RANG MAHAL ROAD","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
29,36221600112,"SRI GUJARATHI VIDYA MANDIR JR.COLLEGE(G) , KOTI","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
30,36220690983,"OXFORD HIGH SCHOOL, CHUDI BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
31,36220690980,"MIDAS HIGH SCHOOL, M J MARKET","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
32,36220690969,"NEW PARAMOUNT HIGH SCHOOL, BARBARBAGH","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
33,36220690987,"G K KABRA NAVJIVAN MODERN, MAHILA NAVJIVAN","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
34,36220690988,"STUDENTS HIGH SCHOOL, TROOP BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
35,36220690989,"RABINDRANATH HIGH SCHOOL, BESIDE FISH MARKET, FEELKHANA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
36,36220600102,"NILOUFER HIGH SCHOOL, NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
37,36220690978,"JOHNS HIGH SCHOOL, ABIDS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
38,36220690982,"DIAMOND JUBILEE HIGH SCHOO, CHIRAGALI LANE","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
39,36220690994,"JUBILEE CONVENT HIGH SCHOOL , NEW AGAPURA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
40,36220690992,"NANDINI HIGH SCHOOL, chirag alilane,ABIDS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
41,36220690973,"SHANKARJI MEMORIAL GIRLS , EXHIBITION GROUND, HYDERABAD","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
42,36220691007,"SRI LAXMI DURGA HIGH SCHOOL, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
43,36220690970,"ST PAULS HI TECH SCHOOL, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
44,36220690972,"METHODIST HIGH SCHOOL, KINGKOTI ROAD","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
45,36220691004,"BRILLIANT GRAMMER H S, BASHEENGUNJ","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
46,36220690984,"ROSARY CONVENT HIGH SCHOOL, GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
47,36220690986,"NAMPALLY VYAYAM SHALA HIGH SCHOOL, BEHIND RLY GOODS SHED","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
48,36220691066,NEO QUANTUM JR COLLEGE,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
49,36220691024,"PIONEER JR.COLLEGE , ABIDS,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
50,36220600110,"H N RAO MEMORIAL HIGH SCHOOL, CHUDI BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
51,36220690975,"LITTLE FLOWER HIGH SCHOOL, CHIRAG ALI LANE,ABID","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
52,36220690997,"VANDE MATHARAM HIGH SCHOOL, KAMALA NILAYAM","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
53,36220690979,"SUJATHA HIGH SCHOOL, CHAPEL ROAD","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
54,36220690968,"HOLY MOTHER HIGH SCHOOL, AGHAPURA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
55,36220691003,"SLATE THE SCHOOL, BESIDES SBH GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
56,36220691057,"JAINS HIGH SCHOOL, BEGUM BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
57,36221600149,"V V COLLEGE DAY, CHARMINAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
58,36220691068,TAPASYA JUNIOR COLLEGE REDHILLS,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
59,36220691045,"JUBILEE HIGH SCHOOL, AGHAPURA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
60,36220600107,"St MARK THE HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
61,36220691054,"GURU HARKRISHAN HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
62,36220691053,"SHRUNG RISHI HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
63,36220690981,"ALL SAINTS HIGH SCHOOL, -GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
64,36220691051,"GOWTHAM MODEL HIGH SCHOOL,AGHAPURA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
65,36220691002,"SWEET CHILDREN HIGH SCHOOL, RISALA ABDULLA","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
66,36220691040,"SRI CHAITANYA HIGH SCHOOL, GHOSHAMAHAL","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
67,36220691017,"S.K. PROGRESSIVE SCHOOL, JAMBAGH","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
68,36220690974,"GOOD WILL HIGH SCHOOL, BEHIND MAHESH BANK","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
69,36220691005,"ST GEORGES GIRLS GRAAMMAR, GUNFOUNDRY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
70,36220690998,"SHREE HANUMAN VYAYAM SHALA PUBLIC SCHOOL, SULTAN BAZAR","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
71,36220690920,"VIDYA VINALAYA SCHOOL, RED HILLS","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
72,36220600122,VANITA MAHA VIDYALA JUNIOR COLLEGE EXHIBITION GROUNDS,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
73,36220600119,"MJPTBCWREIS BOYS, NAMPALLY","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
74,36220691001,"SEVENTH-DAY ADVENTIST HIGH SCHOOL, CHAPEL ROAD","State : Telangana
District : HYDERABAD
Block : NAMPALLY"
75,36220600116,TMREIS BOYS1 GOSHAMAHAL,"State : Telangana
District : HYDERABAD
Block : NAMPALLY"
