Seq No.,UDISE Code,School Name,School Location
1,36221091626,AIDED ASAFIA HS AIDED,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
2,36221091830,"GOVT. RESIDENTIAL SCHOOL FOR HEARING HANDICAPPED ASMANGADH, 2","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
3,36221091624,"AIDED VANI HS AIDED, VANI NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
4,36221091629,"AIDED M.H. GUPTA HS AIDED, VINAY NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
5,36221091628,AIDED SVC HS AIDED MOOSARAMBAGH,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
6,36221091676,"DAWN HIGH SCHOOL, MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
7,36221091768,"GOVT.NEW JR.COLLEGE , MALAKPET,","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
8,36221091763,TSWREIS (GIRLS) SCHOOL RK PURAM MOOSARAMBAGH,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
9,36221091792,"AIDED SRI PADMAVATHI JR.COLLEGE FOR GIRLS , SUBRAHMANY","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
10,36221091654,"ROYAL EMBASSY HIGH SCHOOL, DHOBHIGATH","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
11,36221091677,RAINBOW CENTRAL HIGH SCHOOL AKBARBAGH,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
12,36221091636,"SARADA VIDYALAYA HIGH SCHOOL, PRASANTH NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
13,36221091689,"GAUTAMI TALENT HIGH SCHOOL,SANTOSH NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
14,36221091787,"UNIQUE HIGH SCHOOL, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
15,36221091765,"ROYAL EMBASSY JUNIOR COLLEGE FOR GIRLS , KURMAGUDA,","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
16,36221000125,"LITTLE NIGHTINGALES HIGH SCHOOL, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
17,36221091822,"NARAYANA E-TECHNO, CHAMPAPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
18,36221091681,"BRILLIANT GRAMMAR SCHOOL, DILSHUKNAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
19,36221091618,"ADARSH VIDYAMANDIR HIGH SCHOOL, DAYANAND NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
20,36221091651,"LITTLE STARS HIGH SCHOOL, MADANNAPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
21,36221091655,"K L M QUEENS HIGH SCHOOL,, SAIDABAD COLONY","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
22,36221091696,SRI CHAITANYA SCHOOL MOOSARAMBAGH,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
23,36221091632,"SPRINGDALES HIGH SCHOOL, SANTOSH NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
24,36221091638,"ST. THOMAS HIGH SCHOOL, SHALIVAHANANAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
25,36221091648,"GEETANJALI VIDYALAYA HIGH SCHOOL, SARASWATHI NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
26,36221000111,"KRISHNAVENI HIGH SCHOOL, MADANNAPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
27,36221091810,"VIPs INTERNATIONAL SCHOOL, OPP.PALLAVI BUS STOP, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
28,36221000105,"THE GUIDANCE HIGH SCHIOOL, OLD MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
29,36221091706,"GOUTHAM CONCEPT SCHOOL, MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
30,36221000116,"RAVINDRA BHARATHI HIGH SCHOOL, SAIDABAD","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
31,36221091761,"M.S. CREATIVE HS, OPP. FIRE STATION, MALAKPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
32,36221091674,ADAMS HIGH SCHOOL MALAKPET,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
33,36221091652,"PERFECT HIGH SCHOOL, MADANNAPET","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
34,36221091662,"SACRED HEART HIGH SCHOOL,, SONTHOSHNAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
35,36221091667,"THE INDO EM HIGH SCHOOL, SANTOSH NAGAR","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
36,36221091640,"VIKASA BHARATHI HIGH SCHOOL, NEAR NEW POLICE STATION","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
37,36221091841,NEW ROYAL HIGH SCHOOL JIYANAGAR,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
38,36221091698,MS JUNIOR COLLEGE MALAKPET,"State : Telangana
District : HYDERABAD
Block : SAIDABAD"
39,36221091791,"SANGAM LAXMI BAI JR.COLLEGE FOR GIRLS , SAIDABAD,","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
40,36221091732,"MORNING STAR SCHOOL, GADDIANNARAM","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
41,36221091795,"SHANTINIKETAN HIGH SCHOOL, TRIVENI NAGAR, GADDIANNARAM","State : Telangana
District : HYDERABAD
Block : SAIDABAD"
