Seq No.,UDISE Code,School Name,School Location
1,36210700382,GENESIS GRAMMAR HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
2,36210700369,ST ALPHONSUS HIGH SCHOOL (SURYA NAGAR),"State : Telangana
District : MEDCHAL
Block : ALWAL"
3,36210700375,GEETA HIGH SCHOOL(OLD ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
4,36210700365,MODEL MISSION HIGH SCHOOL(LOTHKUNTA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
5,36210700370,NEW LIFE GRAMMAR HIGH SCH,"State : Telangana
District : MEDCHAL
Block : ALWAL"
6,36210700389,HOLY ANGELS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
7,36210700805,PRIZE THE SCHOOL YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
8,36210790221,PRINCE HIGH SCHOOL (AMBEDKAR NAGAR OLD ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
9,36210700388,DAFFODIL MODEL HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : ALWAL"
10,36210700371,PALLAVI PROGRESSIVE HIGH,"State : Telangana
District : MEDCHAL
Block : ALWAL"
11,36210700383,DAFFODIL CONVENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
12,36210790220,ROSARY HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
13,36210890215,RAMAKRISHNA TALENT HS YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
14,36210700101,LITTLE FLOWER SCHOOL LOTHUKUNTA UP,"State : Telangana
District : MEDCHAL
Block : ALWAL"
15,36210790222,AKSHARA VIDYALAYA HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
16,36210700376,SREE NARAYANA VIDYA BHAVAN (KANOJIGUDA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
17,36210700391,"TRIVENI HIGH SCHOOL, ALWAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
18,36210700395,SANTOSHI EXCELLENT (KANOJIGUDA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
19,36210700381,PRAGATHI HIGH SCHOOL YAPR,"State : Telangana
District : MEDCHAL
Block : ALWAL"
20,36210790228,ST MICHAILS SCHOOL(JONNABANDA) ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
21,36210890249,st.pious x school prashanth nagar,"State : Telangana
District : MEDCHAL
Block : ALWAL"
22,36210790230,PUDAMI THE ENGLISH SCHOOL(OLD ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
23,36210790237,"PALLAVI MODEL SCHOOL, ALWAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
24,36210700804,"INDUS UNIVAERSAL SCHOOL,YAPRAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
25,36210700701,KOTWAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
26,36210700803,TMREIS (GIRLS) MAKAJGIRI,"State : Telangana
District : MEDCHAL
Block : ALWAL"
