Seq No.,UDISE Code,School Name,School Location
1,36210600104,MODERN MISSION HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
2,36210600640,GOVT.HS SANATHNAGAR OLD,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
3,36210600641,GOVT.HS B.K GUDA (U/M),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
4,36210600851,NEWTON HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
5,36210600209,SRI RAMAM MODEL CONVENT,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
6,36210600219,HOLY SOOFIA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
7,36210600111,"COVELLS HIGH SCHOOL, HS OLD BOWENPALLY","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
8,36210600617,"ST. XAVIERS HIGH SCHOOL, FATHER NAGAR","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
9,36210600212,ST. MARYS HS HASMATPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
10,36210600649,JIHNSON GRAMMER HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
11,36210600659,BLUE DIAMOND HIGH SC,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
12,36210600654,ROSE BUDS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
13,36210600708,N S K K. HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
14,36210600861,LEELA CONCEPT SCHOOL HS,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
15,36210600867,ST MARY JOSEPHS SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
16,36210600121,SRI RAMAKRISHANA HIGH SCH,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
17,36210600871,VISION MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
18,36210600840,AADARSH VIDYANIKETHAN,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
19,36210600224,"SAI KRISHNAVE HS, HASHMATHPET","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
20,36210600307,ST.AGATHA MODEL HS,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
21,36210600105,RAINBOW SCHOOL (OLD BOWENPALLY),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
22,36210600870,"ST.JOSEPHS HIGH SCHOOL, BALANAGAR","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
23,36210600875,PANCHAUATI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
24,36210600211,ST. PAULS HS HASMATPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
25,36210600660,SRI HARI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
26,36210600805,HINDU JUNIOR COLLEGE FOR GIRLS SANATHNAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
27,36210600716,"Air Force School, Begumpet","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
28,36210600652,HI-TECH MODERN HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
29,36210600505,"VIJETHA HIGH SCHOOL, BABBUGUDA","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
30,36210600308,RADCLIFF SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
31,36210600709,KENDRIYA VIDYALAYAM BEGUGM NEW BOWNPALLY,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
