Seq No.,UDISE Code,School Name,School Location
1,36211401730,"SRI CHAITANYA HIGH SCHOOL, VIGANAN","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
2,36211400504,ZPHS ANNOJIGUDA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
3,36211400902,ZPHS PRATAPASINGARAM,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
4,36211401734,"AIDED GURUKULA JR. COLLEGE , GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
5,36211401746,ZPHS GHATKESAR (BOYS),"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
6,36211401720,ZPHS GHATKESAR (G),"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
7,36211401018,GREENFIELDS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
8,36211400510,SRI VIDYA VIHAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
9,36211401722,THE GHATKESAR MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
10,36211400506,JESUSWAY HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
11,36211401750,MINERVA GRAMMAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
12,36211401013,TEJASVI VIDYARANYA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
13,36211401613,PUDAMI THE ENGLISH UPS,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
14,36211400508,NEW VISION MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
15,36211401748,"ST ANTHONYS HIGH SCHOOL, GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
16,36211401747,ACCENT MODEL HS,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
17,36211401015,GOUTHAM MODEL SCHOOL HS,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
18,36211401764,Rotterdam international School,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
19,36211401769,"NALLAMALLAREDDY JR COLLEGE, GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
20,36211401768,"SRI BHAVITHA JUNIOR COLLEGE,GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
21,36211401304,"SPR SCHOOL OF EXCELLENCE, AUSHAPUR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
22,36211401016,ANJANI SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
23,36211401723,VIDYA KIRAN HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
24,36211401729,HOLY FAITH GRAMMAR HS,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
25,36211401804,NALLA MALLA REDDY FOUDATION SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
26,36211400103,SREE VIDYANI KETHAN INTERNATION SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
27,36211400204,"SHANTHI NIKETHAN HIGH SCHOOL, ISMAILKHANGUDA","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
28,36211401203,PUDAMI NEIGHBOURHOOD SCHOOL,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
29,36211401202,PRABODANANDA PRASHANTHI NIKETAN,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
30,36211400402,"ROCK WOODS SCHOOL , YAMANAMPET","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
31,36211401727,KENDRIYA VIDYALAYAM GHATKESAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
32,36211401767,"MJPTBCWREIS ( B) , GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
33,36211401617,TMREIS GIRLS GHATKESAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
