Seq No.,UDISE Code,School Name,School Location
1,36211301432,ST.PETERS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
2,36211301417,SERENITY MODEL HIGH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
3,36211301416,ST.ANTHONYS GRAMMAR,"State : Telangana
District : MEDCHAL
Block : KEESARA"
4,36211300620,lorvens school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
5,36211300610,"TSREIS BOYS,KEESARA","State : Telangana
District : MEDCHAL
Block : KEESARA"
6,36211301303,ZPHS BHOGARAM,"State : Telangana
District : MEDCHAL
Block : KEESARA"
7,36211301609,ZPHS RAMPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
8,36211300905,ZPHS CHEERIYAL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
9,36211300802,DAVIS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
10,36211301610,OM SRI MAHAKALI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
11,36211301411,RUSHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
12,36211300613,"PUDAMI ENGLISH, HS KEESARA","State : Telangana
District : MEDCHAL
Block : KEESARA"
13,36211301427,PUDAMI THE ENGLISH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
14,36211300614,PUDAMI THE N HS,"State : Telangana
District : MEDCHAL
Block : KEESARA"
15,36211300617,KLR JR. COLLEGE,"State : Telangana
District : MEDCHAL
Block : KEESARA"
16,36211300911,"PUDAMI ENGLISH, HS CHEERIYAL","State : Telangana
District : MEDCHAL
Block : KEESARA"
17,36211300906,VARDHANA SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
18,36211301612,Vignan Jyothi Model School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
19,36211300611,ARUNDATHI VIDYALAYA HIGH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
20,36211301426,SHIVAPPA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
21,36211300626,oak valeey school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
22,36211300914,SRI NARAYANA GLOBAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
23,36211301506,LEAD INDIA BHARATHRATHNA SCHOOL AHMEDGUDA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
24,36211301505,"St. Andrews School, Ahmed guda","State : Telangana
District : MEDCHAL
Block : KEESARA"
25,36211300615,LOTUS NATIONAL HS,"State : Telangana
District : MEDCHAL
Block : KEESARA"
26,36211301620,"Reqelford International School ,Rampally","State : Telangana
District : MEDCHAL
Block : KEESARA"
