Seq No.,UDISE Code,School Name,School Location
1,36210500302,RAJA RAM VIDYA BHAVAN,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
2,36210500131,ZPHS YELLAMMA BANDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
3,36210590277,"AVINASH COLLEGE OF COMMERCE, KUKATPALLE","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
4,36210500126,ZPHS SHAMSHIGUDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
5,36210500449,ZPHS KUKATPALLY,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
6,36210590251,"ST.MARYS HIGH SCHOOL, VASANTH NAGAR","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
7,36210500614,SRI CHAITANYA HIGH SCHOOL PS(SP NAGAR),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
8,36210500465,"NARAYANA CONCEPT SCHOOL, KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
9,36210500460,OXFORD GRAMMAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
10,36210500564,"ST, ALPHONSASHIGH SCHOOL","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
11,36210500226,VIVEKANANDA CONVENT HS.,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
12,36210500500,SREE VARDHAN JR COLLEGE,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
13,36210500212,CAREWOOD CONCEPT SCHOOL (MOOSAPET),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
14,36210500301,SAFDARNAGAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
15,36210500573,ROSARY HIGH SHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
16,36210590206,"SRI CHAITANYA HIGH SCHOOL, KUKATPALLE","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
17,36210590208,GEETANJALI OLYMPIAD HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
18,36210500527,BHASHYAM HS (KPHB),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
19,36210500569,BHASHYAM HIGH SCHOOL V.V.NAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
20,36210500587,SHRADDHA-THE SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
21,36210500451,NEW ERA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
22,36210500446,BHAGYANAGAR MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
23,36210500554,BAPUJI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
24,36210590271,"SRI GAYATRI JUNIOR COLLEGE, KUKATPALLE","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
25,36210590207,GEETANJALI TALENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
26,36210590258,GLOBAL HIGH SCHOOL (HS),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
27,36210590245,VELOCITY HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
28,36210500454,NAGARJUNA MODEL HIGH SCHO,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
29,36210500319,"SRI SAI CHAITANYA HIGH SCHOOL, Allahpur","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
30,36210590276,PINNACLE VOCATIONAL JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
31,36210590231,ABHYAS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
32,36210500220,SWARNANJALI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
33,36210500344,LITTLE STAR HIGH SCHOOL (TULASI NAGAR),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
34,36210500477,"VIJETHA JR. COLLEGE , KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
35,36210590280,CMS JR COLLEGE,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
36,36210500582,"DAFFODILS HIGH SCHOOL, KPHB COLONY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
37,36210500223,"LOYOLA HIGH SCHOOL, MOOSAPET","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
