Seq No.,UDISE Code,School Name,School Location
1,36210890608,GOVT.JUNIOR COLLEGE MALKAJGIRI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
2,36210890434,ZPHS GIRLS MALKAJGIRI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
3,36210890433,ZPHS BOYS MALKAJGIRI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
4,36210890557,"KRISHNAVENI TALENT HS, OLD SAFILGUDA","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
5,36210890451,RAJADHANI MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
6,36210890303,TULASI TALENT HS GANESHNAGAR,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
7,36210890227,SR DIGI HS NEREDMET,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
8,36210890467,VIGNANA VARDHANI HIGH SCH,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
9,36210890475,ST SAI GRAMMAR SCHOOL (KAKATIYA NAGAR),"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
10,36210890559,RAVINDRA BHARATHI E LEARN HS OLD PS,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
11,36210890492,"SHANKER VIDYALAYA HIGH SCHOOL, BJR NAGAR","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
12,36210890440,ST ANTHONYS HIGH SCHOOL MIJALGUDA,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
13,36210890507,OLIVET GRAMMER HIGH SCHOOL NEW VENKATESHWAR NAGAR TUKARAMGATE,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
14,36210890449,ST JOHNS GRAMMAR HIGH SCHOOL SAINIKPURI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
15,36210890445,ANAND BAGH HIGH P.SCHOOL EAST ANAND BAGH,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
16,36210890439,"SARASWATHI SCHOOL, GOUTHAM NAGAR","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
17,36210890489,"VIGNAN VIDYA NIKETAN, NEREDMET","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
18,36210890463,"SIDDHARDHA CONVENTHIGH SCHOOL, YADAV NAGAR","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
19,36210890570,KAKATIYA HS,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
20,36210890484,RATANS HIGH SCHOOL V N,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
21,36210890437,LITTLE SCHOLAR SCHOOL(NEW VIDYANAGAR NEREDMET),"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
22,36210890446,ST LITTLE THERESAS HS SAFILGUDA,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
23,36210890479,ST JUDES HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
24,36210890502,AUM SAI SARASWATI VIDYALA,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
25,36210890523,"BHASHYAM HIGH SCHOOL,BRUDAVAN COLONY MALKAJGIRI","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
26,36210890505,VIMUKTHI MISSION HIGH SCHOOL MADHURA NAGR,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
