Seq No.,UDISE Code,School Name,School Location
1,36211000326,"MUDRA HIGH SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
2,36211000532,RAVINDRABARTI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
3,36211000561,"SRI CHAITANYA JUNIOR KALASALA,PEERZADAGUDA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
4,36211000316,GRACE MISSION HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
5,36211000340,BODUPPAL KAKATIYA SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
6,36211000554,vijayaratna high school,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
7,36211000331,"SRI SAI SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
8,36211000558,"SRI VEDA JUNIOR COLLGE,BUDHANAGR","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
9,36211000533,GEETHANJALI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
10,36211000332,"PUDAMI THE ENGLISH PRIMARIES, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
11,36211000344,"LOTUS LAP HIGH SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
12,36211000371,"SRI CHAITANYA JUNIOR COLLEGE,BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
13,36211000606,"ST JOHNS HIGH SCHOOL, CHENGICHERLA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
14,36211000324,"BHOOPATHY HIGH SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
15,36211000560,"JAAGURTHI JUNOR COLLEGE,PEERZADGUDA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
16,36211000559,"ANITHA VOC JUNIOR COLLEGE,PEERZADAGUDA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
17,36211000517,GYANA JYOTHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
18,36211000315,"NARAYANA CONCEPT HS, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
19,36211000341,PAREEKSHA THE PERFECT SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
20,36211000417,"NARAYANA JUNIOR KALASALA, MEDIPALLY","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
21,36211000368,S R JUNIOR COLLEGE 59377,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
22,36211000525,"SRI CHAITANYA HIGH SCHOOL, PEERZADIGUDA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
23,36211000405,"SRI SAI HIGH SCHOOL, MEDIPALLY","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
24,36211000530,SRI VIKAS CONCEPT SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
