Seq No.,UDISE Code,School Name,School Location
1,36210990212,UPPAL MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
2,36210990163,ZPHS MALLAPOR,"State : Telangana
District : MEDCHAL
Block : UPPAL"
3,36210990425,"VASUNDHARA JR. COLLEGE FOR GIRLS, H.B COLONY","State : Telangana
District : MEDCHAL
Block : UPPAL"
4,36210990164,AIDED WESELY CO-EDUCATION HS,"State : Telangana
District : MEDCHAL
Block : UPPAL"
5,36210990208,ST.VENUS SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
6,36210990201,ZPHS UPPAL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
7,36210990218,GYAN BHARATHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
8,36210990245,NGRI SCHOOL (HABSIGUDA),"State : Telangana
District : MEDCHAL
Block : UPPAL"
9,36210990361,BHAVYAS GRAMMAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
10,36210901403,URBANE JR. COLLEGE,"State : Telangana
District : MEDCHAL
Block : UPPAL"
11,36210990459,N.S GRAMMAR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
12,36210990215,ST GABRIALS EDL. HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : UPPAL"
13,36210990165,ST.ANTHONYS GR HIGH SCHO,"State : Telangana
District : MEDCHAL
Block : UPPAL"
14,36210990166,SHANKARA VIDYALAYA,"State : Telangana
District : MEDCHAL
Block : UPPAL"
15,36210900502,KRISHNAVENI HIGH SCHOOL (NEW MARUTHI NAGAR),"State : Telangana
District : MEDCHAL
Block : UPPAL"
16,36210990415,"NARAYANA JR. COLLEGE , RAMANTHAPUR","State : Telangana
District : MEDCHAL
Block : UPPAL"
17,36210901402,GEETHANJALI JR. COLLEGE,"State : Telangana
District : MEDCHAL
Block : UPPAL"
18,36210990217,SRI SAI SCHOOL (HABSIGUDA),"State : Telangana
District : MEDCHAL
Block : UPPAL"
19,36210990276,"JANAPRIYA SCHOOL, HABSIGUDA","State : Telangana
District : MEDCHAL
Block : UPPAL"
20,36210990211,"KONARK SCHOOL, UPPAL","State : Telangana
District : MEDCHAL
Block : UPPAL"
21,36210990184,"OXFORD HIGH SCHOOL, MALLAPUR","State : Telangana
District : MEDCHAL
Block : UPPAL"
22,36210990174,MOTHER THERESA CO-EDN. H.S(MOULALI),"State : Telangana
District : MEDCHAL
Block : UPPAL"
23,36210990191,"BRILLIANT GRAMMAR HIGH SCHOOL, HABSIGUDA","State : Telangana
District : MEDCHAL
Block : UPPAL"
24,36210990413,"NARAYANA JR. COLLEGE, HABSIGUDA","State : Telangana
District : MEDCHAL
Block : UPPAL"
25,36210990170,ST.PETERS MODEL SCHOOL (MALLAPUR),"State : Telangana
District : MEDCHAL
Block : UPPAL"
