Seq No.,UDISE Code,School Name,School Location
1,36232500913,"GOVT. JR.COLLEGE , SHADNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
2,36232503636,GOVT.HS FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
3,36232502803,TSWREIS JRC KAMMADANAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
4,36232502107,ZPHS CHINCHOD,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
5,36232503310,ZPHS BURGUL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
6,36232503503,ZPHS MADHURAPUR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
7,36232503103,ZPHS RAIKAL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
8,36232503663,NARAYANA HS FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
9,36232503648,DEEPIKA MEMORIAL HS SHADNAGAR (VIJAYANAGAR COLONY),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
10,36232501201,ZPHS VELJERLA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
11,36232503643,NAVAJYOTHI HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
12,36232503645,SRI SATYA SAI HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
13,36232503695,HS BASHYAM HIGH SCHOOL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
14,36232503687,HS BRILLIANT FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
15,36232503667,TEJA UPS FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
16,36232503674,HS KAKATIYA FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
17,36232503693,HS OXFORD INTERNATIONAL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
18,36232503662,KRISHNAVENI HS FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
19,36232501503,MARIA RANI SHANTHI VIDYANIKETHAN,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
20,36232500920,GEETHANJALI EM HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
21,36232500905,HS MOTHER THERESA SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
22,36232503697,HS LITTLE SCHOLARS CONVENT SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
23,36232503691,BHARATI INTEGRAL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
24,36232500907,HS SRIKAKATIYA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
25,36232500609,OMKAR SAHITHI VIDYALAYAM HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
26,36232503658,MEDHA CHATTANPALLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
27,36232503657,MONTESSORI SHADNAGAR (EM),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
28,36232503685,HS KRISHNAVENI FARUQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
29,36232500935,TMREIS (GIRLS) FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
30,36232503682,HS GENIUS FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
31,36232503641,TAGORE HIGH SCHOOL SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
