Seq No.,UDISE Code,School Name,School Location
1,36230302303,ZPHS MANIKONDA,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
2,36230301605,ZPHS NARSINGI,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
3,36230301807,ROCK HIGH SCHOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
4,36230300103,ZPHS HYDERSHAKOTE,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
5,36230302409,SRI GAYATRI E TECNO SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
6,36230302306,PRATHIBA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
7,36230301714,"VISHWA BHARATHI HS, BANDLAGUDA JAGIR","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
8,36230401847,"GOWTHAM MODEL SCHOOL, BANDLAGUDA","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
9,36230300115,"SRI TRIVENI HIGH SCHOOL, HYDERSHAKOT","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
10,36230300111,"SRI CHAITANYA HIGH SCHOOL, HYDERSHAKOT","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
11,36230301615,"VISHWA BHARATHI HIGH SCHOOL, NARSINGI","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
12,36230301720,SRI VIVEKANANDA VIDYA VIHAR,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
13,36230301717,L N R CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
14,36230301710,ARCHANGELS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
15,36230301728,"KRISHNAVENI TALENT HS, BANDLAGUDA JAGIR","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
16,36230301711,RAUS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
17,36230300905,PRANAVA THE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
18,36230300904,TRIVENVIDYANIKETAN HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
19,36230301813,PRISM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
20,36230302403,KAKATITYA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
21,36230302406,TRIVENI SCHOOL(PS),"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
22,36230302309,LOTUS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
23,36230301609,WINRIDGE INTERNATION,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
24,36230300110,SREENIDHI CONCEPT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
25,36230301705,MARVEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
26,36230301612,"S R HIGH SCHOOL, NARSINGI","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
27,36230300306,VIDYA VIKAS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
28,36230300502,LITTLE ANGELS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
29,36230300104,S.M.P MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
30,36230301607,WESTSIDE GRAMMER SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
31,36230301610,SRI GOWTHAM HS,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
32,36230301726,SRI SAI VIJETHA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
33,36230301723,GLEMDALE ACADEMY SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
34,36230302310,GAUTAMI TALENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
35,36230300116,"SRI CHAITANYA HIGH SCHOOL, CBSE HYDERSHAKOT","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
36,36230301724,"DON BOSCO SCHOOL, BANDLAGUDA","State : Telangana
District : RANGAREDDY
Block : GANDIPET"
37,36230302105,ROCKWELL INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
38,36230302312,MOUNT LITERA ZEE SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
39,36230302412,THE FUTURE KIDS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
40,36230300404,VISTA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
41,36230302104,PHOENIX GREENS SCHOOL(KOKAPET),"State : Telangana
District : RANGAREDDY
Block : GANDIPET"
