Seq No.,UDISE Code,School Name,School Location
1,36230900725,GOVT. HS IBRAHIMPATNAM,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
2,36230900729,NAGARJUNA HIGH.SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
3,36230900741,T R R HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
4,36230901807,TSWREIS NALLAKANCHA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
5,36230900722,ZPHS CHERLAPATELGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
6,36230900728,ANGLIST HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
7,36230900734,GURUKULA VIDYA PEETH HIGH,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
8,36230900773,SRI VIDYANJALI JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
9,36230900749,"BRILIANT GRAMMAR HS, IBRHIMPATNAM KALSA","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
10,36230900308,NALANDA GRAMMAR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
11,36230900752,KRISHNAVENI TELENT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
12,36230900310,TSMS BONGLOOR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
13,36230900726,TMREIS (G) IBRAHIMPATN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
