Seq No.,UDISE Code,School Name,School Location
1,36230600825,TSWREIS (GIRLS) SAROORNAGAR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
2,36230601623,"GOVT. JR. COLLEGE , SAROORNAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
3,36230601451,ZPHS CHAMPAPET,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
4,36230601453,ZPHS BAHADURGUDA,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
5,36230601454,ZPHS KARMANGHAT,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
6,36230601349,KAKATIYA CENTRAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
7,36230601455,AIDED V.M.HOME HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
8,36230601602,ZPHS MANSOORABAD,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
9,36230601714,NAGARJUNA SCHOOL SRINIVASAPURAM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
10,36230601390,NRI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
11,36230601723,ELITE(VOC) JR COLLEGE KOTHAPET,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
12,36230601548,EXPERT MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
13,36230601577,VIJAY KARAN HS,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
14,36230601722,PRAGATHI JR COLLEGE FOR GIRLS,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
15,36230600573,"G.L.R. NEW MODEL JR. COLLEGE , DILSUKHNAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
16,36230600812,"SRI CHAITANYA JR KALASALA , SRI RAM NAGAR, KO","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
17,36230600567,"SRI CHAITANYA JUNIOR KALASALA , HANUMAN NAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
18,36230601420,"JYOTHI MODEL SCHOOL, Saroornagar","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
19,36230600541,GENIUS GRAMMA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
20,36230600511,"DILSUKH NAGAR SCHOOL,","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
21,36230601811,"SAI CHAITANYA JUNIOR COLLEGE, SAROORNAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
22,36230601568,LITTLE ROSES H S,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
23,36230600404,KEERTHI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
24,36230601472,VAMSEE MOHAN SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
25,36230601685,KAKATIYA SCHOOL CETRAL BANK,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
26,36230600406,HYDERABAD SAINIK SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
27,36230601350,"INDO AMERICAN SCHOOL, champapet","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
28,36230600594,"NARAYANA OLYMPIAD SCHOOL, 5TH WARD","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
29,36230601388,NAAGARJUNA SCHOOL- KARMANGHAT,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
30,36230601417,SIDDARTHA MODEL HIGH SCHO,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
31,36230601529,SAGARIKA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
32,36230601528,SAI GRAMMER HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
33,36230601521,"BRILLIANT GRAMMAR HIGH SC, champapet","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
34,36230601570,NALANDA H S,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
35,36230600546,ST.ALOYSIUS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
36,36230600557,"GOWTHAM MODEL SCHOOL, GADDIANNARAM","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
37,36230500619,"AAKRUTHI SCHOOL, MEERPET","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
38,36230601806,SRI GAYATHRI JR COLLEGE CHAITHANYAPURI,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
39,36230601713,KRISHNAVENI TALENT SCHOOL-HASTHINAPURAM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
40,36230601502,SRI SARASWATHI HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
41,36230601527,"BASHYAM HIGH SCHOOL, HS LB NAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
42,36230601708,NARAYANA HIGH SCHOOL R K PURAM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
43,36230601457,ST.MARYS VIDYANIKETHAN S,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
44,36230600408,"SRI CHAITANYA SCHOOL, CHAMPAPET","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
45,36230500809,"SRI CHAITANYA SCHOOL, KOTHAPET","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
46,36230601492,ABHYUDAY SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
47,36230601484,ETEN TEMPLE HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
48,36230601475,HOLY SPIRIT SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
49,36230601499,NAIVE MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
50,36230601494,GOOD CITIZENS HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
51,36230601460,SPARK HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
52,36230601202,SRI KRISHNAVENI HIGH SCHOOL-DSNR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
53,36230600577,"NARAYANA JUNIOR COLLEGE , GADDIANNARAM","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
54,36230600841,SAKETA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
55,36230600574,"SRI CHAITANYA JR. KALASALA , DILSUKHNAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
56,36230601524,DILSUKH NAGAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
57,36230600529,GOOD SHEPERD HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
58,36230601594,"KRISHNAVENI TALENT SCHOOL, LB NAGAR3","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
59,36230601508,CENTRAL GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
60,36230601688,"ENGLISH UNION HIGH SCHOOL, R.K.PURAM","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
61,36230600548,GAUTAMI TALENT HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
62,36230601515,ANWESHINI GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
63,36230601459,VIDYA BODHINI HIGH SCHO,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
64,36230601464,SRI TRIVENI SCHOOL- CHAMPAPET,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
65,36230601509,DOMNICS DAISY FLOWER HIGH,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
66,36230601465,VIDYA DAYINI MODEL HIG,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
67,36230601513,"LOTUS LAP HIGH SCHOOL, LB NAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
68,36230601589,"SRI CHAITANYA TECHNO SCHOOL, LB NAGAR3","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
69,36230601479,STELLA MARYS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
70,36230601498,"KRISHNAVENI HIGH SCHOOL, Saroornagar","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
71,36230601495,TAKSHASILA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
72,36230601476,ST. MARYS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
73,36230601488,PRATHIBHA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
74,36230601481,V.D.PRASADA RAO MEMORIAL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
75,36230601493,GAUTHAM HS,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
76,36230601808,NARAYANA JRC GADDI ANNARAM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
77,36230601812,SRI CHAITANYA PANINEEYA MAHA VIDYALAYA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
78,36230601473,DILSUKHNAGAR PUBLIC HIGH,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
79,36230601474,NEO-TECH GRAMMER SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
80,36230601496,LITTLE FLOWER HIGH SCHOO,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
81,36230601660,MASTER MINDS ARTS JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
