Seq No.,UDISE Code,School Name,School Location
1,36230201620,"GOVT. JR. COLLEGE , B.H.E.L. CAMPUS, R.C. PURAM,","State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
2,36230202501,GOVT. JUNIOR COLLEGE SHERLINGAMPALLY(RAIDURG),"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
3,36230201611,ZPHS MIYAPUR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
4,36230202321,TSWRMS JR.COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
5,36230201401,MPHS MAKTA MAHABOBPET,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
6,36230201210,CHIREC SCHOOL(CAMBRIDGE),"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
7,36230201803,ZPHS SERLINGAMPALLY,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
8,36230201304,"RAOS HIGH SCHOOL, MADINAGUDA","State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
9,36230201101,ZPHS KOTHAGUDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
10,36230202346,"NAGARJUNA HIGH SCHOOL, Darga","State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
11,36230201614,BHAVYA SCHOOL (HS) (MIYAPUR),"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
12,36230202016,MANTAN SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
13,36230201829,NEW NATIONAL HIGH SCHOOL (HS),"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
14,36230201313,VELOCIITY HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
15,36230200717,HOLY FATHIMA HIGH SCHOOL MARTHANDAYA NAGAR (PS),"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
