Seq No.,UDISE Code,School Name,School Location
1,36231904153,"BRILIANT GRAMMAR HS, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
2,36231904172,"GOVT. JR. COLLEGE , SHAMSHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
3,36231902304,ZPHS PEDDASHAPUR,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
4,36231902002,ZPHS THONDUPALLY,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
5,36231904126,ZPHS SHAMSHABAD(B),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
6,36231902604,ZPHS PEDDATOOPRAN,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
7,36231904166,SRI SHARADA VIDYA MANDIR HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
8,36231904169,"KAKATIYA TECHNO SCHOOL, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
9,36231904183,"CHAITANYA JR COLLEGE, SHAMAHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
10,36231904132,NEA MISSION SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
11,36231904182,SRINARAYANA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
12,36231904133,ST MARYS CONVENT HIGH SCH,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
13,36231904180,KRISHNAVENI HIGH SCHOOL R B NAGAR SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
14,36231904184,GOWTHAMI JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
15,36231904151,ST.SAVIO HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
16,36231904152,"SRI VIDYA HIGH SCHOOL, RALLAGUDA","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
17,36231904185,INFANT JESUS JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
18,36231904131,INFANT JESUS INTRNL HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
19,36231904002,SRI GNYANA SARASWATHI,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
20,36231904168,BOONS HIGH SCHOOLS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
21,36231904177,VIDYA NIKETAN SCHOOL (SHAMSHABAD),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
22,36231904130,L.B.M.HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
23,36231904144,SATYAM GRAMMAR HS,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
24,36231901303,OASIS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
25,36231904178,GMR CHINMAYA VIDYALAYA HIGH SCHOOL SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
26,36231902511,TSMS SHAMSHABAD (PALAMAKOLE),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
