Seq No.,UDISE Code,School Name,School Location
1,29210303501,GHPS THINDLU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
2,29210316001,G LPS DEVANAYAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
3,29210316501,GHPS BOODIGERE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
4,29210332603,GGHS DEVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
5,29210308401,GHPS YALUVALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
6,29210305301,G LPS DEVAGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
7,29210313504,GHS COMPOSITE YELIYUR,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
8,29210300901,G LPS SONNENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
9,29210310401,GHPS SAVAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
10,29210309401,GHPS DHARMAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
11,29210307101,G LPS DODDA MUDDENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
12,29210301901,G LPS BHYRADENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
13,29210304602,G LPS BHOVIPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
14,29210315301,G LPS REDDYHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
15,29210310202,G HS BIDALUR,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
16,29210314401,GHPS IBASAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
17,29210314001,GHPS POLANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
18,29210304203,GHPS BETTENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
19,29210316602,G LPS HITTARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
20,29210333302,GHPS URDU GIRLS VIJAYAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
21,29210315701,GHPS MALLEPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
22,29210306504,GHS BIJJAVARA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
23,29210315002,GHS CHANNAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
24,29210302001,G LPS CHIKKA OBADENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
25,29210331501,G LPS PARVATHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
26,29210302205,KARNATAKA PUBLIC SCHOOLS G J C VISHWANATHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
27,29210306401,G LPS C.N. HOSURU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
28,29210316202,GHPS RAMANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
29,29210306601,GHPS NARAYANAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
30,29210312601,GHPS BYCHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
31,29210306101,G LPS G.HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
32,29210332401,G LPS SOTHEGOWDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
33,29210315801,GHPS BALEPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
34,29210302201,KARNATAKA PUBLIC SCHOOLS GHPS VISHWANATHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
35,29210305701,G LPS MUDUGURKI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
36,29210300501,G LPS YARAPPANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
37,29210302401,G LPS CHINNA KEMPANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
38,29210300101,GHPS RABBANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
39,29210305101,GHPS NERAGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
40,29210314801,GHPS CHEEMACHNAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
41,29210312203,G LPS POOJANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
42,29210308001,GHPS KOMMASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
43,29210308801,G LPS GUDUVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
44,29210311802,GHPS URDU KANNAMANGALA PALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
45,29210315901,GHPS BIDALAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
46,29210304206,G HS JALIGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
47,29210314701,GHPS VARADENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
48,29210310601,G LPS ATTIBELE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
49,29210311101,G LPS BHOODIHALA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
50,29210304001,G LPS CHIKKANNANA HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
51,29210309801,GHPS MODEL AVATHI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
52,29210311201,GHPS BOMMAVARA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
53,29210311301,G LPS CHIKKA CHEEMANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
54,29210331105,G MPGS DEVANAHALLI TOWN,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
55,29210313501,GHPS CHANNARAYAPATNA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
56,29210312501,GHPS DODDA SANNE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
57,29210300801,GHS KARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
58,29210331401,GHPS NEELERI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
59,29210306201,G LPS GOLLAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
60,29210313701,G LPS BOMMANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
61,29210304201,GHPS JALIGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
62,29210312701,GHPS ANNESHWARA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
63,29210313301,G LPS HYADALA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
64,29210307701,G LPS BHYRAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
65,29210305903,G LPS BULLAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
66,29210304801,G LPS CHOWDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
67,29210303401,G LPS DYAVARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
68,29210332806,G G HS VIJAYAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
69,29210302501,GHPS DUDDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
70,29210313601,G LPS MATTA BARLU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
71,29210301201,GHPS KOIRA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
72,29210315501,GHPS NALLURU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
73,29210308901,G LPS CHIKKA THATTAMANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
74,29210316502,GHPS URDU BOODIGERE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
75,29210303001,G LPS SULIKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
76,29210312004,G HS SADAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
77,29210316401,G LPS KAGGALAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
78,29210313401,G LPS BEEDIGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
79,29210303701,GHPS JUTTANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
80,29210310201,GHPS BIDALURU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
81,29210315201,GHPS BETTAKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
82,29210303801,GHPS ARADESHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
83,29210316702,G LPS CHOWDAPPANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
84,29210307301,G LPS THIMMAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
85,29210309901,G LPS GOBBARAGUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
86,29210313101,G LPS THAMMENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
87,29210314101,GHPS NAGANAYAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
88,29210316201,G LPS JONNAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
89,29210316701,GHPS GANGAVARA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
90,29210312201,GHPS KANNAMANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
91,29210314601,G LPS KONAGINABELE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
92,29210333603,G J C VIJAYAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
93,29210302204,GHS COMPOSITE KOIRA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
94,29210311801,G LPS KANNAMANGALA PALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
95,29210316508,SREE SIDDAGANGA P U COLLEGE BOODIGERE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
96,29210310701,GHPS KURUBARAKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
97,29210334402,GHS URDU VIJAYAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
98,29210334601,GHPS EAST VIJAYAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
99,29210315001,GHPS CHANNAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
100,29210315601,G LPS NALLAPPANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
101,29210313801,G LPS T. AGRAHARA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
102,29210313901,G LPS THELLOHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
103,29210331104,V V K HS KOTE DEVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
104,29210316503,SLN HPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
105,29210307401,GHPS HAROHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
106,29210315506,SHREE MARUTHI HS NALLURU,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
107,29210317033,GOVT PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
108,29210334602,SHREE NEELAGIRISHWARA VIDYANIKETHANA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
109,29210332402,RURAL HS DEVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
110,29210333203,EVERGREEN HS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
111,29210302203,CHANDRAKALA HPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
112,29210316937,SRI KRISHNA VIDYANIKETHAN HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
113,29210332801,PRAGATHI PRIMARY AND HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
114,29210331102,V.V.K. DEVANAHALLI HPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
115,29210334501,NANDINI VIDYANIKETHANA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
116,29210332604,VARNA VIDYALAYA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
117,29210313202,SIR M.V. HPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
118,29210312206,NATIONAL ACADEMY FOR LEARNING,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
119,29210302504,SRI MARUTHI VIDYA MANDIRA,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
120,29210305908,ANANTHA VIDYANIKETHANA AVATHI,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
121,29210305902,NAVODAYA LPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
122,29210317040,PRAGATHI GIRLS PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
123,29210333204,VIJAYA HS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
124,29210333604,SRIGANDHA LPS,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
125,29210332303,KANAKASRIJNANADEEPA PUCOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
126,29210315003,SREE RAMAKRISHNA RURAL HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
127,29210316946,UNITED CHRISTIAN PU COL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
128,29210330502,AKASH INTERNATIONAL SCHOOL AND P U COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
129,29210316924,GNANA DEEPA ACADEMY(R),"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
130,29210309807,NAVODAYA HIGH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
131,29210332702,CHINMAYEE PUBLIC SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
132,29210332804,JAYCES SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
133,29210331901,CARMEL ENGLISH SCHOOL,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
134,29210333002,INSPIRE PU COLLEGE,"State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
135,29210311803,"SRI SAI VIDYA MANDIRA, KANNAMANGALA","State : Karnataka
District : BENGALURU RURAL
Block : DEVANAHALLI"
