Seq No.,UDISE Code,School Name,School Location
1,29210209701,G LPS HIRENA GUDDADAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
2,29210224603,G LPS BANDAYYANAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
3,29210225002,G LPS CHENNADEVIAGRAHARA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
4,29210224915,GHS HULIKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
5,29210210301,G LPS SONNAMARANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
6,29210222001,G LPS GOWDAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
7,29210209102,G LPS KANIVEPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
8,29210208102,G LPS TANKASALA HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
9,29210207601,G LPS BACHHAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
10,29210224005,GHPS KANASAVADI COLONY,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
11,29210221801,G LPS BHYRASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
12,29210208703,G HS MELEKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
13,29210202001,GHPS KOTTIGE MACHENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
14,29210220201,GHPS DODDA HEJJAJI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
15,29210200903,GHPS HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
16,29210228101,G LPS KACHERIPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
17,29210205102,GHPS S.S. GHATI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
18,29210212101,GHPS SHIVAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
19,29210222201,GHPS KADANURU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
20,29210207401,GLPS ANTHARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
21,29210204801,G LPS SUTHHAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
22,29210212701,GHPS THALAGAVARA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
23,29210225402,G.J.C HS D.B.PURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
24,29210225902,GHPS KHAS BHAG,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
25,29210218201,G LPS SONNENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
26,29210219003,G LPS DODDABELAVANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
27,29210225801,G LPS SIDDA NAYAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
28,29210209501,GHPS GANTIGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
29,29210208301,G LPS SOTHENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
30,29210206801,GHPS SHIRAVARA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
31,29210200302,G LPS HANUMANTHAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
32,29210207801,G LPS THIRUMAGONDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
33,29210205501,G LPS KALLUKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
34,29210218701,GHPS SHRAVANURU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
35,29210222401,GHPS ISTHURU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
36,29210201001,G LPS HOSAKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
37,29210206401,G LPS CHEELENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
38,29210205701,GHPS HIREMUDDENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
39,29210210701,GHPS KANTANAKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
40,29210207501,G LPS THAPASIHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
41,29210224301,G LPS KALLODU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
42,29210214501,G LPS JINKEBACHHAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
43,29210216702,GHPS HOSAHALLI THANDA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
44,29210221901,GHPS DODDA TUMKURU,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
45,29210218802,G LPS KOOGONAHALLI COLONY,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
46,29210206601,G LPS SOMASHETTIHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
47,29210214801,G LPS KASUVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
48,29210209403,G LPS MELEKOTE CROSS,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
49,29210210401,GHPS MARALENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
50,29210208702,GHPS MELEKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
51,29210211701,G LPS ADINARAYANA HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
52,29210214601,G LPS HOSAHUDYA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
53,29210200401,GHPS BANAVATHI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
54,29210208401,G LPS YADDALAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
55,29210200901,G LPS HOSAHALLI COLONY,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
56,29210219001,KARNATAKA PUBLIC SCHOOLS GHPS MODEL DODDABELAVANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : DODDABALLAPURA"
