Seq No.,UDISE Code,School Name,School Location
1,29210408101,G LPS CT GOLLAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
2,29210418401,GHPS SAMETHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
3,29210407401,GHPS SHIVANAPURA',"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
4,29210406303,GHS KORATI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
5,29210418501,GHPS BHODHANA HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
6,29210407701,G LPS D SHETTYHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
7,29210404802,GHPS URDU HINDIGANALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
8,29210402401,GHPS GULLAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
9,29210410301,GHPS CHIKKANALLALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
10,29210400501,G LPS RALAKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
11,29210410501,G LPS M.HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
12,29210407901,G LPS SIDDAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
13,29210421202,G LPS THATTANUR,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
14,29210400901,G LPS DYAVASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
15,29210407601,GHPS K SATHYAVARA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
16,29210414001,G LPS KACHARAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
17,29210413401,G LPS GOVINDAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
18,29210402001,GHPS T AGRAHARA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
19,29210408301,G LPS BISANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
20,29210404601,GHPS ITTASANDRA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
21,29210410901,G LPS ATTURU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
22,29210418001,G LPS POOJENA AGRAHARA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
23,29210401801,GHPS DODDA ARALAGERE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
24,29210415801,G LPS KALLAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
25,29210418101,GHPS CHIKKA GATTIGANABBE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
26,29210416801,GHPS DASARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
27,29210408201,GHPS MALIYAPPANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
28,29210406702,G LPS KORADAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
29,29210401701,GGHPS URDU THAMMARASANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
30,29210413503,G HS VAGATA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
31,29210414401,G LPS DODDADASARAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
32,29210405701,G LPS RAMAGOVINDAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
33,29210421401,GHPS BAGURU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
34,29210420101,G LPS BELLI KERE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
35,29210404401,G LPS BAGALURU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
36,29210400201,G LPS THENEYURU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
37,29210418701,G LPS DEVALAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
38,29210408002,GHPS KEMBALIGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
39,29210415701,GHS KUMBALAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
40,29210403302,GHS HASIGALA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
41,29210420901,GHPS KALKUNTE AGRAHARA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
42,29210422011,G KBMS HOSAKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
43,29210417001,GHPS KOLATHURU,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
44,29210415001,G LPS KAMARASANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
45,29210416301,G LPS CHOKKAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
46,29210416501,GHPS MALLIMAKANAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
47,29210411201,G LPS GUGUTTAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
48,29210410601,G LPS MYLAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
49,29210416601,G LPS CHIKKA NALLURAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
50,29210403601,GHPS KAMBALIPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
51,29210410201,G LPS CHINANDAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
52,29210418403,G HS SAMETHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
53,29210402301,G LPS BHUVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
54,29210418301,G LPS THIRUMALA SHETTIHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
55,29210407101,G LPS BANDAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
56,29210419501,G LPS NAGANAYAKANA KOTE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
57,29210401504,GHPS JANATHA COLONY,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
58,29210413201,GHPS KB HOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
59,29210406501,G LPS MUDDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
60,29210406301,GHPS KORATI,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
61,29210407403,GHS SHIVANAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
62,29210422031,G HS DODDAGATTIGANABBE,"State : Karnataka
District : BENGALURU RURAL
Block : HOSAKOTE"
