Seq No.,UDISE Code,School Name,School Location
1,29210105301,G LPS JODINARAYANAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
2,29210100501,GHPS YELEKYATHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
3,29210118801,GHPS YANTAGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
4,29210106901,G LPS MAVINAKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
5,29210109901,G LPS G.G. CHANNOHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
6,29210106201,GHPS KEREKATTIGANURU,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
7,29210111502,GULPS AREBOMMANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
8,29210100803,G HS (COMP) YELEKYATHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
9,29210104202,G LPS HUCHHAVEERAYYANA PALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
10,29210102103,G LPS ANCHEPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
11,29210105201,G LPS GANGENAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
12,29210114701,G LPS MACHONAYAKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
13,29210104901,G LPS GOTTIGERE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
14,29210107501,GHPS MANNE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
15,29210110313,"GOVT PU COLLEGE, THYAMAGONDLU, NELAMANGALA TALUK-562132","State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
16,29210116502,G LPS GANGABHYRAPPANAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
17,29210110203,G LPS SUBRAMANYA NAGARA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
18,29210117802,GHPS H.G.PALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
19,29210105601,G LPS GANTEHOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
20,29210104902,G LPS GOTTIGERE PALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
21,29210112901,GHPS JAKKANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
22,29210108501,G LPS DODDA CHANNOHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
23,29210107802,GULPS MUDDALINGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
24,29210113501,G LPS MANDIGERE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
25,29210102104,G HS (COMP) DEVARAHOSAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
26,29210105802,G LPS MACHANAHALLI COLONY,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
27,29210115701,GHPS BASAVANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
28,29210104201,GHPS BARAGENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
29,29210107801,G LPS MUDDALINGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
30,29210111501,GHPS AREBOMMANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
31,29210115001,GHPS KHANEGOWDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
32,29210111101,G LPS MAHIMAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
33,29210101304,G LPS IYANA THOTA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
34,29210100801,GHPS MARALAKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
35,29210104302,G LPS H. THANDYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
36,29210104401,G LPS K.G. SRINIVASAPURA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
37,29210122901,GHPS MODEL NELAMANGALA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
38,29210118803,G HS (COMP) YANTAGANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
39,29210116002,G HS BARADIMANDIGERE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
40,29210114602,G LPS VAJRAGATTEPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
41,29210109201,G LPS NIMBENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
42,29210112601,GHPS DODDERI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
43,29210116101,G LPS THONACHINAKUPPE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
44,29210108701,G LPS BEERAGONDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
45,29210107002,GHPS MUTHHAYYANAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
46,29210112902,G LPS PRABHAKARANAGARA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
47,29210117501,G LPS KENCHANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
48,29210107503,GOVT (COMP) HS MANNE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
49,29210103801,G LPS KENGAL,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
50,29210109301,GHPS VADAKUNTE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
51,29210117803,G LPS SRINIVASAPURA COLONY,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
52,29210113603,G LPS BARADI PALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
53,29210104701,GHPS BILLANAKOTE,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
54,29210106801,G LPS KARIMARANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
55,29210118401,G LPS DODDA KARENAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
56,29210107201,GHPS APPAGONDANAHALLI,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
57,29210117602,G LPS HOSAPALYA,"State : Karnataka
District : BENGALURU RURAL
Block : NELAMANGALA"
