Seq No.,UDISE Code,School Name,School Location
1,29280602204,G KAN AND TELUGU HPS M R S PALYA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
2,29280602505,GGHPS URDU TANNERY ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
3,29280602104,GKTMPS CLEVLAND TOWN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
4,29280601301,GTEHPS OPH ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
5,29280600215,GHPS LINGARAJAPURA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
6,29280602001,GHPS B CHENNASANDRA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
7,29280600392,GGLPS URDU K.G HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
8,29280600505,GGHPS URDU GANGANAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
9,29280602004,GLPS PILLA REDDY NAGARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
10,29280600808,GKMPS SARVGNANAGARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
11,29280602803,GKMPS K G HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
12,29280600801,GKLPS KADIRAYANAPALYPALYA COCK,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
13,29280601323,GTAHPS PIONEER CHEERY,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
14,29280602008,GHPS BENNIGANAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
15,29280600803,GTMPS COX TOWN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
16,29280601203,GTHPS MURPHYTOWN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
17,29280602305,GKHPS N S LINE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
18,29280602219,"GGHPS URDU V, K, O","State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
19,29280600904,KARNATAKA PUBLIC SCHOOLS GHPS BANASVADI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
20,29280603407,GKMPS DEVARJEEVANAHALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
21,29280601705,GTEHPS JEEVANA HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
22,29280501811,GUMPS CHAMUNDI NAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
23,29280602727,GUHPS HBR K G HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
24,29280602314,GOVT P U C JAYACHAMARAJA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
25,29280602440,MOUNT CARMEL PU COLLEGE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
26,29280600702,GKHPS S R NAGARA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
27,29280602316,GULPS URDU M.R.PALYA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
28,29280602728,GKTLPS ASHOKANAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
29,29280603204,GKHPS RAMASWAMY PALYA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
30,29280603517,KARNATAKA PUBLIC SCHOOLS GKMPS PATARY TOWN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
31,29280601204,GKHPS MURPHY TOWN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
32,29280603504,GOVT URDU HIGH SCH D.J HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
33,29280602325,"GOVT.PU. COLLEGE ,J.C.NAGARA","State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
34,29280601303,GGHPS URDU BLACK PALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
35,29280600728,ST JOSEPH EVENING PU COLL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
36,29280601346,GTAHPS THIMMAIAH ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
37,29280602203,GKHPS M R PALYA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
38,29280601802,GGHPS URDU RAHAMANIYA BHARATHI NAG,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
39,29280603514,GUMPGS DJ HALLI,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
40,29280601723,"GKHPS, M S NAGARA","State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
41,29280602006,GKLP SCH GAJENDRANAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
42,29280602503,GKLPS NEW BAGLOOR LAYOUT,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
43,29280601815,CORP URD HPS NARAYANPILLE STREET,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
44,29280602303,GUHPS URDU N S LINE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
45,29280601944,GGLPS URDU IDGA MOHALA K.B SANDRA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
46,29280602302,GTHPS N S LINE,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
47,29280601211,B B M P GIRLS HS HYSALA NAGA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
48,29280602130,CORP GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
49,29280601369,CORPRATION H S TASKER TOWN,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
50,29280600731,"BBMP PU COLLEGE FOR GIRLS,DISPENSARY RAOD","State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
51,29280602232,BBMP GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
52,29280601351,BBMP GIRLS H S DISPENSAY ROAD,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
53,29280601428,RBANM'S BIFURCATED HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
54,29280602171,ST ROCKS GIRLS HPS,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
55,29280600818,B B M P COXTOWN H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
56,29280601314,HINDU BALIKA HPS & HS SHIVAJI NAGA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
57,29280602179,BBMP PU COLLEGE FOR GIRLS,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
58,29280602218,ST XAVIERS HIGH SCHOOL SHIVAJINAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
59,29280602106,GOOD WILL GIRLS HPS,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
60,29280601352,BBMP HIGH SCHOOL BROADWAY,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
61,29280601305,HAFEEZIA COPN GHPS URDU SHIVAJI NAG,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
62,29280602516,SRI CHANDRASHEKAR TAMIL AND KAN PRIMARY SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
63,29280602108,R B B P A M HPS PULIKESHINAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
64,29280602520,ST ALPHONSUS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
65,29280601711,MARIA NIKETAN KHPS,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
66,29280601736,MARIA NIKETAN HIGH SCH,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
67,29280602206,GULABI GIRLS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
68,29280602126,ST. JOSEPH CONVENT GIRLS H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
69,29280601427,R.B.A.N.MS HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
70,29280602220,ST MARYS GIRLS HPS VASANTHA NA,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
71,29280601432,M.O. GIRLS H S,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
72,29280602125,R.B.B P.A.M HIGH SCHOOL,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
73,29280601737,NIRMALA GIRLS HIGH SCH ST.THOMAS T,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
74,29280601741,CECELIA HPS M S NAGAR,"State : Karnataka
District : BENGALURU U NORTH
Block : NORTH3"
