Seq No.,UDISE Code,School Name,School Location
1,29200406454,LORVEN SCH,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
2,29200433709,PAVITHRA PUBLIC HIGH SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
3,29200406001,GHPS RAJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
4,29200425001,GHPS N DOMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
5,29200400201,GHPS SUBMANGALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
6,29200411801,GHPS SINGENA AGRAHARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
7,29200416501,GLPS SONNANAYAKANA PURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
8,29200423901,GLPS MADAPPANA DODDI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
9,29200404106,GOVT HS MARASUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
10,29200415501,GLPS H VADDARA PALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
11,29200402201,GHPS BIDARA GUPPE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
12,29200427201,GLPS NAGAIAHNA DODDI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
13,29200422801,GLPS PODU,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
14,29200418201,GLPS KAMBALIPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
15,29200418301,GLPS M MEDA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
16,29200414601,GHPS CHIKKA HOSA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
17,29200410601,GHPS THIRUMAGONDANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
18,29200406801,GHPS KAMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
19,29200403901,GLPS KAWALA HOSA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
20,29200411101,GHPS GUDDA HATTI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
21,29200402203,GLPS SILK FARM,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
22,29200407501,GHPS IGGALUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
23,29200417901,GMPS BOYS ATTIBELE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
24,29200401119,GOVT HS SARJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
25,29200410003,GLPS BALAR BANDE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
26,29200430803,KARNATAKA PUBLIC SCHOOLS ASB GOVT PRE UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
27,29200401101,GHPS BOYS SARJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
28,29200403001,GHPS BYAGADANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
29,29200419301,GLPS BIDARA GERE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
30,29200430802,GOVT GIRLS HS ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
31,29200401102,GHPS GIRLS SARJAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
32,29200419101,GHPS KARPUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
33,29200407801,GLPS LAKSHMI SAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
34,29200416901,GMPS (BOYS) DOMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
35,29200430801,KARNATAKA PUBLIC SCHOOLS GMPS NEW ANEKAL,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
36,29200412701,GLPS CHINTHALA MADIVALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
37,29200411302,GHPS MUTHANALLUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
38,29200400701,GLPS MUTHA GATTE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
39,29200405603,GOVT HS HENNAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
40,29200401201,GHPS HANDENA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
41,29200426001,GLPS CHOODA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
42,29200404401,GLPS NAGANAYAKANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
43,29200407410,GHPS (OLD) CHANDAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
44,29200414501,GLPS MYSORAMMANA DODDI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
45,29200413501,GHPS VANKANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
46,29200405001,GHPS HULIMANGALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
47,29200426201,GLPS S GANDHI NAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
48,29200416914,GOVT INDEPENDENT PRE-UNIVERSITY COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
49,29200413101,GLPS GATTA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
50,29200433601,GLPS MAYASANDRA HARO HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
51,29200423601,GHPS THINDLU,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
52,29200419201,GHPS BESTHAMANAHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
53,29200411401,GLPS CHIKKA THIMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
54,29200433801,GHPS KOPPA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
55,29200404501,GLPS BANDAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
56,29200415301,GHPS NOSENUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
57,29200418101,GHPS MANCHANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
58,29200420101,GHPS K AGRAHARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
59,29200420201,GHPS BILWARDANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
60,29200425101,GLPS CHIKKANEKKUNDI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
61,29200406452,GHS CHATRAKHANE CHANDAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
62,29200417101,GHPS T C HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
63,29200402701,GLPS ARENUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
64,29200430101,GLPS MUTSANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
65,29200418601,GHPS BALLUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
66,29200400203,GHS SABMANGALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
67,29200405601,GHPS HENNAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
68,29200419401,GLPS RACHAMANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
69,29200418901,GLPS HALE HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
70,29200423502,GOVT HS KUGUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
71,29200419801,GLPS SAMPIGE HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
72,29200401051,GOVT PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
73,29200419501,GLPS ARAVANTIGE PURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
74,29200423801,GHPS KUTHAGANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
75,29200410301,GHPS HARAPANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
76,29200420501,GHPS SAKALAWARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
77,29200404001,GLPS KAMMASANDRA AGRAHARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
78,29200407401,GHPS CHANDAPURA (CHATRAKHANI),"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
79,29200411001,GHPS BALAGARANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
80,29200413301,GLPS CHIKKANAGA MANGALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
81,29200415401,GHPS MADAPATNA,"State : Karnataka
District : BENGALURU U SOUTH
Block : ANEKAL"
