Seq No.,UDISE Code,School Name,School Location
1,29200300163,ASSIS SPECIAL SCHOOL,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
2,29200313716,GHPS RAMAGONDANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
3,29200306203,GHS DODDABANAHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
4,29200312609,GLPS BEVINAMARA COLONY,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
5,29200310155,GJC HOODI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
6,29200314604,GLPS SULIKUNTE DINNE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
7,29200313502,GLPS K DOMMASANDRA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
8,29200310520,GLPS AMBEDKAR NAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
9,29200301014,GLPS BELURU KEMPAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
10,29200311763,GLPS THUBARA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
11,29200310158,GMPS HOODI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
12,29200301021,GHPS DEVARA BESANA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
13,29200313705,GHS IMMADIHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
14,29200309657,GHS GARUDACHARPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
15,29200308124,GMPS VIJINAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
16,29200300624,GHS B NARAYANAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
17,29200308022,GHS RAMMURTHYNAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
18,29200311755,GHS DODDAANEKUNDI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
19,29200301928,GHPS MUNNEKOLALA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
20,29200319967,GHPS R K HEGDE NAGARA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
21,29200312026,GHPS VIMANAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
22,29200319975,GULPS NEW SHANTHI NAGAR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
23,29200301011,GMPS BELLANDUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
24,29200322101,GLPS CHINNAGENA HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
25,29200309507,GHS KADUSONNAPPANAHALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
26,29200309667,GGHPS URDU HOODI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
27,29200310514,GOVT COMP PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
28,29200301949,KARNATAKA PUBLIC SCHOOLS GHPS VARTHURU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
29,29200312709,GHPS SHEGAE HALLI,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
30,29200310138,GLPS BYRATHI BANDE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
31,29200314002,GLPS HADO SIDDAPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
32,29200307506,GHPS MANDUR,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
33,29200300180,KARNATAKA PUBLIC SCHOOLS GHPS K R PURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
34,29200307606,GHPS JYOTHIPURA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
35,29200309643,GMPS GARUDACHARPALYA,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
36,29200314803,GHPS MULLURU,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
37,29200310115,GOVT PU COLLEGE,"State : Karnataka
District : BENGALURU U SOUTH
Block : SOUTH4"
