Seq No.,UDISE Code,School Name,School Location
1,36220190410,"GOVT. HS AMEERPET,D.K.ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
2,36220190145,"GOVT.PS VENGALRAO NAGAR, VENGAL RAO NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
3,36220190144,"GOVT. PS(G)AMEERPET,D.K.ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
4,36220190175,"AIDED KANYA GURUKUL HS(AIDED),DHARAM KARAM ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
5,36220190172,"GOVT. HS VENGALRAO NAGAR, VENGAL RAO,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
6,36220190113,"AIDED ST THERESAS GIRLS PRIMARY SCHOOL, SANATHNAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
7,36220190448,"NEW SCIENCE COLLEGE , AMEERPET,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
8,36220190142,"GOUTAMI VIDYA DHAMAM, SANJEEVA REDDY NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
9,36220190128,"VISWABHARATHI PRIMARY SCHOOL, MADHURA NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
10,36220190185,"NAGARJUNA HIGH SCHOOL, SRINIVASA NAGAR (E)","State : Telangana
District : HYDERABAD
Block : AMEERPET"
11,36220190176,"AIDED ST. THERESAS HS(G)(AIDED), SANATH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
12,36220100101,ST.THERESAS SECONDARY SCHOOL SANATHNAGAR,"State : Telangana
District : HYDERABAD
Block : AMEERPET"
13,36220190199,"PRATHIBHA HIGH SCHOOL,MADHURA NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
14,36220190454,"SRI CHAITANYA JUNIOR KALASALA , S.R. NAGAR,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
15,36220190420,BRAHMAM TALENT PS MADHURANAGAR,"State : Telangana
District : HYDERABAD
Block : AMEERPET"
16,36220190122,"ZIKRA PRIMARY SCHOOL,SOMAJIGUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
17,36220190430,"BRAHMAM TALANT HS , MADHURA NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
18,36220190411,"ST ANDREWS HIGH SCHOOL, B SHANKAR MAKTHA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
19,36220190124,"PRATHIBHA PRIMARY SCHOOL, MADHURANAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
20,36220190181,"NEENA HIGH SCHOOL, SANATH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
21,36220190169,"SLATE THE SCHOOL, D K ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
22,36220190402,"ZIKRA HIGH SCHOOL,SOMAJIGUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
23,36220190416,"BHASHYAM HIGH SCHOOL, MAIN ROAD,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
24,36220190149,"SRI SANTHOSHI MATHA PRIMARY SCHOOL, SARI GATE ,B SMAQTE","State : Telangana
District : HYDERABAD
Block : AMEERPET"
25,36220190147,"VASISHTA VIDYALAYA,B.K.GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
26,36220190412,"VASISHTA VIDYALAYA HIGH SCHOOL,D.K.ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
27,36220190138,"D K R MEMORIAL PRIMARY SCHOOL, SANJEEVA REDDY NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
28,36220190139,"ST. VINCENT PRIMARY SCHOOL, SANJEEVA REDDY NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
29,36220190501,"RAVINDRA BHARATHI SCHOOL,D K ROAD AMEERPET","State : Telangana
District : HYDERABAD
Block : AMEERPET"
30,36220190146,"SAINT ANDREWS PRIMARY SCHOOL, BHOLA SHANKAR MAKTHA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
31,36220190123,"PERCYS PRIMARY SCHOOL,S.R.NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
32,36220190437,"JAI BHARATHI HS,B.K.GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
33,36220190496,SRI AMOGHA JUNIOR COLLGE,"State : Telangana
District : HYDERABAD
Block : AMEERPET"
34,36220190401,"PERCYS HIGH SCHOOL,S.R.NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
35,36220190503,"SLATE THE SCHOOL HIGH,D.K.ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
36,36220190433,"BHARATHIYA VIDYALAYA HS,YELLAREDDY GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
37,36220190441,"FITJEE WORLD HS, AMEERPET","State : Telangana
District : HYDERABAD
Block : AMEERPET"
38,36220190490,"BHASHYAM LITTLE CHAMPS PRIMARY,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
39,36220190137,"JAI BHARATHI PRIMARY SCHOOL, SANJEEVA REDDY NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
40,36220190131,"NAGARJUNA PRIMARY SCHOOL, SRINIVAS NAGAR (E)","State : Telangana
District : HYDERABAD
Block : AMEERPET"
41,36220190467,"NALANDA JUNIOR COLLEGE , P.NO.170/C, MOTHINAGAR,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
42,36220190414,"SRI SANTHOSHI MATHA HIGH SCHOOL,B.S.MAKTHA,HARIGATE","State : Telangana
District : HYDERABAD
Block : AMEERPET"
43,36220190516,"MJPTBCWREIS GIRLS, AMEERPET","State : Telangana
District : HYDERABAD
Block : AMEERPET"
44,36220190151,"NARAYANA CONCEPT SCHOOL ,D.K.ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
45,36220190160,"BHARATHIYA VIDYALAYA UPPER PRIMARY, YELLA REDDY GUDA","State : Telangana
District : HYDERABAD
Block : AMEERPET"
46,36220190418,"NARAYANA CONCEPT SCHOOL, BESIDE RED ROSE HIGH SCHOOL","State : Telangana
District : HYDERABAD
Block : AMEERPET"
47,36220190463,"ROYAL JR.COLLEGE , OPP. ANDHRA BANK, S.R.NAGAR ,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
48,36220190406,"HINDU PUBLIC SCHOOL, SANATA NAGAR, SANATH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
49,36220190408,"NIRAJ PUBLIC SCHOOL, GREEN PARK HOTEL","State : Telangana
District : HYDERABAD
Block : AMEERPET"
50,36220190461,"NARAYANA JR. COLLEGE , 279 / 3RT, S.R.NAGAR,","State : Telangana
District : HYDERABAD
Block : AMEERPET"
51,36220190419,"CHINMAYA VIDYALAYA,KUNDANBAGH","State : Telangana
District : HYDERABAD
Block : AMEERPET"
52,36220190517,"ST THERESAS GIRLS HIGH SCHOOL, SANATHNAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
53,36220190193,"ST VINCENT HIGH SCHOOL, SANJEEVA REDDY NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
54,36220190127,"NEENA PRIMARY SCHOOL, SANATH NAGAR","State : Telangana
District : HYDERABAD
Block : AMEERPET"
55,36220190405,"SISTER NIVEDITA SCHOOL, D K ROAD","State : Telangana
District : HYDERABAD
Block : AMEERPET"
