Seq No.,UDISE Code,School Name,School Location
1,36220990148,"GOVT. PS(B)GOSHACUT,DATTATREYA COLONY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
2,36220990143,"GOVT. PS(B)MALLEPALLY I, MALLEPALLY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
3,36220990104,"GOVT. PS ASRNAGAR, ASIFNAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
4,36220991434,"GOVT. HS MALLEPALLY NO I, MALLEPALLY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
5,36220991443,"GOVT. HS MUSTAIDPURA(GAZ), MUSTAIDPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
6,36220990132,"GOVT. PS SYEDNAGAR I, SYED NAGAR","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
7,36220991356,"GOVT. PS NAMPALLY I, NAMPALLY","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
8,36220991363,"GOVT. PS BAGATHSINGH, TAPPACHABUTRA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
9,36220990147,"GOVT. PS SVBP ASIF NAGAR,ZEBA BAGH","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
10,36220990146,"GOVT. PS KULSUMPURA, KULSUMPURA,KARWAN","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
11,36220990121,GOVT. PS(B)UPPER DHOOLPET,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
12,36220990138,"GOVT. PS REDCROSS, MASAB TANK","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
13,36220991438,"GOVT. HS SVBP ASIF NAGAR,NEAR MILAN THLKIES","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
14,36220991430,GOVT.HS HUMAYUN NAGAR NO 1NEAR CHOTI MASJID,"State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
15,36220990101,"GOVT. PS BOWLIGULAB SINGH, M.C.H.COLONY,NEAR TO Q.NO.16","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
16,36220990150,"GOVT. PS MUSTAIDPURA, MUSTAIDPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
17,36220991429,"GOVT. HS(G)RED CROSS,MASABTANK, MASAB TANK","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
18,36220991441,"GOVT. HS (G) MUSTAIDPURA, MUSTAIDPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
19,36220990139,"GOVT. PS HUMAYUN NAGAR NO.1,NEAR CHOTI MASJID","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
20,36220991437,"GOVT. HS KULSUMPURA, KULSUMPURA","State : Telangana
District : HYDERABAD
Block : ASIFNAGAR"
