Seq No.,UDISE Code,School Name,School Location
1,36221192158,"GOVT. CITY JUNIOR COLLEGE,","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
2,36221191882,"AIDED VAIDHIK D P HS AIDED, SHAH ALI BAND","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
3,36221190199,"GOVT. PS(B)DAREECHEBAWAHE, KISHAN BAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
4,36221191859,"GOVT. HS(B)MOGALPURA, MOGHALPURA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
5,36221191941,"GOVT. HS DAREECHEBAVAHIR, KISHAN BAGH","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
6,36221191880,"AIDED KASTHURBA HS(G) AIDED, DOODH BOWALI","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
7,36221190160,"GOVT. PS MUSTAFANGR 2, NERA JAMA MASJID","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
8,36221190171,"GOVT. PS MACCA MASJID, MACCA MASIID","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
9,36221190189,"GOVT. PS(B)UMDABAZAR, UMDA BAZAR","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
10,36221191856,"GOVT. HS QAZIPURA, DANIKA BAGH ROAD","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
11,36221190118,"GOVT. PS(E)RIKABGUNJ, KALIKAMAN","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
12,36221192156,"GOVT. JUNIOR COLLEGE FOR GIRLS,","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
13,36221192009,"GOVT. GIRLS HS KOTLA ALIJA, KALI KAMAN GULZAR HOUSE","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
14,36221191847,"GOVT. HS KALIKAMAN, TADBAN","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
15,36221191854,"GOVT. HS DAROOLSHIFA, NEAR JAMA MASZID","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
16,36221191994,"GOVT HS(B)FOR BLIND DARULSHIFA, DARULSHIFA","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
17,36221190185,"GOVT. PS(B)CHARMAHAL, PURANAPUL","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
18,36221190106,"GOVT. PS BERUNFATHE DARWAZA, SHAHGUNJ","State : Telangana
District : HYDERABAD
Block : BAHADURPURA"
