Seq No.,UDISE Code,School Name,School Location
1,36221290162,"GOVT. PS ISMAIL NAGAR, JAHANGIRABAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
2,36221290167,"GOVT. PS (B) MAISARAM, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
3,36221290128,"GOVT. PS(B) BELACHANDULAL, BALACHANDULAL","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
4,36221292023,"GOVT. PS KALWAGADDA, KALVAGODDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
5,36221292075,"GOVT. HS JANGAMMET, JANGAMMET,NEAR POST OFFICE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
6,36221290143,"GOVT. PS KESHAVGIRI HOUSE, KESHAVAGIRI HILLS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
7,36221292071,"GOVT. HS(G)FALAKNUMA, QUADRI CHAMAN","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
8,36221290122,"GOVT. PS(B) K GOULIPURA, KAMELA GOKWLIPURA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
9,36221290136,"GOVT. PS KANDIKALGATE, GHAZE E MILLAT COLONY","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
10,36221292069,"GOVT. HS FALUKNUMA, FALAKNUMA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
11,36221292074,"GOVT. HS(B)EDIBAZAR, KUMARSADI COLONY","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
12,36221292026,"AIDED PARADISE UPS AIDED, UPPUGUDA,CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
13,36221290117,"GOVT. PS(EL)PRAKASHNAGAR, KHADI CHAWN ROAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
14,36221292072,"GOVT. HS(B)MISARAM, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
15,36221290172,"GOVT. PS LALITHABAGH, OPP:ARUDATHI COLONY BUS STOP","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
16,36221292068,"GOVT. HS KOTLAALIJA,GAJIMEILATH COLONY, HAFIZBABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
17,36221290154,"GOVT. PS CHANDRIKSPOOR, RAVINDRA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
18,36221200119,Govt. JRC BANDLAGUDA,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
19,36221290161,"GOVT. PS SHAHEEN NAGAR, JAHANGIRABAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
20,36221290160,"GOVT. PS(B) KANDIKAL GATE, GHAZI MILLAT CPLONY , CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
21,36221290169,"GOVT. PS(B) EDI BAZAR, KUMAR WADI COLONY","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
22,36221290153,"GOVT. PS POOLBAGH, OPP. SHIVA TEMPLE,LAXMINAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
23,36221200113,"GOVT. HS DARGAH BARHANA SHAH,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
24,36221292073,"GOVT. HS CHANDRAYANAGUTTA, CHANDRAYANA GUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
25,36221290165,"GOVT. PS(G)MAISARAM, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
26,36221292190,GOVT. JUNIOR COLLEGE FALKNUMA,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
27,36221200117,Govt. JRC BANDLAGUDA (GIRLS),"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
28,36221290124,"GOVT. PS(B)SULTANSHAHI, METARWADI,SULTANSHOHI","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
29,36221290101,"GOVT. PS ALIABAD, GOVT,JR.COLLEGE GROUND","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
30,36221292080,"AIDED ANWARULISLAM HS AIDED, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
31,36221200140,"ARQAM HIGH SCHOOL, RAHMATH COLONY, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
32,36221200120,"AIDED SHARADA VIDYALAYA JR COLLEGE FOR GIRLS ,SHAMSHEERGUNJ,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
33,36221292028,"AIDED SHANTHINIKETAN UPS AIDED, AMBIKANAGAR,UPPUGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
34,36221200127,"TAJ TALENT PRIMARY SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
35,36221200183,"MORALE MODEL HIGH SCHOOL, 2","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
36,36221292038,"ZAHRA SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
37,36221292039,"ARADHANA UPS, LALITHABAGH ROAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
38,36221292043,"MUNAWAR GRAMMAR SCHOOL, HYDERABAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
39,36221200114,"MASTER MIND HIGH SCHOOL, FATIMA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
40,36221292077,"AIDED SHARADA V HS AIDED, BANDLAGUDA (MANDAL)","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
41,36221292363,KIDS PARADISE THE SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
42,36221292338,"MS CREATIVE HIGH SCHOOL, MIDHANI , KANCHANBAGH","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
43,36221290179,"AIDED SHARADA V PS AIDED, ALIABAD","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
44,36221292089,"ST. PETERS HIGH SCHOOL, JANGAMMAT FALAKNUM","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
45,36221292084,"MAGNIFIC HIGH SCHOOL, PHISALBANDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
46,36221292101,"NIZAM BOYS TOWN HIGH SCHOOL, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
47,36221200177,"RISING INDIA HIGH SCHOOL,BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
48,36221292047,"PARAGON SCHOOL OF GRAMMAR, BIBI KA CHASMA,FATIMA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
49,36221292009,"SARASWATHA ACADEMY PRIMARY SCHOOL, GOWLI PURA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
50,36221292366,HOLY MOTHER SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
51,36221200179,"HI-TECH CYBER HIGH SCHOOL , CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
52,36221292296,"SHAKUNTALA HIGH SCHOOL, Bandlaguda","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
53,36221292095,"SRI SAI GRAMMAR HIGH SCHOOL, RAJANNA BOWLI","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
54,36221292431,ST MUSTAFA MISSION SCHOOL HAFEEZ BABA NAGAR,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
55,36221292117,"THAKSHASHILA HIGH SCHOOL, NEAR RAJANNA BAVI","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
56,36221292295,SALAM INDIAN SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
57,36221292049,"GLORY UPPER PRIMARY SCHOO, JANGAMPET","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
58,36221200197,"ST MARIUM HIGH SCHOOL, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
59,36221200171,"KRISHNAVENI TALENT HIGH SCHOOL, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
60,36221292123,"ARNA GRAMMAR SCHOOL, SHOIB HOTEL LANE","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
61,36221292041,"HYDERABAD CONVENT SCHOOL,, NASHEMAN NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
62,36221292352,GRACE MISSION SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
63,36221200125,"ST WARIS ENGLISH MODEL HIGH SCHOOL, CHANDRAYANGUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
64,36221200112,"CRESCENT MODEL ENGLISH SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
65,36221200154,"NEW RISING SUN SCHOOL, ISMAIL NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
66,36221292326,"AL HASNATH ISLAMIC MISSION SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
67,36221200115,"ST. NIDA MISSION HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
68,36221292318,"ZEALAND HIGH SCHOOL, BARKAS","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
69,36221292092,"ST. ALPHONSAS HIGH SCHOOL, CHANDRAYAN GUTTA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
70,36221292369,"SUCCESS ISLAMIC SCHOOL, BANDLAGUDA","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
71,36221292311,"ROYAL GRAMMAR SCHOOL,","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
72,36221292430,SRI SARASWATHI SHISHU MANDIR UPPER PRIMARY SCHOOL,"State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
73,36221292054,"GREEN STEPS UPS, ACHIREDD, ACHIREDDY NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
74,36221292411,"MADINA GRAMMAR HIGH SCHOOL,HAFEZBABA NAGAR","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
75,36221292141,"NEW MODERN HIGH SCHOOL, MOIN BAGH","State : Telangana
District : HYDERABAD
Block : BANDLAGUDA"
