Seq No.,UDISE Code,School Name,School Location
1,36220890138,"GOVT. PS ALLAPUR, BORABANDA,SWARAJ NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
2,36220890146,"AIDED VIJAYABRT PS AIDED, RAHMATH NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
3,36220890108,"GOVT. PS JYOTHINAGARSITE 3, BORBANDA SITE III","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
4,36220891285,"GOVT. HSAMEERPET NO.I, KHAIRATABAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
5,36220890109,"GOVT. PS NSB NAGAR, SHIVAMMA PAPIREDDY HILLS","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
6,36220890125,"GOVT. PS PRABHATNAGAR, PRABAT NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
7,36220891154,"GOVT. HS SOMAJIGUDA, SRI RAM NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
8,36220890143,"GOVT. PS PANJAGUTTANO 1, PUNJAGUTTA NO.1.COLONY,","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
9,36220890145,"GOVT. PS YOUSUFGUDA, YOUSUFGUDA CHECKPOST","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
10,36220800101,"GOVT. HS AMEERPET NO II, DHARAM KARAM ROAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
11,36220890144,"GOVT. PS RAJBHAVAN, RAJBHAVAN","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
12,36220891152,"GOVT. HS ERRAMANJILCLY, ERRAMANZIL COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
13,36220891153,"GOVT. HS YOUSUFGUDA,YOUSUFGUDA CHECKPOST","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
14,36220890128,"GOVT. PS JAWAHARNAGAR UM, JAWAHAR NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
15,36220891308,"GOVT. JUNIOR COLLEGE, HYDERABAD MCORPORATION","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
16,36220890140,"GOVT. PS SOMAJIGUDA, SOMAJIGUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
17,36220890139,"GOVT. PS ERRAMANZILCLY, ERRAMANZIL COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
18,36220891156,"GOVT. HS RAJBHAVAN, KHAIRATABAD (MANDAL)","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
19,36220891270,"GOVT. HS(B)NAMPALLY, SECTION COLONY NRR PURAM SITE III","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
20,36220891160,"AIDED PRAKASHAM V HS AIDED, KHAIRATABAD (MANDAL)","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
21,36220891157,"TSREIS FOR BOYS BORABANDA, N R R PURAM PHASE II","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
22,36220891263,"TSREIS SCH FOR GIRLS, BORABANDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
23,36220891107,"AIDED RAHAMANIA IDEAL PRIMARY SCHOOL, A C GUARDS","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
24,36220890148,"AIDED NISHSHULK PH PS AIDED , KHAIRATABAD (MANDAL)","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
25,36220890147,"AIDED RABINDRANIKETAN PS AIDED, PUNJAGUTTA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
26,36220891161,"AIDED RABINDRA N HS AIDED, PUNJAGUTTA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
27,36220891124,"AIDED ADARSHA UPS AIDED, PREM NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
28,36220890149,"AIDED PRAKASAM V PS AIDED, ANANDNAGAR COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
29,36220891162,"AIDED NISH SPH HS AIDED , VEGETABLE MARKET STREET","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
30,36220800166,TAHA HIGH SCHOOL,"State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
31,36220891207,"FR ROCH MEM. HIGH SCHOOL, KHAIRATABAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
32,36220891227,"GOUTHAM MODEL SCHOOL,AMEERPET","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
33,36220891103,"AIDED RADIANCE PS AIDED, CHINTHAL BASTHI","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
34,36220800169,LITTLE BELLS GRAMMER SCHOOL (UPS),"State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
35,36220891319,"SRI SAI SARASWATHI VIDYANIKETHAN SCHOOL,SRIKRISHNA NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
36,36220800177,"SRI CHAITANYA HIGHS SCHOOL (YELLAREDDYGUDA), 2","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
37,36220891311,ASHRAY AKRUTHI INCLUSIVE HS FOR CHILDREN WITH SPECIAL NEEDS,"State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
38,36220800173,BLUE DIAMOND SCHOOL,"State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
39,36220800188,"SRI SHANTI VIDYA NIKETAN,VIDEO GALLI,RAHMATHNAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
40,36220800110,"PROSPER TALENT HIGH SCHOOL,","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
41,36220800141,"KRISHNAVENI SCHOOL,RAHMATHNAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
42,36220891128,"BELLEVUE HIGH SCHOOL,KHAIRTABAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
43,36220800196,"TRINITI UPPER PRIMARY SCHOOL,SWARAJNAGAR,BORABANDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
44,36220891188,"SRI SAIRAM HIGH SCHOOL, SRI KRISHNA NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
45,36220891166,"NETAJI HIGH SCHOOL, LAKSHMI NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
46,36220891175,"GENIUS CITIZENS HIGH SCHOOL, YOUSUF GUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
47,36220800125,"SHADAN JR.COLLEGE , KHAIRTHABAD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
48,36220891213,"CASTLETOWN HIGH SCHOOL, RAJIVE NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
49,36220891176,"NIRMALA HIGH SCHOOL, HILL COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
50,36220891198,"SAI KRUPA HIGH SCHOOL, SRI KRISHNA NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
51,36220891219,"ST JUDES EDUCATION, BESIDE PUNJAB NATIONAL BANK","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
52,36220800195,"SIDDHARTHA UP SCHOOL,SPR HILLS,YOUSUFGUDA,HYD","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
53,36220800105,"MAHAGYAN HIGH SCHOOL,SRIRAMNAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
54,36220891222,"SAVIOUR HIGH SCHOOL,M.SMAQTA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
55,36220891241,"SRI SAIMOHAN TALENT , SANJAY NAGAR KBAD II","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
56,36220800199,"NOOR SCHOOL,NRR PURAM SITE 3,BORABANDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
57,36220891193,"SRI SAI HIGH SCHOOL, N R R PURAM","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
58,36220891225,"BHARATA BHARATI PUBLIC SCHOOL, SRIKRISHNA NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
59,36220800183,"DECENT CONCEPT SCHOOL,VIDEOGALLI,RAHAMATHNAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
60,36220891181,"DAYANAND HIGH SCHOOL, ANANDANAGAR COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
61,36220891189,"SRI SAIKIRAN HIGH SCHOOL, SRI KRISHNA NAGR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
62,36220800102,"URWAH HIGH SCHOOL,RAHAMATHNAGAR,YOUSUFGUDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
63,36220891183,"BUDS & FLOWERS HIGH SCHOOL, KOAMALAPURI COLONY","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
64,36220891159,"RAHMANIA IDEAL HIGH SCHOOL, A C GUARDS","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
65,36220891129,"OXFORD HYDERABAD PUBLIC SCHOOL, ERRAGADDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
66,36220891191,"ST JOSEPHS HIGH SCHOOL, BORABANDA","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
67,36220891168,"GOOD SAMARITAN HIGH SCHOOL, VENGALARAO NAGAR","State : Telangana
District : HYDERABAD
Block : KHAIRATABAD"
