Seq No.,UDISE Code,School Name,School Location
1,36221490304,"GOVT. HS JAMA - E - OSMANIA, SRT-33,VIDYANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
2,36221490305,"AIDED MODEL HIGH SCHOOL, AIDED, OU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
3,36221490301,"AIDED C.RAMCHAND GIRLS PRIMARY SCHOOL, ANDHRA MAHILA SABA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
4,36221492353,"GOVT. HS KAWADIGUDA, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
5,36221492352,"GOVT. HS NALLAKUNTA, BEHIND NALLAKUNTA PS","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
6,36221490114,"GOVT. PS KAWADIGUDA, MUSHEERABAD (MANDAL)","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
7,36221490113,"GOVT. PS MUSHEERABAD, MUSHEERABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
8,36221400192,VIVEKANANDA GOVT JUNIOR COLLEGE VIDYANAGAR,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
9,36221490102,"GOVT. PS JAWAHARNAGAR, GANDHINAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
10,36221492306,"GOVT. PS ADIKMET, C/O.JAMIA OSMANIA HIGH SCHOOL","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
11,36221492351,"GOVT. HS MUSHEERABAD, MUSHEERABAD MAIN ROAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
12,36221492349,"GOVT. HS SITAFALMANDI, SITHAPHALMANDI","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
13,36221490204,"GOVT. PS JAMAIOSMANIA, VIDYANAGAR,ZAMI OSMANIA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
14,36221492305,"GOVT. PS CHIKKADPALLY, VIDYANAGAR,CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
15,36221490109,"GOVT. PS HAMALBASTI, PADMARAONAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
16,36221490103,"GOVT. PS MORAMBONDA, MAHMOODGUDA ROAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
17,36221490110,"GOVT. PS(G)SITAFALMANDI 1, SECUNDERABAD,12-10-130","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
18,36221492362,"AIDED ST.PIOUS HS(G) AIDED , RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
19,36221490131,"AIDED S.V.E.S. PS AIDED, VIDHYA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
20,36221490306,"AIDED C.RAMCHAND GIRLS HIGH SCHOOL, O U COMPUS","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
21,36221490118,"AIDED ANDHRA VIDYALAYA PS AIDED, CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
22,36221490134,"AIDED M.B.PS AIDED, GOLCONDA X ROAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
23,36221492365,"AIDED JYOTHI B.M. HS AIDED, VIDYANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
24,36221492356,"AIDED NEHRU HS AIDED, NAMALAGUNDU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
25,36221492369,"AIDED KARMIKA VK HS AIDED, CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
26,36221492367,"AIDED SVES HS(B) AIDED, VIDYA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
27,36221490121,"AIDED MODEL PS AIDED, O U CAMPUS","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
28,36221492366,"AIDED SURABHI B.V. HS AIDED, GANDHI NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
29,36221492375,"AIDED S.V.E.S.GIRLS.HS AIDED, VIDYA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
30,36221490138,"AIDED R.T.C. PS AIDED, AZAMABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
31,36221490130,"AIDED SURABHI BAL VIHAR PS AIDED, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
32,36221490133,"AIDED KARMIKA VK PS AIDED, CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
33,36221492370,"AIDED M.B. HS AIDED, H.NO. 1-7-11, GOLCONDA X ROAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
34,36221490129,"AIDED JYOTHI B M PS AIDED , VIDYA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
35,36221490207,"SHANKARA VIDYALAYA, PADMARAO NAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
36,36221492374,"AIDED R.T.C HS AIDED, AZAMABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
37,36221490127,"AIDED ST. PIOUS PS (G) AIDED, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
38,36221492348,"MADARSA MADINATUL ULOOM H.S, BHOLAKPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
39,36221492363,"BLUE BIRDS HIGH SCHOOL, AZAMABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
40,36221492371,"AIDED MODERN HS AIDED (UM), ZAMISTANPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
41,36221400131,AMS ARTS SCIENCE COLLEGE WOMEN,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
42,36221490120,"AIDED NEHRU PS AIDED, NAMALAGANDU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
43,36221492354,"AIDED ANDHRA VIDYALAYA HS AIDED, CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
44,36221490211,VIDYANIKETAN GRAMMAR SCHOOL,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
45,36221492373,"AIDED DR. BR. AMBEDKER HS AIDED, H.NO.1-8-1,BHAGLINGAMPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
46,36221492386,"APOLLO GRAMMAR HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
47,36221490219,JIGNAS UPPER PRIMARY SCHOOL,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
48,36221492414,"SAI GRACE HIGH SCHOOL, VIDYANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
49,36221492430,"SREE SARASWATHI HIGH SCHOOL, NAMALAGUNDU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
50,36221492341,"MILLATMODEL HIGH SCHOOL, CHILKALGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
51,36221400184,I Q INTERNATIONAL UPS,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
52,36221400172,"KAKATIYA HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
53,36221490336,"AL NOOR SCHOOL, BHOLAKPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
54,36221492411,"RAMNAGAR HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
55,36221492437,"SRI VENKATESHWARA H.S, CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
56,36221492432,"DECENT HIGH SCHOOL, BHOLAKPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
57,36221492423,"QUEENS HIGH SCHOOL, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
58,36221492402,"VIDYA DEEP HIGH SCHOOL., SBI COLONY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
59,36221400188,"Dr.B.R.AMBEDKAR JUNIOR COLLEGE, BAGH LINGAMPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
60,36220590875,"NARAYANA JR. COLLEGE , HIMAYATHNAGAR,HYDERABAD,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
61,36221492343,"ST. GREGORIOS CATHEDRAL SCHOOL, GANDHINAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
62,36221490141,"ST. MATTHEWS CONVENT SCHOOL, NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
63,36220590931,"NEW ERA JR COLLEGE,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
64,36221490328,"THE SALVATION ARMY EM SCHOOL, PADMARAO NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
65,36221490327,"ST. FRANCIES OF ASSISI BOYS SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
66,36221492391,"MODEL HIGH SCHOOL, PADMARAO NAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
67,36221492440,"UMA MONTESSORI HS, PADMARAO NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
68,36221492378,"HOWARD MODEL HIGH SCHOOL, ASHOKNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
69,36220590894,"IJAYA RATNA JR COLLEGE , NALLA KUNTA,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
70,36221300151,"SRI SAI VIGNAN BHARATHI JR.COLLEGE FOR GIRLS ,PADMARAONAGAR,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
71,36221492385,"SRI VIDYA MODEL HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
72,36221492321,"MOTHER MARY U.P SCHOOL, PARSIGUTTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
73,36221400136,"SRI CHAITANYA TECHNO SCHOOL HS,NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
74,36221400179,"KRISHNAVENI TALENT SCHOOL, GANGAPUTRA COLONY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
75,36221492338,"SRI AURO MIRA INTERNATIONAL HS, D D COLONY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
76,36221400115,"ANJUMAN GIRLS JR.COLLEGE , BAKARAM,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
77,36221492450,"EVERGREEN TALENT SCHOOL, INDIRANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
78,36221490218,MUSHEERABAD JUNIOR COLLEGE FOR,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
79,36221492446,"DAISY CONVENT UPPER PRIMARY SCHOOL, ZAMISTANPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
80,36221400170,"VAISHNAVI HIGH SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
81,36221400185,"DEEKSHA UPS, JMA-E-OSMANIA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
82,36221400102,"MARTINET HIGH SCHOOL, INDIRANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
83,36221492426,"ST. ADAMS HIGH SCHOOL, CHIKKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
84,36221492422,"THE MOTHERS INTEGRAL SCHOOL HS, VIDYANAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
85,36221492419,"OXFORD HIGH SCHOOL, RISALA GADDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
86,36221400127,HINDI MAHAVIDYALAYA JUNIOR COLLEGE NALLAKUNTA,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
87,36221490208,"DDVTRC SCHOOL (HH), OU","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
88,36221400129,ST PIOUS JUNIOR COLLEGE RAMNAGAR,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
89,36221492439,"VENUS SAI NIKETAN HS, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
90,36221490345,"ABHIGNA PRIM SCHOOL,CHIKADPALLY","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
91,36221492379,"M.G. RAO MEMORIAL JANATA HIGH SCHOOL, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
92,36221400168,"NEW GOOD SHEPHERD SCHOOL,PARSIGUTTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
93,36221492451,"SRI MAHATHI VIDANIKET, KAWADIGUDA, MUSHEERABAD","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
94,36221492406,"ENGLISH UNION HIGH SCHOOL, KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
95,36221400101,"RED CONVENT HIGH SCHOOL, HARINAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
96,36221492346,"SWAMY VIVEKANANDA VIDYA MANDIR UPS, NEW ASHOKNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
97,36221492465,"ANJUMAN HIGH SCHOOL (EM), BHOLAKPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
98,36221492415,"LUNA HIGH SCHOOL, RAMNAGAR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
99,36221490332,"VAMAKSHI VIDYANIKETANAM HIGH SCHOOL, NALLAKUNTA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
100,36221492403,"ANJUMAN HIGH SCHOOL U/M, BHOLAKPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
101,36221492384,"AMARAVATHI GRAMMAR HIGH SCHOOL, SEETHAPAL MANDI","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
102,36221490212,KRISHNAVENI SCHOOL UPS SEETHAPHALMANDI,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
103,36221400193,BACHPAN ACADEMIC HEIGHTS PUBLIC SCHOOL GANDHINAGAR,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
104,36221400149,"SRI HARSHA SCHOOL, WARASIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
105,36221492357,"MARTINET HIGH SCHOOL, ZAMISTANPUR","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
106,36221492395,"VEDIC VIDYALAYAM HIGH SCHOOL, SEETHAPHALMANDI","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
107,36221400109,"GOWATHAMI HS,","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
108,36221400175,"KESHAV CONCEPT HIGH SCHOOL, BOUDHA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
109,36221400178,"GOWTHAM MODEL SCHOOL , GANDHI NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
110,36221400166,"BHARATHI VIDYA NIKETHAN (HS),KAVADIGUDA","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
111,36221490214,TMREIS (BOYSI) MUSHERABAD,"State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
112,36221490343,"SRI AUROBINDO SCHOOL INTERNATIONAL, VIDHYA NAGER","State : Telangana
District : HYDERABAD
Block : MUSHEERABAD"
