Seq No.,UDISE Code,School Name,School Location
1,36220290283,"GOVT. HS(G)BOLLARAM, TIRUMALAGIRI,SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
2,36220290201,"GOVT. PS(B) BOWENPALLY, BOWENPALLY","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
3,36220290281,"GOVT. HS(B)TRISHULPARK, BOLLARUM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
4,36220290205,"GOVT. PS(B) LALBAZAR, TIRUMALAGIRI,SECUNDERABD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
5,36220290279,"GOVT. HS(B)BOLLARAM, RISALA BAZAR,BOLLARUM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
6,36220290214,"GOVT. PS(G) KARKANA, KARKHANA","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
7,36220290276,"GOVT. HS(B)BOWENPALLY, TIRUMALGIRI,SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
8,36220290278,"GOVT. HS(B)TIRUMALGIRI, SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
9,36220290284,"GOVT. HS(G)PICKET, PICKET","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
10,36220290261,"GOVT. PS SADARBZR, BOLARUM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
11,36220290212,"GOVT. PS(B) RISALA BAZAR, BOLARUM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
12,36220290285,"GOVT. HS BOLLARAM, BOLARAM","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
13,36220290280,"GOVT. HS(G)TIRUMALGIRI, TIRUMALAGIRI.SECUNDERABAD","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
14,36220290209,"GOVT. PS(B) DOVETAN BAZAR, DEVTONNAKA","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
15,36220290202,"GOVT. PS MUDFORT, SIKH VILLAGE","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
16,36220290260,"GOVT. PS POINEERBZR, PIONEERBAZAR","State : Telangana
District : HYDERABAD
Block : TIRUMALAGIRI"
