Seq No.,UDISE Code,School Name,School Location
1,36210790208,AIDED LOYOLA ACADEMY JR COLLEGE ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
2,36210700314,MPPS BHARATNAGAR,"State : Telangana
District : MEDCHAL
Block : ALWAL"
3,36210700351,MPUPS THURKAPALLY STATION,"State : Telangana
District : MEDCHAL
Block : ALWAL"
4,36210700312,MPPS CHINNA KANDIGUDA,"State : Telangana
District : MEDCHAL
Block : ALWAL"
5,36210700313,MPPS BARSHAPET,"State : Telangana
District : MEDCHAL
Block : ALWAL"
6,36210700310,MPPS MACHA BOLARAM HW,"State : Telangana
District : MEDCHAL
Block : ALWAL"
7,36210700307,MPPS KOWKOOR,"State : Telangana
District : MEDCHAL
Block : ALWAL"
8,36210700360,ZPHS BOYS ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
9,36210700363,ZPHS YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
10,36210790206,ZPHS MACHABOLLARAM,"State : Telangana
District : MEDCHAL
Block : ALWAL"
11,36210700303,MPPS AMBEDKAR NAGAR A,"State : Telangana
District : MEDCHAL
Block : ALWAL"
12,36210700361,ZPHS GIRLS ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
13,36210700311,MPPS THURKAPALI GATE,"State : Telangana
District : MEDCHAL
Block : ALWAL"
14,36210700324,AIDED EVIS SCHOOL UPS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
15,36210700805,PRIZE THE SCHOOL YAPRAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
16,36210700373,ST XAVIERS CONVENT HIGH S,"State : Telangana
District : MEDCHAL
Block : ALWAL"
17,36210700201,SVSR(BOLLARAM STN),"State : Telangana
District : MEDCHAL
Block : ALWAL"
18,36210700377,FLOWER BUDS HIGH SCHOOL(KANOJIGUDA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
19,36210700367,ST GABRIEL`S HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
20,36210700389,HOLY ANGELS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
21,36210790215,"AAKRUTHI SCHOOL, ALWAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
22,36210700369,ST ALPHONSUS HIGH SCHOOL (SURYA NAGAR),"State : Telangana
District : MEDCHAL
Block : ALWAL"
23,36210700388,DAFFODIL MODEL HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : ALWAL"
24,36210700386,ST GEORGE GR SCHOOL(YAPRAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
25,36210700375,GEETA HIGH SCHOOL(OLD ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
26,36210700365,MODEL MISSION HIGH SCHOOL(LOTHKUNTA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
27,36210700356,VIASNAVI SCHOOL( BUDEVI NAGAR),"State : Telangana
District : MEDCHAL
Block : ALWAL"
28,36210790213,SR DIGI HS( AMBEDKAR NAGAR ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
29,36210790250,SLG VIDYALAYA KANOJIGUDA,"State : Telangana
District : MEDCHAL
Block : ALWAL"
30,36210790246,DR. NARAYANA JR COLLEGE,"State : Telangana
District : MEDCHAL
Block : ALWAL"
31,36210790227,RAYARE KALANILAYAM SCH,"State : Telangana
District : MEDCHAL
Block : ALWAL"
32,36210790226,ADARSH CONVENT HIGH SCHOOL(VASAVI NAGAR KHARKHANA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
33,36210700371,PALLAVI PROGRESSIVE HIGH,"State : Telangana
District : MEDCHAL
Block : ALWAL"
34,36210790221,PRINCE HIGH SCHOOL (AMBEDKAR NAGAR OLD ALWAL),"State : Telangana
District : MEDCHAL
Block : ALWAL"
35,36210700101,LITTLE FLOWER SCHOOL LOTHUKUNTA UP,"State : Telangana
District : MEDCHAL
Block : ALWAL"
36,36210700383,DAFFODIL CONVENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
37,36210790220,ROSARY HS,"State : Telangana
District : MEDCHAL
Block : ALWAL"
38,36210790209,"MAHABODHI VIDYALAYA(BUDEVINAGAR, VENKATAPURAM)","State : Telangana
District : MEDCHAL
Block : ALWAL"
39,36210790217,SRI CHAITANYA SCHOOL KOWKOOR,"State : Telangana
District : MEDCHAL
Block : ALWAL"
40,36210700376,SREE NARAYANA VIDYA BHAVAN (KANOJIGUDA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
41,36210700391,"TRIVENI HIGH SCHOOL, ALWAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
42,36210700395,SANTOSHI EXCELLENT (KANOJIGUDA),"State : Telangana
District : MEDCHAL
Block : ALWAL"
43,36210700374,EVES HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
44,36210700381,PRAGATHI HIGH SCHOOL YAPR,"State : Telangana
District : MEDCHAL
Block : ALWAL"
45,36210890249,st.pious x school prashanth nagar,"State : Telangana
District : MEDCHAL
Block : ALWAL"
46,36210701001,SRI CHAITHANYA JR KALASHALA,"State : Telangana
District : MEDCHAL
Block : ALWAL"
47,36210700703,SADASHIVA SCHOOL MACHABOLLARAM,"State : Telangana
District : MEDCHAL
Block : ALWAL"
48,36210790228,ST MICHAILS SCHOOL(JONNABANDA) ALWAL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
49,36210700803,TMREIS (GIRLS) MAKAJGIRI,"State : Telangana
District : MEDCHAL
Block : ALWAL"
50,36210700804,"INDUS UNIVAERSAL SCHOOL,YAPRAL","State : Telangana
District : MEDCHAL
Block : ALWAL"
51,36210700701,KOTWAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : ALWAL"
