Seq No.,UDISE Code,School Name,School Location
1,36210600634,MARVEL SCHOOL BEGUMPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
2,36210600610,GOVT.PS SANATH NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
3,36210600607,GOVT.PS BK GUDA,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
4,36210600808,MPPS CBR NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
5,36210600641,GOVT.HS B.K GUDA (U/M),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
6,36210600651,HOLY MARY HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
7,36210600109,MPPS ANJAIAHNAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
8,36210600303,MPPS PARDHI BASTI,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
9,36210600207,AIDED VANI CVNTUPS HMPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
10,36210600213,ZPHS HASMATHPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
11,36210600201,MPPS HASMATPET UM,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
12,36210600804,SVP (MNR) JUNIOR COLLEGE,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
13,36210600636,AIDED BHARATHI UP SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
14,36210600111,"COVELLS HIGH SCHOOL, HS OLD BOWENPALLY","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
15,36210600212,ST. MARYS HS HASMATPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
16,36210600717,ROYAL-THE SCHOOL DILKUSH NAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
17,36210600860,ROSE LAND HS,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
18,36210600649,JIHNSON GRAMMER HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
19,36210600124,MASTERMINDS SCHOOL OLD BOWENPALLY,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
20,36210600801,LITTLE LILLIES,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
21,36210600868,NAVEEN CONVENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
22,36210600875,PANCHAUATI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
23,36210600638,NEW GRAMMER HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
24,36210600866,"COVELLS HIGH SCHOOL, HS BALANAGAR","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
25,36210600867,ST MARY JOSEPHS SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
26,36210600848,"UDBHAV RBL SCHOOL,(EKALAVYA) FATEHNAGR","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
27,36210600708,N S K K. HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
28,36210600648,NAVABHARATH HS,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
29,36210600115,LITTLE ROSE HIGH SCHOOL (OLD BOWNEPALLY),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
30,36210600121,SRI RAMAKRISHANA HIGH SCH,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
31,36210600678,KRISHNAVENI SCHOOL FATHENAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
32,36210600859,TRINITY TALENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
33,36210600654,ROSE BUDS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
34,36210600307,ST.AGATHA MODEL HS,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
35,36210600105,RAINBOW SCHOOL (OLD BOWENPALLY),"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
36,36210600826,JYOTHI CONVENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
37,36210600520,THREE ANGELS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
38,36210600660,SRI HARI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
39,36210600805,HINDU JUNIOR COLLEGE FOR GIRLS SANATHNAGAR,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
40,36210600862,al momin school gouthamnagar,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
41,36210600505,"VIJETHA HIGH SCHOOL, BABBUGUDA","State : Telangana
District : MEDCHAL
Block : BALANAGAR"
42,36210600831,HAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
43,36210600652,HI-TECH MODERN HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
44,36210600211,ST. PAULS HS HASMATPET,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
45,36210600210,ST. ANDREWS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : BALANAGAR"
