Seq No.,UDISE Code,School Name,School Location
1,36211401714,MPPS GHATKESAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
2,36211401901,MPPS MARIPALLYGUDA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
3,36211401702,MPPS EWS COLONY GHATKESAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
4,36211401734,"AIDED GURUKULA JR. COLLEGE , GHATKESAR","State : Telangana
District : MEDCHAL
Block : GHATKESAR"
5,36211401902,MPPS MARIPALLYGUDA U/M,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
6,36211400504,ZPHS ANNOJIGUDA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
7,36211400101,MPPS POCHARAM,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
8,36211401802,MPUPS NARAPALLY,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
9,36211401744,MPPS SHIVAREDDY GUDA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
10,36211401606,MPPS PAKIRTEKIYA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
11,36211400401,MPPS YAMNAMPET,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
12,36211401746,ZPHS GHATKESAR (BOYS),"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
13,36211401610,ZPHS EDULABAD(BOYS),"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
14,36211401801,MPPS NARAPALLY,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
15,36211401201,MPPS KONDAPUR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
16,36211400201,MPPS ISMAILKHANGUDA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
17,36211400901,MPPS PRATAPASINGARAM,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
18,36211401604,MPPS GHANPUR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
19,36211401302,MPHS AUSHAPUR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
20,36211401002,MPPS KORREMULA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
21,36211401007,MPUPS CHOWDERGUDA,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
22,36211401602,MPPS EDULABAD (H/W),"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
23,36211401701,MPPS NFC NAGAR,"State : Telangana
District : MEDCHAL
Block : GHATKESAR"
