Seq No.,UDISE Code,School Name,School Location
1,36211190262,"VASUNDARA WOMENS JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
2,36211100301,MPPS KUSHAIGUDA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
3,36211100103,MPPS DEVENDER NAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
4,36211100201,MPPS CHINNA CHERLAPALLY,"State : Telangana
District : MEDCHAL
Block : KAPRA"
5,36211100334,MPUPS KAPRA HW,"State : Telangana
District : MEDCHAL
Block : KAPRA"
6,36211100308,MPPS INDIRA NAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
7,36211190232,MPPS CHERLAPALLY,"State : Telangana
District : MEDCHAL
Block : KAPRA"
8,36211100102,MPPS BALAJINAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
9,36211100109,ZPHS BALAJINAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
10,36211100108,ZPHS JAWAHARNAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
11,36211100307,MPPS VAMPUGUDA WSC,"State : Telangana
District : MEDCHAL
Block : KAPRA"
12,36211100373,CRYSTAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
13,36211100139,MPPS AMBEDKAR NAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
14,36211100105,MPPS ARUNDHATHINAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
15,36211100107,MPPS MALKARAM,"State : Telangana
District : MEDCHAL
Block : KAPRA"
16,36211100350,ZPHS KUSHAIGUDA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
17,36211100138,MPPS JAWAHRANGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
18,36211100311,MPPS AHMED GUDA WSC,"State : Telangana
District : MEDCHAL
Block : KAPRA"
19,36211190231,"NOBLE SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
20,36211100121,MAHARSHI VIDYA NIKETHAN,"State : Telangana
District : MEDCHAL
Block : KAPRA"
21,36211190260,"GITHAM JR COLLEGE, KAMALANAGAR, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
22,36211100354,OXFORD MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
23,36211100184,JS INNOVATE SCHOOL (JAWAHAR NAGAR),"State : Telangana
District : MEDCHAL
Block : KAPRA"
24,36211100206,KRISHVENI TALENT SCHOOL CHERLAPALLY,"State : Telangana
District : MEDCHAL
Block : KAPRA"
25,36211100381,VIDYA KIRAN SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
26,36211100376,"PRAGATHI VIDYALAYA, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
27,36211100348,KENEDY VIDYA BHAVAN,"State : Telangana
District : MEDCHAL
Block : KAPRA"
28,36211100352,"ST. JOSEPHS HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
29,36211190248,ST ANNS THE SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
30,36211100383,INDO-AMERICAN SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
31,36211100368,SAI SINDU GRAMMAR SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
32,36211100174,GOOD SHEPHERDS JAWAHAR NAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
33,36211100111,MILLENIUM HISH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
34,36211100129,"NOBLE HIGH SCHOOL, JAWAHARNAGAR (CT)","State : Telangana
District : MEDCHAL
Block : KAPRA"
35,36211100178,SATYA SAI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
36,36211190235,SR DIGI SCHOOL DAMMAI GUDA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
37,36211190247,GALAXY SCHOOL SAINIKPURY,"State : Telangana
District : MEDCHAL
Block : KAPRA"
38,36211100355,GOPI MEMORIAL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
39,36211100389,SRI VIDYA BHARATI MO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
40,36211100125,LITTLE ROSE GRAMMAR SC.,"State : Telangana
District : MEDCHAL
Block : KAPRA"
41,36211100187,KRISHNAVENI SCHOOL MALKARAM,"State : Telangana
District : MEDCHAL
Block : KAPRA"
42,36211100112,AARADHANA SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
43,36211100212,OXFORD SCHOOL CHERLAPALLY,"State : Telangana
District : MEDCHAL
Block : KAPRA"
44,36211190229,SRI CHAITHANYA HIGH SCHOOL KUSHAIGUDA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
45,36211100132,VIVEKANANDA GRAMMER SCHOOL JAWAHARNAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
46,36211190230,SRI SAI E LEARNING SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
47,36211100134,SUNRISE HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
48,36211100122,SEVA BHARATHI MADAVA VIDHYALAM,"State : Telangana
District : MEDCHAL
Block : KAPRA"
49,36211100393,INDO BRILLIANTS HS,"State : Telangana
District : MEDCHAL
Block : KAPRA"
50,36211190220,"NOBLE HIGH SCHOOL, KAPRA (WARD NO.1)","State : Telangana
District : MEDCHAL
Block : KAPRA"
51,36211190215,SRI CHAITANYA TECHNO HS,"State : Telangana
District : MEDCHAL
Block : KAPRA"
52,36211190206,SRI SAI TALENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
53,36211100181,"E-KIDS SCHOOL ARUNDATI NAGAR, JAWAHARNAGAR","State : Telangana
District : MEDCHAL
Block : KAPRA"
54,36211100165,ST.JOSEPHS MISSIONA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
55,36211100156,MARTINS ENGLISH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
56,36211100143,EKALAVYA MEMORIAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
57,36211100387,"BHASHYAM HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
58,36211100362,"GOWTHAM MODEL SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
59,36211100360,"VIJAYA HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
60,36211190263,"GEETHANJALI JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
61,36211100124,MAGI UPPER PRIMARY SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
62,36211190239,"SVN SCHOOL (NEW BHAVANI NAGAR, DAMMAIGUDA)","State : Telangana
District : MEDCHAL
Block : KAPRA"
63,36211100120,SALOMI CONVENT SCHOO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
64,36211190228,SR DIGI HISH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
65,36211190237,ST JOSEPHS MODEL SCHOOL (HIGH SCHOOL),"State : Telangana
District : MEDCHAL
Block : KAPRA"
66,36211190252,RISE JR COLLEGE KAPRA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
67,36211190217,SRI AUROBINDOS SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
68,36211190227,GOWTHAM MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
69,36211190207,AKSHARA PRIMARY SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
70,36211100113,JAWAHAR NAGAR PENION SCHO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
71,36211190224,MEDHA VIDYAMANDIR HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
72,36211190266,BHASHYAM BLOOMS SCHOOL J.J NAGAR,"State : Telangana
District : MEDCHAL
Block : KAPRA"
73,36211100385,TAGORES GEETHANJALI MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
74,36211100386,BHASHYAM HIGH SCHOO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
75,36211100339,"RADHIKA HIGH SCHOOL, SRINIVASA OFFICERS COLONY KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
76,36211190211,SERENITY MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
77,36211100347,ANU SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
78,36211100173,SHAMS MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
79,36211100167,"KRISHNA VENI TALENT SCHOOL, BALAJINAGAR","State : Telangana
District : MEDCHAL
Block : KAPRA"
80,36211190257,"SRI CHAITANYA JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
81,36211100185,ENGLISH KIDS SCHOOL (JAWAHAR NAGAR),"State : Telangana
District : MEDCHAL
Block : KAPRA"
82,36211190214,"SR DIGI HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
83,36211190253,"GOWTHAM JR COLLEGE, EXT.COUNTER, K GUDA","State : Telangana
District : MEDCHAL
Block : KAPRA"
84,36211190240,BHARATHI VIDHYANIKETHAN,"State : Telangana
District : MEDCHAL
Block : KAPRA"
85,36211100358,VISHWA BHARATHI ADARSHA V,"State : Telangana
District : MEDCHAL
Block : KAPRA"
86,36211100359,"VIGNAN HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
87,36211100213,"SAI VYSHNAVI JR COLLEGE, CHERLAPALLY","State : Telangana
District : MEDCHAL
Block : KAPRA"
88,36211190254,"SRI ADARSH JR COLLEGE, KAMALANAGAR, ECIL","State : Telangana
District : MEDCHAL
Block : KAPRA"
89,36211100186,"ADHITRI SCHOOL (SATYANARAYANAPURAM COLONY, JAWAHARNAGAR)","State : Telangana
District : MEDCHAL
Block : KAPRA"
90,36211100353,PACE SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
91,36211100119,SAI TULASI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
92,36211190226,"KAKATIYA HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
93,36211100205,SRI SHIRIDI SAI VIDYANIKETHAN HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
94,36211100116,"GEETANJALI SCHOOL, BALAJINAGAR","State : Telangana
District : MEDCHAL
Block : KAPRA"
95,36211190245,"Krishnaveni School, Kushaiguda","State : Telangana
District : MEDCHAL
Block : KAPRA"
96,36211100176,JHANSI SARASWATHI VIDYANIKETAN (JAWAHARNAGR),"State : Telangana
District : MEDCHAL
Block : KAPRA"
97,36211190208,VIVEKANANDA MODEL HS,"State : Telangana
District : MEDCHAL
Block : KAPRA"
98,36211190218,"SUNSHINE HIGH SCHOOL, SAIBABA NAGAR, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
99,36211190223,DHISHA INNOVATIVE SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
100,36211190261,"NEW CHAITHANYA JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
101,36211100136,RACHANA GRAMMER HIGH SCHO,"State : Telangana
District : MEDCHAL
Block : KAPRA"
102,36211190201,"RAVINDRA BHARATHI SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
103,36211100127,NEW CHRIST ENGLISH CONVENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
104,36211190210,SADASHIVA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
105,36211190251,TAPPERS JR COLLEGE SAINIK ENCLAVE KAPRA,"State : Telangana
District : MEDCHAL
Block : KAPRA"
106,36211100382,CHAITANYA MODEL SCH,"State : Telangana
District : MEDCHAL
Block : KAPRA"
107,36211100204,SRI SAI MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
108,36211100131,KGR SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
109,36211100207,KRUPA VIGNAN SCIENTIFIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
110,36211190249,"CITY HIGH SCHOOL DR AS RAO NAGAR, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
111,36211190259,"NARAYANA JR COLLEGE, ECIL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
112,36211100356,HOLY MOTHER H.SCHOOL,"State : Telangana
District : MEDCHAL
Block : KAPRA"
113,36211100366,"SIDDHARTHA HIGH SCHOOL, KAPRA","State : Telangana
District : MEDCHAL
Block : KAPRA"
