Seq No.,UDISE Code,School Name,School Location
1,36211301402,MPPS NAGARAM HW,"State : Telangana
District : MEDCHAL
Block : KEESARA"
2,36211300610,"TSREIS BOYS,KEESARA","State : Telangana
District : MEDCHAL
Block : KEESARA"
3,36211301605,MPPS RAMPALLY DAYARA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
4,36211301603,MPPS LALANGUDA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
5,36211300608,MPUPS ANKIREDDY PALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
6,36211301410,ZPHS NAGAWARAM,"State : Telangana
District : MEDCHAL
Block : KEESARA"
7,36211301609,ZPHS RAMPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
8,36211301001,MPPS THIMMAIPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
9,36211301201,MPUPS GODUMAKUNTA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
10,36211300609,ZPHS KEESARA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
11,36211300601,MPPS KEESARAGUTTA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
12,36211300701,MPPS KEESARA DAIRA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
13,36211300901,MPPS CHEERIYAL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
14,36211301401,MPPS NAGARAM,"State : Telangana
District : MEDCHAL
Block : KEESARA"
15,36211300801,MPPS KUNDANPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
16,36211300902,MPPS CHERYAL HW,"State : Telangana
District : MEDCHAL
Block : KEESARA"
17,36211300905,ZPHS CHEERIYAL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
18,36211301504,MPPS RAJIV GRUHKALPA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
19,36211300603,MPPS KESARA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
20,36211301417,SERENITY MODEL HIGH,"State : Telangana
District : MEDCHAL
Block : KEESARA"
21,36211301501,MPUPS AHMEDGUDA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
22,36211301606,MPPS KAREEM GUDA,"State : Telangana
District : MEDCHAL
Block : KEESARA"
23,36211301601,MPPS RAMPALLY,"State : Telangana
District : MEDCHAL
Block : KEESARA"
24,36211301416,ST.ANTHONYS GRAMMAR,"State : Telangana
District : MEDCHAL
Block : KEESARA"
25,36211300632,Tapovan School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
26,36211301437,"KAKATIYA SCHOOL, NAGARAM X ROAD","State : Telangana
District : MEDCHAL
Block : KEESARA"
27,36211301435,"ABIDE SCHOOL, DAMMAIGUDA","State : Telangana
District : MEDCHAL
Block : KEESARA"
28,36211300635,"SMART ACHIEVERS, KUSHAIGUDA","State : Telangana
District : MEDCHAL
Block : KEESARA"
29,36211300623,deccans pride school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
30,36211300802,DAVIS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
31,36211300505,SR SCHOOL,"State : Telangana
District : MEDCHAL
Block : KEESARA"
32,36211300620,lorvens school,"State : Telangana
District : MEDCHAL
Block : KEESARA"
33,36211300622,Moses International School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
34,36211300628,Green Woods School,"State : Telangana
District : MEDCHAL
Block : KEESARA"
