Seq No.,UDISE Code,School Name,School Location
1,36210500502,MPPS BHUVANAVIJAYAM,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
2,36210500126,ZPHS SHAMSHIGUDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
3,36210500215,MPPS KHAITHALAPUR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
4,36210500604,MPPS ALLWYN COLONY,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
5,36210500482,"GOVT.JR.COLLEGE , KUKATPALLY","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
6,36210500592,SRI GAUTHAMI SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
7,36210500209,MPPS SHAKTINAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
8,36210500304,MPPS SEVEALAL NAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
9,36210590251,"ST.MARYS HIGH SCHOOL, VASANTH NAGAR","State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
10,36210500101,SVS SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
11,36210500121,RAJADHANI MODEL SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
12,36210500302,RAJA RAM VIDYA BHAVAN,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
13,36210500309,SRI SAI KRUPA VIDYANIKETAN HS (BORABANDA),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
14,36210500112,MPPS SHAMSHIGUDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
15,36210500131,ZPHS YELLAMMA BANDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
16,36210500221,ZPHS MOOSAPET (B),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
17,36210500411,MPPS VIVEK NAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
18,36210500703,ZPHS HYDERNGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
19,36210500102,MPPS HMT WEAKER SECTION,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
20,36210500353,MOUNAIN KIDS SCHOOL GAYATRINAGAR BORABANDA,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
21,36210500122,S.S.D. GRAMMER SCHOOL,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
22,36210590228,MPPS KUKATPALLY (G),"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
23,36210500701,MPPS HYDERNAGAR UM,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
24,36210590294,AL AHED SCHOOL RAJIVGANDHINAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
25,36210500711,NARAYANA SCHOOL HYDERNAGAR,"State : Telangana
District : MEDCHAL
Block : KUKATPALLY"
