Seq No.,UDISE Code,School Name,School Location
1,36210800124,GOVT.PS RLY MOULA ALI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
2,36210890435,ZPHS NAREDMET,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
3,36210890608,GOVT.JUNIOR COLLEGE MALKAJGIRI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
4,36210890436,GOVT.HS MOULALI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
5,36210890236,MPPS B MALKAJGIRI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
6,36210800101,MPPS G MALKAJGIRI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
7,36210890228,ZPHS MOULA ALI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
8,36210890433,ZPHS BOYS MALKAJGIRI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
9,36210800196,MPPS R K PURAM,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
10,36210890432,VICTORY COVENT SCHOOL,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
11,36210800199,AIDED PRATHAP MEMORIAL UPS,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
12,36210890610,BHASHYAM HS OLD PS NEREDMET,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
13,36210890488,ST ANDREWS SCHOOL SAINIKPURI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
14,36210890483,SAMARITANS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
15,36210890462,VIJAY MARY HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
16,36210890480,ST GEORGES HIGH SCHOOL JAWAHARNAGAR MOULALI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
17,36210890408,IZM SCHOOL MOULA ALI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
18,36210890444,SAV HIGH SCHOOL EAST ANANDBAGH,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
19,36210890440,ST ANTHONYS HIGH SCHOOL MIJALGUDA,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
20,36210890506,ST MARRYS GRAMMER HIGH SCHOOL PVN COLONY,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
21,36210890478,ADI DURGA HS OLD PS,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
22,36210890217,LITTLE BIRDS HS SANTHOSHIMATTA NAGAR OLD SAFILGUDA,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
23,36210890520,P.B.DAV MODEL SCHOOL OLDSAFILGUDA,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
24,36210890451,RAJADHANI MODEL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
25,36210890227,SR DIGI HS NEREDMET,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
26,36210890449,ST JOHNS GRAMMAR HIGH SCHOOL SAINIKPURI,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
27,36210890445,ANAND BAGH HIGH P.SCHOOL EAST ANAND BAGH,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
28,36210890439,"SARASWATHI SCHOOL, GOUTHAM NAGAR","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
29,36210890490,"SAINIKPURI HS, SAINIKPURI","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
30,36210890489,"VIGNAN VIDYA NIKETAN, NEREDMET","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
31,36210890463,"SIDDHARDHA CONVENTHIGH SCHOOL, YADAV NAGAR","State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
32,36210890554,VMR GRAMMAR HIGH SCH,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
33,36210890466,MERCYS MODEL HIGH SCHOOL ANAND BAGH,"State : Telangana
District : MEDCHAL
Block : MALKAJGIRI"
