Seq No.,UDISE Code,School Name,School Location
1,36210101004,MPPS RAVALKOLE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
2,36210102301,MPPS PUDUR MEDCHAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
3,36210102717,ZPHS MEDCHAL (G),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
4,36210101001,MPPS RAVALKOLE TANDA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
5,36210102754,"GOVT. JR. COLLEGE , MEDCHAL, RANGA REDDY DIST.","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
6,36210101806,ZPHS GUNDLAPOCHAMPALLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
7,36210101301,MPPS ATHVELLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
8,36210101802,MPPS LAXMINAGAR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
9,36210102718,"TSWREIS SCHOOL, KISTAPUR","State : Telangana
District : MEDCHAL
Block : MEDCHEL"
10,36210102402,MPPS RAJABOLLARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
11,36210100401,MPPS BANDAMADHARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
12,36210101201,MPPS SHAHAJADIGUDA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
13,36210102403,MPUPS RAJABOLLARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
14,36210102701,MPPS MEDCHAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
15,36210100201,MPPS SREERANGAVARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
16,36210102716,ZPHS MEDCHAL (B),"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
17,36210102404,ZPHS RAJABOLLARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
18,36210102305,ZPHS PUDUR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
19,36210101303,ZPHS ATHVELLY,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
20,36210102711,MPPS RLY STATION RAOD,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
21,36210101803,MPPS GUNDALAPOCHAMPALLE,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
22,36210101002,MPPS GUDEMGADDA TANDA,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
23,36210100203,ZPHS SREERANGAVARAM,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
24,36210100501,MPPS NUTHANKAL,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
25,36210101601,MPPS RAYALAPUR,"State : Telangana
District : MEDCHAL
Block : MEDCHEL"
