Seq No.,UDISE Code,School Name,School Location
1,36211000806,MPUPS PARVATHAPUR,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
2,36211000801,MPPS GANDHI NAGAR,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
3,36211000601,MPHS CHENGICHERLA,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
4,36211000549,ZPHS PEERZADIGUDA,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
5,36211000501,MPPS PEERZADIGUDA (U/M),"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
6,36211000523,SRI SHARADA VIDYA MANDIR,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
7,36211000313,ZPHS BODUPPAL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
8,36211000304,MPPS DEVENDER NAGAR,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
9,36211000340,BODUPPAL KAKATIYA SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
10,36211000305,MPPS BODUPPAL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
11,36211000510,MPPS PEERZADIGUDA (T/M),"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
12,36211000550,"SRI CHAITANYA SCHOOL, PEERZADIGUDA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
13,36211000532,RAVINDRABARTI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
14,36211000561,"SRI CHAITANYA JUNIOR KALASALA,PEERZADAGUDA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
15,36211000554,vijayaratna high school,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
16,36211000810,DIAMOND CRESCENT SCHOOL PARVATHAPUR,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
17,36211000533,GEETHANJALI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
18,36211000564,BHAYAM UPPER PRIMAR SCHOOL PEERZADIGUDA,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
19,36211000366,RISHI SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
20,36211000332,"PUDAMI THE ENGLISH PRIMARIES, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
21,36211000344,"LOTUS LAP HIGH SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
22,36211000345,MEDHA SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
23,36211000517,GYANA JYOTHI HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
24,36211000316,GRACE MISSION HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
25,36211000331,"SRI SAI SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
26,36211000606,"ST JOHNS HIGH SCHOOL, CHENGICHERLA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
27,36211000558,"SRI VEDA JUNIOR COLLGE,BUDHANAGR","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
28,36211000560,"JAAGURTHI JUNOR COLLEGE,PEERZADGUDA","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
29,36211000356,sri sai akshara school,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
30,36211000324,"BHOOPATHY HIGH SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
31,36211000352,KRISHNAVENI TALENT SCHOOL (BUDDHA NAGAR),"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
32,36211000405,"SRI SAI HIGH SCHOOL, MEDIPALLY","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
33,36211000362,"SRI CHAITANYA SCHOOL, BODUPPAL","State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
34,36211000610,BMRS Grammar School,"State : Telangana
District : MEDCHAL
Block : MEDIPALLY"
