Seq No.,UDISE Code,School Name,School Location
1,36211501001,MPPS SAMPONBOLE,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
2,36211500801,MPPS KESAVARAM,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
3,36211500802,MPPS KESHAWARAM TANDA,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
4,36211500804,ZPHS KESAVARAM,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
5,36211500401,MPPS LAKSHAMAPUR,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
6,36211501101,MPPS ADRASPALLE,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
7,36211501304,ZPHS UDDEMARRI,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
8,36211500103,ZPHS KOLTHUR,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
9,36211500102,MPPS KOLTHUR HARIJANWADA,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
10,36211500403,ZPHS LAKSHAMPUR,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
11,36211500701,MPPS LINGAPUR TANDA,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
12,36211500501,MPPS MUDICHINTALAPALLE,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
13,36211500101,MPPS KOLTHUR,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
14,36211501301,MPPS UDDEMARRI,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
15,36211500301,MPPS NARAYANAPUR,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
16,36211500201,MPPS ANANTHARAM,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
17,36211501003,MPPS JAGGAMGUDA,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
18,36211501005,"AKSHARA HIGH SCHOOL, JAGGAMGUDA","State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
19,36211500202,ZPHS ANANTHARAM,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
20,36211501305,"GOOD SHEPHERD SCHOOL, UDDEMARRI","State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
21,36211500404,VIKAS SCHOOL,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
22,36211501004,GENIUS GRAMER SCHOOL,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
23,36211500503,ARUNDHATHI VIDYLAYA,"State : Telangana
District : MEDCHAL
Block : MOODUCHINTHALAPALLY"
