Seq No.,UDISE Code,School Name,School Location
1,36211202201,MPPS ANTAIPALLE,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
2,36211201730,"TSWREIS SCHOOLS,SHAMIRPET","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
3,36211202104,"GOVT SPORTS SCHOOL, Thumkunta","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
4,36211201901,MPPS POTHAPALLE,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
5,36211201504,ZPHS ALIABAD,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
6,36211202101,MPPS THUMKUNTA,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
7,36211200402,MPPS TURKA PALLY HW,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
8,36211202103,ZPHS THUMKUNTA,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
9,36211201707,MPUPS UPPARAPALLE,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
10,36211200404,ZPHS TURAKAPALLY,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
11,36211200401,MPPS TURAKAPALLY,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
12,36211202503,ZPHS PONNAL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
13,36211201401,MPPS LGM PET.HW,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
14,36211201801,MPPS MANDAIPALLE,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
15,36211202004,ZPHS DEVARAYAMJAL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
16,36211202501,MPPS PONNAL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
17,36211202001,MPPS DEVARAYAMJAL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
18,36211201503,MPPS PITTALAGUDA,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
19,36211201501,MPPS ALIYABAD,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
20,36211202304,MPPS BOMRASIPET.HW,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
21,36211200101,MPPS SINGAIPALE,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
22,36211201403,MPPS LALGADIMALAKPET,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
23,36211201701,MPPS SHAMIRPET,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
24,36211200201,MPUPS YADARAM,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
25,36211201604,MPHS MAZIDPUR,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
26,36211201602,MPPS MAZIDPUR,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
27,36211201402,MPPS LGMPET MALAWADA,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
28,36211201509,ST.JOSEPHS ENG MEDI SCHOOL ALIABAD,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
29,36211201733,EXCELLENCIA JUNIOR COLLEGE UPPARPALLY,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
30,36211201405,LEADING SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
31,36211202107,PALLAVI PROGRESSIVE,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
32,36211202109,SRI VIGNANA BHARATHI S.,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
33,36211201719,MODEL MISSION SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
34,36211202003,BABYS CONVENT U.P.SCHOOL.,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
35,36211202113,WINGS LEARNING SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
36,36211202106,SRI SATHYA SUDHA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
37,36211201410,SREE SARASWATHI V.N.H.S,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
38,36211201722,"SRI BALAJI VENKATESWARA SWAMY JR.COLLEGE , SHAME","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
39,36211201732,EXCELLENCIA INFINITUM SCHOOL UPPARPALLY,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
40,36211201723,"DIVYA JYOTHI SCHOOL, SHAMEERPET","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
41,36211202116,VISION HIGH SCHOOL THUMUKUTA,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
42,36211201712,ST PAULS HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
43,36211202307,SRI KRISHNA MEMORIAL HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
44,36211201605,SRI T CHAITANYA HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
45,36211201709,SRINIVASA MEMORIAL HIGH S,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
46,36211200407,VIJETHA TECHNO SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
47,36211201726,"ST.ANNS SCHOOL, SHAMEERPET","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
48,36211201407,MALIK HIGH SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
49,36211200406,SATYA SRINIVASA MEMO,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
50,36211202009,ST.MARYS CONVENT,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
51,36211202111,LEO VOCATIONAL COLLEGE,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
52,36211202306,KLNV NIKETAN,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
53,36211201715,EVERGREEN SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
54,36211201510,"Indian American Academy ,Aliabad","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
55,36211201710,SHANTINIKETAN VIDYALAYA,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
56,36211200202,SYNEGEY GURUKUL SCHOOL YADARAM,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
57,36211201603,"KRISHNA VENI HIGH SCHOOL, MAZIDPUR","State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
58,36211202112,DIKSHA SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
59,36211202114,PEBBLE CREEK LIFE SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
60,36211200408,ST.MARYS CENTRAL SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
61,36211202007,SIVA SIVANI PUBLIC SCHOOL,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
62,36211202303,IVY LEAGUE ACADEMY,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
63,36211202008,KENDRIYA VIDYALAYAM SHAMIRPET,"State : Telangana
District : MEDCHAL
Block : SHAMIRPET"
