Seq No.,UDISE Code,School Name,School Location
1,36231300663,TW ASHRAM SHCOOL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
2,36231300664,"TSWREIS SCHOOL, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
3,36231300639,KGBV AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
4,36231300701,MPPS CHENNAMPALLY,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
5,36231300905,MPUPS POLE PALLY,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
6,36231300606,MPPS MEDIGADDATANDA,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
7,36231300623,MPPS (GIRLS) AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
8,36231300608,MPPS SAKIBANDA TANDA,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
9,36231300611,MPPS DAYAL BODU TANDA,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
10,36231300629,ZPHS (B) AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
11,36231300603,MPPS JANGAREEDDYPALLE,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
12,36231300630,ZPHS (G) AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
13,36231300635,ZPHS AMANGAL (BUS STAND),"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
14,36231300605,MPPS MUTHURAJPALLE,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
15,36231300624,MPUPS MANGALAPALLE,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
16,36231300801,MPPS SINGAMPALLY,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
17,36231300609,MPPS SANKARIKONDA TANDA,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
18,36231300201,MPPS AKUTHOTA PALLY,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
19,36231300205,ZPHS AKUTHOTAPALLY,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
20,36231300404,MPPS PEDDA TANDA,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
21,36231300601,MPPS CHINTHLAPALLY,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
22,36231300644,"HS VIGNAN GRAMMAR, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
23,36231300638,HS LITTLE SCHOLARS AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
24,36231300647,UPS ST JOHNS AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
25,36231300636,"HS AMANGAL GRAMMAR, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
26,36231300643,HS ARBINDO AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
27,36231300654,KRDR COOP JR.COLLEGE AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
28,36231300650,HS KRISHNAVENI AMANGAL,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
29,36231300301,MPUPS KONAPOOR,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
30,36231300633,"HS PRAGNA, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
31,36231300607,MPPS CHANDRAINPALLY TANDA,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
32,36231300604,MPPS NACHUGUTTATANDA,"State : Telangana
District : RANGAREDDY
Block : AMANGAL"
33,36231300660,"HS BRILLIANT GRAMMAR, AMANGAL","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
34,36231300662,"LITTELE SCHOLARS HIGH SCHOOL ,OPP.MRO OFFICE","State : Telangana
District : RANGAREDDY
Block : AMANGAL"
