Seq No.,UDISE Code,School Name,School Location
1,36232103222,"GOVT. JR. COLLEGE , CHEVELLA","State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
2,36240601155,TWREIS PARGI GIRLS,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
3,36232103209,GOVT. HS CHEVELLA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
4,36232102903,ZPHS CHANVELLY,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
5,36241301119,TSWREIS BOYS PEDDEMUL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
6,36232103228,"TSWREIS (GIRLS), CHEVELLA","State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
7,36232101601,MPUPS RAVULAPALLY,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
8,36232102101,MPUPS DAMERGIDDA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
9,36232100803,ZPHS TANGADAPALLY,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
10,36232103402,ZPHS MALKAPUR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
11,36232103501,MPPS KANDAWADA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
12,36232101401,MPPS KAMMETA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
13,36232102703,MPUPS REGADIGHANAPUR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
14,36232102602,ZPHS KHANAPUR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
15,36232101103,ZPHS URELLA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
16,36232101003,MPUPS RAMANNAGUDA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
17,36232102601,MPPS KHANAPUR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
18,36232103506,ZPHS KANDAWADA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
19,36232100703,ZPHS KOWKUNTLA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
20,36232101301,MPUPS EARLAPALLY,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
21,36232102901,MPPS CHANVELLY,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
22,36232100802,MPPS TANGADAPALLY,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
23,36232102201,MPUPS BASTEPUR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
24,36232103214,MPPS CHEVELLA (B),"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
25,36232102301,MPUPS MIRJAGUDA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
26,36232103401,MPPS MALKAPUR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
27,36232101001,MPPS SINGAPPAGUDA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
28,36232103102,MPPS ALLAWADA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
29,36232100702,MPPS KOWKUNTLA (U),"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
30,36232101102,MPPS URELLA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
31,36232101002,MPUPS NYALATA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
32,36232101801,MPUPS KUMMERA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
33,36232101701,MPUPS MUDIMIYAL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
34,36232100902,MPPS DUDDAGU,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
35,36232103604,ZPHS GUNDAL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
36,36232101902,ZPHS DEVUNIYERRAVALLY,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
37,36232100901,MPPS TALLARAM,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
38,36232100602,ZPHS ALOOR (G),"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
39,36232101502,MPPS DHARMASAGAR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
40,36232100502,MPPS HARIJANWADA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
41,36232100402,ZPHS ALOOR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
42,36232101901,MPPS DEVUNIYERRAVALLY,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
43,36232101101,MPPS MONDIVAGU,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
44,36232103601,MPPS GUNDAL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
45,36232100404,"TAKSHASHILA HIGH SCHOOL, ALOOR-I","State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
46,36232101903,THE LEADERS INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
47,36232103213,NAVACHAITANYA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
48,36232100501,MPPS ALOOR (B),"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
49,36232103220,MARIKA SCHOOL CHEVELLA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
50,36232100403,NEW VIVEKANANDA U PS,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
51,36232103223,"VIVEKANANDA CO-OP JR. COLLEGE , CHEVELLA, OPP.MA","State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
52,36232100804,BHARATI VIDYA NIKETA,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
53,36232103210,SRI SAI CHAITANYA H S,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
54,36232101405,NIVEDITA VIDYA BHAVANS,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
55,36240900907,MJPTBCWREIS BURHANPOOR,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
56,36232103215,SILVERDALE THE SCHOO,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
57,36232103218,"KRISHNAVENI TALENT HS, CHEVELLA","State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
58,36232101104,MJPTBCWREIS GIRLS SHABAD,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
59,36232103224,TSMS CHEVELLA & JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
60,36240301610,MJPTBCWREIS (BOYS) NAWABPET,"State : Telangana
District : RANGAREDDY
Block : CHEVELLA"
