Seq No.,UDISE Code,School Name,School Location
1,36232700303,KGBV CHOWDERGUDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
2,36232700201,MPPS VANAMPALLY,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
3,36232701901,MPPS KHASLABAD,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
4,36232700703,MPPS (P) LAXMIDEVIPALLY,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
5,36232700601,MPPS JILLED,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
6,36232701301,MPPS PEDDA YELKICHERLA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
7,36232701305,ZPHS PEDDA YELKICHERLA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
8,36232701202,MPPS CHINTAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
9,36232701701,MPPS CHALIVENDRAMPALLY,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
10,36232700304,MPPS LACHAMPET,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
11,36232700301,MPUPS TUMMALAPALLE,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
12,36232701303,MPPS DAMARAGIDDA TANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
13,36232700501,MPPS INDRANAGAR,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
14,36232700801,MPPS CHENNAREDDIGUDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
15,36232700502,ZPHS INDRANAGAR,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
16,36232701903,MPPS KHASLABAD TANDA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
17,36232701906,ZPHS YEDIRA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
18,36232701904,MPPS EDIRA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
19,36232701601,MPPS GUNJALPAHAD,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
20,36232701905,MPUPS PEERJAPOOR,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
21,36232701306,UPS VIVEKA BHARATHI PEDDA YELKICHERLA,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
22,36232700607,PRASHANT CHOWDERGUDEM,"State : Telangana
District : RANGAREDDY
Block : CHOWDERGUDEM"
