Seq No.,UDISE Code,School Name,School Location
1,36232503605,MPPS FAROOQNAGAR (UM),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
2,36232502803,TSWREIS JRC KAMMADANAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
3,36232500913,"GOVT. JR.COLLEGE , SHADNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
4,36232503636,GOVT.HS FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
5,36232503688,KGBV FAROOQNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
6,36232503621,MPPS SHADNAGAR (VT),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
7,36232503101,MPPS RAIKAL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
8,36232502202,MPPS MOLLONIGADDA TANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
9,36232500701,ZPHS DOOSKAL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
10,36232502602,MPPS ANNARAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
11,36232503635,ZPHS SHADNAGAR (GIRLS),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
12,36232503401,MPPS SERIGUDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
13,36232503601,MPPS FAROOQQNAGAR (RTC COLONY),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
14,36232501601,MPPS HAJIPALLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
15,36232503309,MPUPS NERALLA CHERVU,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
16,36232502303,MPPS GIRAIGUTTA THANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
17,36232500401,MPPS RASMALLA GUDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
18,36232503102,MPPS RAIKAL THANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
19,36232501304,MPPS COLONY TANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
20,36232501804,ZPHS KISNANAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
21,36232503305,MPPS KADIYALA KUNTA THANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
22,36232503313,MPPS PRG TANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
23,36232503304,MPPS CHINTHA GUDEM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
24,36232500601,MPPS CHATTANPALLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
25,36232501501,MPPS SOLIPUR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
26,36232503303,MPPS KASIREDDY GUDEM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
27,36232502801,MPUPS KAMMADANAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
28,36232503306,MPPS NERELLA CHERUVU TANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
29,36232502103,MPPS UPPARIGADDA THANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
30,36232502701,MPPS CHILKAMARRY(CHELKA),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
31,36232503502,MPPS MADHURAPUR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
32,36232502203,MPUPS BHEMARAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
33,36232500903,MPPS FAROOQNAGAR (SC WADA),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
34,36232502902,MPUPS GANTLAVELLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
35,36232503302,MPPS BURGULA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
36,36232503310,ZPHS BURGUL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
37,36232501401,MPPS BUCHIGUDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
38,36232503103,ZPHS RAIKAL,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
39,36232503634,ZPHS FAROOQNAGAR (UM),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
40,36232502105,MPPS AYYAWARIPALLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
41,36232501905,MPUPS CHOWLE PALLY (UM),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
42,36232500604,MPUPS LINGAREDDY GUDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
43,36232502001,MPPS PITTALAGADDA THANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
44,36232500205,ZPHS MOGALIGIDDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
45,36232502301,MPPS NAGARLAGADDA THANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
46,36232500101,MPPS RANGA SAMUDRAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
47,36232502002,MPUPS KANDIVANAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
48,36232501901,MPPS KARNAMKUNTA THANDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
49,36232501801,MPPS KISHANNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
50,36232501101,MPPS KONGAGUDA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
51,36232503622,MPPS SHADNAGAR (CHRISTIAN COLONY),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
52,36232502305,MPUPS KAMSANPALLY,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
53,36232502502,MPPS RAMESHWARAM,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
54,36232500207,MPPS MOGALIGIDDA (TM),"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
55,36232503618,AIDED PS ZION SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
56,36232501201,ZPHS VELJERLA,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
57,36232503625,"AIDED PS VVS, FAROOQNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
58,36232503643,NAVAJYOTHI HS SHADNAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
59,36232500939,SHAASTRA SCHOOL SHAD NAGAR,"State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
60,36232500502,"UPS MNC, FAROOQNAGAR","State : Telangana
District : RANGAREDDY
Block : FAROOQNAGAR"
