Seq No.,UDISE Code,School Name,School Location
1,36230700205,MPPS HAYATHNAGAR (BAGATH),"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
2,36230700476,"GOVT. JUNIOR COLLEGE, HAYATHNAGAR","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
3,36230700255,MPPS RANGA NAYAKUL COLONY,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
4,36230700211,MPPS ANMAGAL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
5,36232001210,T T W R JR COLLEGE B,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
6,36230700624,ZPHS SAHEB NAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
7,36230700260,ZPHS HAYATHNAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
8,36230700262,BALA BHARATHI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
9,36230700625,ZPHS VANASTHALIPURAM,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
10,36230700206,MPPS HAYATH NAGAR URDU,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
11,36230700620,MPPS NGO COLONY,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
12,36230700623,MPPS SAHEBNAGAR,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
13,36230700430,VENKATESHWARA VIDYA,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
14,36230700498,"SRI CHAITANYA HIGH SCHOOL, Hayathnagar","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
15,36230700463,PUDAMI ENGLISH HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
16,36230700274,"ST.ANNS SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
17,36230700419,VARUNS MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
18,36230700704,nri high school,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
19,36230700103,SRI GNANA SARASWTHI VIDYA,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
20,36230700299,NEW SRI CHAITANYA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
21,36230700296,SIDDARTHA GRAMMAR HIGH SC,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
22,36230700603,SR DIGI UPPER PRIMARY SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
23,36230700426,SRI CHAITNYA TECHO SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
24,36230700449,ALPHA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
25,36230700465,SANTHI NIKETAN CONCEPT HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
26,36230700501,"ST.JOSEPHS HIGH SCHOOL, hayathnagar","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
27,36230700105,"SREE RAMANUJAN HIGH SCHOOL, KALVANCHA","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
28,36230700651,GREATWOODS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
29,36230700241,DILSUKHNAGAR HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
30,36230700287,SIVA SINDHU HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
31,36230700265,NAVYA JYOTHI MODEL HIGH S,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
32,36230700276,"VIGNAN MODEL SCHOOL, CHINTAL KUNTA","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
33,36230700283,"LOYOLA MODEL HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
34,36230700662,BODHA A SCHOOL OF PERCEPTION,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
35,36230700637,PURNODAYA MODEL HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
36,36230700264,"VIVEKANANDA HIGH SCHOOL, HAYATH NAGAR","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
37,36230700297,SRI VIKAS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
38,36230700263,CHITHANYA BHARATHI GRAMMA,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
39,36230700280,"LOTUS LAP HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
40,36230700272,MEGA CITY UP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
41,36230700630,ST BEDES CONVEENT HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
42,36230700269,WORD & DEED HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
43,36230700284,"SIDHARTHA HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
44,36230700629,S.D.S MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
45,36230700450,GLOBE THE HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
46,36230700658,"NARAYANA JUNIOR COLLEGE , SAHEBNAGAR, VANASTH","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
47,36230700706,santhi nikethan up school r r nagar,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
48,36230700656,"NARAYANA JUNIOR COLLEGE , VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
49,36230700266,"GOUTHAMI HIGH SCHOOL, HAYATH NAGAR","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
50,36230700508,GOWTHAMI JUNIOR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
51,36230700513,"VIJETHA SCHOOL, hayathnagar","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
52,36230700282,ST.FRANCIS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
53,36230700634,NAAGARJUNA TALENT,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
54,36230700286,THE LITTLE BUDS HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
55,36230700261,"BHASHYAM HIGH SCHOOL, VANASTHALIPURAM","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
56,36230700104,"NEW HOPE SCHOOL, Kalvancha","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
57,36230700278,"MILLENIUM HIGH SCHOOL, KAMALANAGAR","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
58,36230700267,HAYATHNAGAR MODEL HIGH SC,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
59,36230700294,PRAGATI VIDY AMANDIR HIGH,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
60,36230700510,YUVA JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
61,36230700281,HERALDS HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
62,36230700471,HOWARD MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
63,36230700101,SANTHI NIKETHAN HIGH SCHO,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
64,36230700421,CITY MODEL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
65,36230700664,"ARYABATTA HIGH SCHOOL, NGOs Colony","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
66,36230700268,LITTLE ANGELS CONVENT SCH,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
67,36230700277,VIJETHA MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
68,36230700288,PURNODAYA HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
69,36230700285,PRASHANTHI VIDYA NIKETHAN,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
70,36230700499,"AKSHARA THE SCHOOL, Hayathnagar","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
71,36230700632,ACADEMIC HEIGHTS SCHOOL,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
72,36230700636,SRI VAGDEVI TALENT HS,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
73,36230700602,"NARAYANA CONCEPT HS, Vijayapuri","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
74,36230700271,SARITHA VIDYA NIKTHAN,"State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
75,36230700512,"KRISHNAVENI TALENT SCHOOL, hayathnagar","State : Telangana
District : RANGAREDDY
Block : HAYATHNAGAR"
