Seq No.,UDISE Code,School Name,School Location
1,36230901807,TSWREIS NALLAKANCHA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
2,36230900725,GOVT. HS IBRAHIMPATNAM,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
3,36230900727,TSWREIS (B) IBRAHIMPATN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
4,36230902204,ZPHS ELIMINEDU,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
5,36230900202,ZPHS ADIBATLA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
6,36230900201,MPPS ADIBATLA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
7,36230900707,MPPS CHERLAPATELGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
8,36230901102,MPPS DANDUMAILARAM HW,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
9,36230900102,MPPS KONGARAKALAN THANDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
10,36230901606,MPPS MALISETTIGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
11,36230902001,MPPS RAMIREDIGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
12,36230900904,ZPHS POLKAMPALLY,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
13,36230901104,ZPHS DANDUMAILARAM,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
14,36230901201,MPUPS MUKUNOOR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
15,36230900103,ZPHS KONGARAKALAN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
16,36230901505,ZPHS RAIPOLE,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
17,36230901502,MPPS RAIPOLE HW,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
18,36230900722,ZPHS CHERLAPATELGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
19,36230900501,MPUPS RAMDASPALLY,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
20,36230901806,ZPHS MP PATELGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
21,36230901602,MPPS SHERIGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
22,36230902203,MPPS ELIMINEDU HW,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
23,36230901501,MPPS RAIPOLE,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
24,36230902201,MPPS ELIMINEDU,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
25,36230900101,MPPS KONGARAKALAN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
26,36230902701,MPUPS TULEKALAN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
27,36230902601,MPUPS KAPPAPAHAD,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
28,36230901802,MPPS MP PATELGUDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
29,36230900902,MPPS POLKAMPALLY,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
30,36230900705,MPPS KV THANDA,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
31,36230902101,MPPS POCHARAM,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
32,36230900730,PRIYANKA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
33,36230900718,AIDED KAMALA MEMORIAL U.P.S.,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
34,36230900728,ANGLIST HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
35,36230900740,SRI VIDYA NIKETAN HIGH SC,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
36,36230900734,GURUKULA VIDYA PEETH HIGH,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
37,36230901805,"SAHITHI VIDYALAYAM, MANGALPALLE","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
38,36230900741,T R R HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
39,36230900747,"PUDAMI THE ENGLISH SCHOOL, IBRAHIMPATNAM","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
40,36230900719,AIDED AMB UPS IBRAHIMPATAN,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
41,36230900732,"LOYOLA MODEL HIGH SCHOOL, IBRHIMPATNAM KALSA","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
42,36230900759,"SRI VIVEKANANDA JR.COLLEGE , IBRAHIMPATNAM","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
43,36230900309,IDEAL GRAMMAR SCHOOL,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
44,36230900773,SRI VIDYANJALI JR COLLEGE,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
45,36230900761,"VASUNDARA JR COLLEGE (GIRLS) , IBRAHIMPATNAM","State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
46,36230902902,ST ANNS HS KHANAPUR,"State : Telangana
District : RANGAREDDY
Block : IBRAHIMPATNAM"
