Seq No.,UDISE Code,School Name,School Location
1,36231601111,MPPS PULLERUBODU TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
2,36231601120,MPUPS KADTHAL (B),"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
3,36231601310,ZPHS EKWAIPALLE,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
4,36231601142,KGBV KADTHAL,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
5,36231601125,TW ASHRAMA HIGH SCHOOL BOYS MAISIGANDI,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
6,36231601107,MPPS VELUGURALLATANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
7,36231601103,MPPS ANMAS PALLY,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
8,36231601108,MPPS JAMMALABHAVI TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
9,36231601112,MPPS PV BAI TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
10,36231601401,MPPS BOINGUTTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
11,36231600401,MPPS NYAMATHAPUR,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
12,36231601001,MPPS NARLAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
13,36231601309,MPPS EKWAIPALLE,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
14,36231601119,MPPS KADTHAL (G),"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
15,36231600904,MPUPS VASUDEVPOOR,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
16,36231601301,MPPS ELLA CHERVU TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
17,36231601110,MPPS PRC TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
18,36231601105,MPPS KANUGUBAI TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
19,36231601102,MPPS PILLIGUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
20,36231601303,MPPS MUDWIN,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
21,36231600203,MPPS RAVICHEDU,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
22,36231600204,ZPHS RAVICHEDU,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
23,36231600703,MPUPS CHELLAMPALLY,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
24,36231600201,MPPS MADDELAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
25,36231600701,MPPS BALAJINAGAR TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
26,36231601311,ZPHS MUDWIN,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
27,36231601104,MPPS GORLAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
28,36231601003,MPPS GOVINDAIPALLY TANDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
29,36231601004,MPUPS KARKALPAHAD,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
30,36231601133,"HS PRAGATHI, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
31,36231601502,MPHS CHERIKONDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
32,36231600103,MPUPS MAKTHAMADHARAM,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
33,36231601140,"SVS JR.COLLEGE , KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
34,36231601138,ZPHS KADTHAL (BOYS),"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
35,36231601313,"PS GOWTHAMI, MUDWIN","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
36,36231600206,BRILLIAT GRAMMAR RAVICHEDU,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
37,36231601314,"PS VIDYA BHARATH MODEL, MUDWIN","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
38,36231600803,MPPS SALARPUR,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
39,36231601134,"HS KRISHNAVENI, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
40,36231601503,UPS VIVEK CHARIKONDA,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
41,36231600104,NARENDRA VIDYALAYAM,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
42,36231601144,MONTESSORI SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
43,36231601135,"FORTUNE BUTTERFLY SENIOR SECONDARY, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
44,36231601137,"NEW BRILLIANT JR.COLLEGE, KADTHAL","State : Telangana
District : RANGAREDDY
Block : KADTHAL"
45,36231601131,KADTHAL GRAMMAR HS,"State : Telangana
District : RANGAREDDY
Block : KADTHAL"
