Seq No.,UDISE Code,School Name,School Location
1,36232601001,MPPS SRIRANGAPUR,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
2,36232601901,MPPS LAXMIDEVUNIPALLY (V),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
3,36232601702,MPPS CHERUKUPALLE,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
4,36232601701,MPPS CHERUKUPALLE (SC),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
5,36232602001,MPPS AGIRYAL OLD,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
6,36232601902,MPUPS VENKIRYAL,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
7,36232600202,MPPS LALAPET,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
8,36232600401,MPPS REGADI CHILKAMARRIY,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
9,36232601403,MPHS TANGELLAPALLY,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
10,36232601101,MPPS RAMANNAGUDA TANDA,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
11,36232600103,MPPS CHEKKALONIGUDA,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
12,36232600601,MPPS TEKULAPALLE,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
13,36232601104,MPUPS CHINNA YELKICHERLA,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
14,36232600105,ZPHS KONDURG,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
15,36232600115,HS NEW GITANJALI KONDURG,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
16,36232600104,MPPS (P) KONDURG,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
17,36232600116,"SRI VEDAGIRI JR.COLLEGE, KONDURG","State : Telangana
District : RANGAREDDY
Block : KONDURG"
18,36232600111,OXFORD HIGH SCHOOL (E/M),"State : Telangana
District : RANGAREDDY
Block : KONDURG"
19,36232600117,"ST MARYS SCHOOL E/M, KONDURG","State : Telangana
District : RANGAREDDY
Block : KONDURG"
20,36232600118,MPUPS LITTLE FLOWER ENGLISH MEDIUM SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KONDURG"
