Seq No.,UDISE Code,School Name,School Location
1,36232300202,MPPS LRK TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
2,36232301118,KGBV KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
3,36232301102,MPPS KOTHUR (HW),"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
4,36232300401,MPPS THEEGAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
5,36232301001,MPPS ENGULAMADUGU TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
6,36232301101,MPPS KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
7,36232301124,TWREIS SCHOOL (BOYS)KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
8,36232300205,ZPHS GUDUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
9,36232301111,ZPHS KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
10,36232300204,MPPS GUDUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
11,36232300605,ZPHS INMULNARVA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
12,36232301002,MPPS CHINTAGATTU TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
13,36232300101,MPPS MALLAPUR TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
14,36232300104,MPUPS MALLAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
15,36232300103,MPPS MALLAPUR (HW),"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
16,36232300701,MPPS KHAJIGUDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
17,36232300502,ZPHS PENJERLA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
18,36232300501,MPPS PENJERLA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
19,36232300801,MPPS KODICHERLA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
20,36232300106,PS ST LAWRENCE SCHOOL. REDDYPALEM (MALLAPUR),"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
21,36232301112,AIDED FATIMA HS KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
22,36232301110,"NICKELS CONVENT, KOTHUR","State : Telangana
District : RANGAREDDY
Block : KOTHUR"
23,36232301125,CHANDAMAMA RANGAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
24,36232301127,SRI VENKATARAMANA SCHOOL,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
25,36232300303,SHANTHIKETHAN MODEL HIGH SCHOOL THIMMAPUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
26,36232301116,PS KRISHNAVENI KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
27,36232301114,LITTLE ANGELS HIGH SCHOOL KOTHUR,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
28,36232300203,MPPS PEDDA GUTTA TANDA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
29,36232300607,HS VENKATESARA INMULNARWA,"State : Telangana
District : RANGAREDDY
Block : KOTHUR"
